source,target,presence,pct_id_u11,evalue_u11,pct_id_u12,evalue_u12
n14,n33,both,57.1,2.89e-86,57.1,3.89e-82
n14,n34,both,56.4,3.77e-86,56.4,5.08e-82
n14,n36,both,47.7,8.36e-68,47.7,1.13e-63
n14,n4,both,46.5,3.78e-70,48.4,4.60e-67
n14,n41,both,44.3,1.01e-65,44.3,1.35e-61
n14,n42,both,45.1,6.57e-76,45.1,8.85e-72
n14,n43,both,41.0,6.39e-55,41.0,8.61e-51
n14,n44,both,93.0,2.30e-163,93.0,3.09e-159
n14,n45,both,100.0,4.12e-187,100.0,5.55e-183
n14,n46,both,93.0,2.30e-163,93.0,3.09e-159
n14,n47,both,47.2,2.55e-69,47.2,3.43e-65
n14,n5,both,59.5,3.03e-97,59.5,4.08e-93
n14,n50,both,35.3,1.06e-34,34.3,1.09e-30
n14,n51,both,47.9,7.86e-74,47.9,1.06e-69
n14,n52,both,66.9,6.28e-101,66.9,8.46e-97
n14,n53,both,66.8,8.21e-101,66.8,1.11e-96
n14,n54,both,64.1,4.20e-97,64.1,5.65e-93
n14,n55,both,54.4,2.15e-77,54.4,2.89e-73
n14,n56,both,54.8,4.33e-78,54.8,5.83e-74
n14,n57,both,55.1,1.94e-78,55.1,2.62e-74
n14,n58,both,52.5,5.38e-80,52.5,7.73e-76
n14,n59,both,46.7,5.95e-71,46.7,8.01e-67
n14,n6,both,58.4,1.78e-97,59.8,1.40e-93
n14,n60,both,47.4,2.10e-66,47.4,2.83e-62
n14,n61,both,42.7,1.32e-65,42.7,1.78e-61
n14,n62,both,62.7,1.05e-95,62.7,1.41e-91
n14,n63,both,30.5,4.67e-25,30.5,6.29e-21
n14,n64,both,64.7,2.70e-96,64.7,3.64e-92
n14,n66,both,46.8,5.27e-75,46.8,7.09e-71
n14,n67,both,35.7,1.30e-31,35.7,1.75e-27
n14,n68,both,48.8,2.28e-78,49.3,1.80e-74
n14,n69,both,57.6,2.49e-87,57.6,3.35e-83
n14,n7,both,49.0,3.65e-76,49.0,4.91e-72
n14,n70,both,47.6,5.09e-75,47.6,6.86e-71
n14,n71,both,43.3,1.61e-68,44.8,3.35e-65
n14,n72,both,58.9,3.73e-100,58.9,5.02e-96
n14,n73,both,50.5,3.52e-79,50.7,2.28e-77
n14,n74,both,76.5,1.92e-127,76.5,2.58e-123
n14,n75,both,47.1,1.05e-65,47.5,4.26e-62
n14,n76,both,49.3,4.96e-73,49.3,6.68e-69
n14,n77,both,46.2,9.04e-75,46.2,1.22e-70
n14,n78,both,56.6,6.01e-92,56.6,8.09e-88
n14,n79,both,36.0,5.52e-34,36.0,7.43e-30
n14,n8,both,92.7,1.76e-143,92.7,2.37e-139
n14,n80,both,94.0,3.21e-165,94.0,4.32e-161
n14,n81,both,58.8,1.41e-99,58.8,1.90e-95
n14,n82,both,35.2,3.41e-32,35.2,4.60e-28
n14,n83,both,46.1,6.82e-65,46.1,9.18e-61
n14,n86,both,48.4,6.43e-72,48.4,8.67e-68
n14,n87,both,56.1,1.95e-87,56.1,2.63e-83
n14,n88,both,47.7,9.27e-74,47.7,1.25e-69
n14,n89,both,45.8,9.82e-72,45.8,1.32e-67
n14,n9,both,52.8,7.39e-88,53.5,9.95e-84
n140,n143,both,57.7,6.32e-73,57.7,8.51e-69
n140,n147,both,32.9,5.18e-26,32.8,6.98e-22
n140,n148,both,56.4,3.25e-69,57.5,5.16e-66
n140,n149,both,53.8,1.15e-66,53.8,1.55e-62
n140,n150,both,46.2,6.83e-45,46.2,9.20e-41
n140,n151,both,57.7,4.84e-73,57.7,6.52e-69
n140,n152,both,30.3,1.34e-12,30.3,1.81e-08
n140,n154,both,47.8,3.99e-51,47.8,5.23e-47
n141,n142,both,64.5,6.71e-83,64.5,9.03e-79
n141,n144,both,61.6,1.07e-80,61.6,1.44e-76
n141,n145,both,57.3,2.71e-68,57.3,3.65e-64
n141,n146,both,32.5,2.65e-20,32.5,3.57e-16
n141,n152,both,33.0,9.93e-16,33.0,1.34e-11
n141,n153,both,32.5,2.65e-20,32.5,3.57e-16
n141,n155,both,62.8,2.27e-75,62.8,3.06e-71
n142,n144,both,93.3,2.94e-129,93.3,3.96e-125
n142,n145,both,54.9,2.22e-70,54.7,1.75e-66
n142,n152,both,33.7,3.41e-16,33.2,2.28e-11
n142,n155,both,54.3,9.89e-63,54.3,1.33e-58
n143,n147,both,32.7,1.15e-25,32.7,1.56e-21
n143,n148,both,77.1,4.40e-98,77.1,5.93e-94
n143,n149,both,49.6,1.02e-62,49.6,1.42e-58
n143,n150,both,49.3,3.74e-51,49.3,5.04e-47
n143,n151,both,98.3,4.08e-128,98.3,5.50e-124
n143,n154,both,45.9,3.51e-52,45.9,4.73e-48
n144,n145,both,57.3,2.80e-73,57.3,3.77e-69
n144,n152,both,31.8,7.60e-16,31.3,5.08e-11
n144,n155,both,52.8,1.29e-62,54.8,4.58e-59
n145,n154,both,30.1,3.21e-13,30.1,4.33e-09
n145,n155,both,58.9,3.88e-67,58.9,5.23e-63
n146,n147,both,32.6,7.48e-25,32.6,1.01e-20
n146,n152,both,44.2,8.92e-41,44.2,1.20e-36
n146,n153,both,100.0,5.93e-121,100.0,7.99e-117
n146,n155,both,30.8,4.68e-17,30.8,6.30e-13
n147,n148,both,30.6,2.04e-22,30.6,2.75e-18
n147,n149,both,31.1,7.75e-22,30.9,1.04e-17
n147,n151,both,31.9,1.67e-24,31.9,2.25e-20
n147,n152,both,32.2,1.02e-20,32.2,1.38e-16
n147,n153,both,32.6,7.48e-25,32.6,1.01e-20
n147,n154,both,32.7,8.84e-26,32.7,1.19e-21
n148,n149,both,48.7,3.09e-59,48.7,4.16e-55
n148,n150,both,47.1,6.60e-48,47.1,8.89e-44
n148,n151,both,76.2,4.87e-97,76.2,6.56e-93
n148,n154,both,47.8,6.62e-51,47.8,8.92e-47
n149,n150,both,44.3,2.27e-48,44.3,3.06e-44
n149,n151,both,49.2,3.89e-62,49.2,5.40e-58
n149,n154,both,43.7,1.25e-49,43.7,1.68e-45
n15,n16,both,75.1,1.15e-118,75.1,1.55e-114
n15,n18,both,51.4,9.15e-80,51.4,1.23e-75
n15,n19,both,44.3,6.01e-71,44.3,5.60e-68
n15,n2,both,64.6,2.23e-98,64.6,3.00e-94
n15,n20,both,48.6,3.99e-67,48.6,5.37e-63
n15,n21,both,48.6,1.34e-70,48.6,1.80e-66
n15,n22,both,80.4,1.42e-141,80.4,1.92e-137
n15,n23,both,81.1,1.54e-143,81.1,2.08e-139
n15,n24,both,61.4,7.03e-104,61.4,9.47e-100
n15,n25,both,92.7,6.68e-163,92.7,9.00e-159
n15,n26,both,99.2,2.07e-152,99.2,2.78e-148
n15,n27,both,80.4,1.42e-141,80.4,1.92e-137
n15,n28,both,55.0,5.60e-85,55.0,7.54e-81
n15,n29,both,95.0,7.63e-167,95.0,1.03e-162
n15,n30,both,100.0,1.88e-153,100.0,2.53e-149
n15,n31,both,93.1,7.90e-144,93.1,1.06e-139
n15,n32,both,49.7,2.15e-81,49.7,2.89e-77
n15,n33,both,58.2,8.98e-88,58.2,1.21e-83
n15,n34,both,57.4,1.17e-87,57.4,1.58e-83
n15,n36,both,48.9,1.25e-68,48.9,1.69e-64
n15,n4,both,47.2,8.99e-72,49.1,1.43e-68
n15,n40,both,30.4,1.08e-24,30.4,1.45e-20
n15,n41,both,45.5,3.64e-68,45.5,4.91e-64
n15,n42,both,51.7,6.62e-78,51.7,8.92e-74
n15,n43,both,38.2,4.62e-55,38.2,6.22e-51
n15,n44,both,100.0,1.70e-174,100.0,2.28e-170
n15,n45,both,93.0,2.30e-163,93.0,3.09e-159
n15,n46,both,100.0,1.70e-174,100.0,2.28e-170
n15,n47,both,48.6,1.34e-70,48.6,1.80e-66
n15,n5,both,59.8,7.53e-98,59.8,1.01e-93
n15,n50,both,33.7,4.02e-34,33.7,5.41e-30
n15,n51,both,50.2,4.44e-74,50.2,5.98e-70
n15,n52,both,67.7,8.77e-103,67.7,1.18e-98
n15,n53,both,68.3,6.71e-103,68.3,9.04e-99
n15,n54,both,64.9,7.65e-99,64.9,1.03e-94
n15,n55,both,55.0,1.49e-78,55.0,2.00e-74
n15,n56,both,55.0,3.92e-79,55.0,5.28e-75
n15,n57,both,55.7,1.35e-79,55.7,1.81e-75
n15,n58,both,52.5,2.42e-80,51.5,1.46e-76
n15,n59,both,46.5,2.67e-71,46.5,3.59e-67
n15,n6,both,59.8,1.61e-97,60.1,7.76e-94
n15,n60,both,47.8,1.38e-67,47.8,1.86e-63
n15,n61,both,46.6,9.92e-66,46.6,1.34e-61
n15,n62,both,63.5,7.27e-97,63.5,9.79e-93
n15,n63,both,31.2,1.11e-26,31.2,1.50e-22
n15,n64,both,65.9,4.45e-99,65.9,5.99e-95
n15,n66,both,46.8,4.44e-74,46.8,5.98e-70
n15,n67,both,35.2,1.60e-31,35.2,2.15e-27
n15,n68,both,49.2,1.13e-77,49.7,6.83e-74
n15,n69,both,56.0,1.32e-88,56.8,3.58e-85
n15,n7,both,49.4,2.78e-76,49.4,3.75e-72
n15,n70,both,47.9,7.86e-76,47.9,1.06e-71
n15,n71,both,44.7,1.91e-69,44.7,2.57e-65
n15,n72,both,58.2,1.05e-99,58.7,2.94e-96
n15,n73,both,50.9,2.69e-79,51.0,1.02e-77
n15,n74,both,78.1,1.33e-128,76.8,1.79e-124
n15,n75,both,48.9,7.34e-69,49.3,2.41e-65
n15,n76,both,49.6,4.16e-72,49.6,5.60e-68
n15,n77,both,46.9,1.17e-74,46.9,1.57e-70
n15,n78,both,56.7,2.44e-93,56.7,3.28e-89
n15,n79,both,34.0,8.81e-32,34.0,1.19e-27
n15,n8,both,98.9,7.88e-152,98.9,1.06e-147
n15,n80,both,97.7,5.11e-171,97.7,6.88e-167
n15,n81,both,60.4,3.86e-102,60.4,5.19e-98
n15,n82,both,34.2,1.60e-31,34.2,2.15e-27
n15,n83,both,47.5,3.08e-67,47.5,4.15e-63
n15,n86,both,48.4,9.29e-71,48.4,1.25e-66
n15,n87,both,56.5,1.04e-88,56.5,1.39e-84
n15,n88,both,47.4,1.58e-73,47.4,2.13e-69
n15,n89,both,46.4,4.16e-72,46.4,5.60e-68
n15,n9,both,55.6,6.82e-91,55.6,9.19e-87
n150,n151,both,50.7,1.68e-51,50.7,2.26e-47
n150,n154,both,51.9,9.51e-55,51.9,1.28e-50
n150,n155,v11_only,30.3,5.65e-07,,
n151,n154,both,45.4,7.82e-52,45.4,1.05e-47
n152,n153,both,44.2,8.92e-41,44.2,1.20e-36
n152,n154,both,30.3,4.93e-15,30.3,6.63e-11
n152,n155,both,32.6,1.69e-15,32.6,2.28e-11
n153,n155,both,30.8,4.68e-17,30.8,6.30e-13
n156,n157,both,44.1,1.38e-86,44.1,1.86e-82
n156,n158,both,47.1,5.56e-88,47.1,7.48e-84
n156,n159,both,47.7,3.73e-108,47.7,5.02e-104
n156,n160,both,39.9,2.62e-40,39.9,3.52e-36
n157,n158,both,39.9,2.51e-72,39.9,3.37e-68
n157,n159,both,56.0,1.99e-133,56.0,2.68e-129
n157,n160,both,63.1,2.42e-78,63.1,3.26e-74
n158,n159,both,41.3,1.56e-90,41.3,2.10e-86
n158,n160,both,40.6,2.37e-41,40.6,3.19e-37
n159,n160,both,50.0,2.43e-62,50.0,3.27e-58
n16,n18,both,50.2,3.87e-74,50.2,5.21e-70
n16,n19,both,48.9,5.23e-71,48.9,7.04e-67
n16,n2,both,67.8,3.11e-100,67.8,4.18e-96
n16,n20,both,45.7,2.35e-63,45.7,3.17e-59
n16,n21,both,48.5,2.43e-68,48.5,3.27e-64
n16,n22,both,77.8,7.69e-123,77.8,1.04e-118
n16,n23,both,78.2,2.64e-123,78.2,3.56e-119
n16,n24,both,69.1,1.11e-105,69.1,1.50e-101
n16,n25,both,75.9,1.60e-120,75.9,2.16e-116
n16,n26,both,74.7,3.33e-118,74.7,4.48e-114
n16,n27,both,77.8,7.69e-123,77.8,1.04e-118
n16,n28,both,59.1,1.08e-84,59.1,1.46e-80
n16,n29,both,75.9,6.09e-120,75.9,8.20e-116
n16,n30,both,75.2,3.02e-119,75.2,4.07e-115
n16,n31,both,76.7,4.98e-122,76.7,6.71e-118
n16,n32,both,52.9,3.06e-79,52.9,4.12e-75
n16,n33,both,61.3,1.51e-86,61.3,2.04e-82
n16,n34,both,59.7,2.67e-83,59.7,3.60e-79
n16,n36,both,48.1,4.89e-69,48.1,6.59e-65
n16,n4,both,51.3,6.18e-72,51.3,8.32e-68
n16,n40,v12_only,,,33.9,9.01e-22
n16,n41,both,44.0,4.15e-60,44.0,5.59e-56
n16,n42,both,50.0,5.05e-74,50.0,6.80e-70
n16,n43,both,44.0,3.89e-58,44.0,5.23e-54
n16,n44,both,75.1,1.15e-118,75.1,1.55e-114
n16,n45,both,76.6,1.89e-121,76.6,2.55e-117
n16,n46,both,75.1,1.15e-118,75.1,1.55e-114
n16,n47,both,48.5,2.43e-68,48.5,3.27e-64
n16,n5,both,64.6,8.56e-98,64.6,1.15e-93
n16,n50,both,33.6,2.07e-35,33.6,2.79e-31
n16,n51,both,48.3,1.42e-68,48.3,1.92e-64
n16,n52,both,68.6,1.22e-104,68.6,1.65e-100
n16,n53,both,68.4,8.77e-103,68.4,1.18e-98
n16,n54,both,67.0,2.01e-99,67.0,2.71e-95
n16,n55,both,56.1,2.45e-81,56.1,3.30e-77
n16,n56,both,57.6,5.84e-83,57.6,7.86e-79
n16,n57,both,56.8,2.90e-82,56.8,3.90e-78
n16,n58,both,53.6,7.53e-78,53.6,1.01e-73
n16,n59,both,47.3,1.21e-67,47.3,1.62e-63
n16,n6,both,64.1,9.46e-97,64.1,1.27e-92
n16,n60,both,49.4,5.78e-70,49.4,7.78e-66
n16,n61,both,48.7,1.21e-67,48.7,1.62e-63
n16,n62,both,69.0,1.28e-101,69.0,1.72e-97
n16,n64,both,65.9,1.29e-98,65.9,1.74e-94
n16,n65,v11_only,31.4,1.96e-06,,
n16,n66,both,51.9,5.05e-74,51.9,6.80e-70
n16,n67,both,31.4,3.43e-30,31.4,4.62e-26
n16,n68,both,51.8,2.36e-75,51.8,2.76e-71
n16,n69,both,53.9,2.77e-80,53.9,3.72e-76
n16,n7,both,50.0,1.05e-71,50.0,1.42e-67
n16,n70,both,49.4,3.06e-71,49.4,4.13e-67
n16,n71,both,46.6,2.68e-67,46.6,3.62e-63
n16,n72,both,67.9,3.59e-104,67.9,4.83e-100
n16,n73,both,56.9,4.12e-84,56.9,5.55e-80
n16,n74,both,74.7,1.66e-117,74.7,2.23e-113
n16,n75,both,48.6,2.13e-64,48.6,2.86e-60
n16,n76,both,51.1,1.92e-73,51.1,2.59e-69
n16,n77,both,49.8,5.59e-73,49.8,7.52e-69
n16,n78,both,63.6,5.19e-95,63.6,6.99e-91
n16,n79,both,34.7,1.76e-34,34.7,2.37e-30
n16,n8,both,74.3,3.69e-117,74.3,4.98e-113
n16,n80,both,74.7,5.70e-118,74.7,7.68e-114
n16,n81,both,67.4,9.77e-102,67.4,1.32e-97
n16,n82,both,33.8,4.78e-32,33.8,6.44e-28
n16,n83,both,48.1,2.13e-64,48.1,2.86e-60
n16,n86,both,48.5,2.20e-69,48.5,2.96e-65
n16,n87,both,63.8,9.79e-94,63.8,1.32e-89
n16,n88,both,48.7,5.23e-71,48.7,7.04e-67
n16,n89,both,47.6,2.68e-67,47.6,3.62e-63
n16,n9,both,58.9,1.79e-87,58.9,2.41e-83
n161,n162,both,48.1,3.58e-125,48.1,4.82e-121
n161,n163,both,67.9,4.58e-99,67.9,6.17e-95
n161,n164,both,99.4,0.00e+00,99.4,0.00e+00
n161,n165,both,35.0,1.19e-80,35.0,1.61e-76
n162,n163,both,33.9,6.94e-47,33.9,9.34e-43
n162,n164,both,48.1,1.78e-124,48.1,2.39e-120
n162,n165,both,79.0,6.03e-250,79.0,8.12e-246
n163,n164,both,67.9,2.68e-99,67.9,3.62e-95
n163,n165,both,51.0,2.37e-71,51.0,3.19e-67
n164,n165,both,34.6,1.23e-78,34.6,1.65e-74
n166,n167,both,99.6,4.49e-169,99.6,6.05e-165
n17,n22,v11_only,30.1,8.69e-06,,
n17,n27,v11_only,30.1,8.69e-06,,
n17,n62,v11_only,34.1,4.53e-06,,
n175,n176,both,68.2,5.52e-126,68.2,7.43e-122
n175,n177,both,50.3,1.52e-86,50.3,2.03e-82
n175,n178,both,56.6,6.16e-96,56.6,8.30e-92
n175,n179,both,56.3,1.05e-95,56.3,1.42e-91
n175,n180,both,56.9,5.58e-97,56.9,7.51e-93
n176,n177,both,57.8,1.73e-103,57.8,2.33e-99
n176,n178,both,58.9,5.19e-108,58.9,6.99e-104
n176,n179,both,58.3,2.33e-108,58.3,3.14e-104
n176,n180,both,59.2,2.49e-110,59.2,3.35e-106
n177,n178,both,60.2,6.48e-114,60.2,8.73e-110
n177,n179,both,58.8,7.74e-110,59.6,2.54e-109
n177,n180,both,59.3,2.41e-111,60.2,7.89e-111
n178,n179,both,97.2,1.47e-201,97.2,1.98e-197
n178,n180,both,95.8,1.16e-198,95.8,1.57e-194
n179,n180,both,98.6,1.57e-203,98.6,2.11e-199
n18,n19,both,44.7,1.24e-76,44.7,1.67e-72
n18,n2,both,50.7,9.10e-76,50.7,1.23e-71
n18,n20,both,48.6,7.75e-79,48.6,1.04e-74
n18,n21,both,66.1,2.79e-108,66.1,3.68e-104
n18,n22,both,49.5,3.35e-74,49.3,2.39e-71
n18,n23,both,48.0,8.30e-73,48.0,1.12e-68
n18,n24,both,48.9,4.12e-72,48.9,5.55e-68
n18,n25,both,49.3,1.24e-76,49.3,1.67e-72
n18,n26,both,51.5,4.12e-76,51.5,5.54e-72
n18,n27,both,49.5,3.35e-74,49.3,2.39e-71
n18,n28,both,41.5,5.32e-61,41.5,7.16e-57
n18,n29,both,50.0,1.46e-77,50.0,1.97e-73
n18,n30,both,52.0,3.74e-77,52.0,5.03e-73
n18,n31,both,49.8,3.87e-74,49.8,5.21e-70
n18,n32,both,43.8,2.96e-62,47.3,1.97e-65
n18,n33,both,46.7,6.69e-67,48.6,2.37e-63
n18,n34,both,46.8,5.30e-64,46.8,7.14e-60
n18,n36,both,55.8,4.57e-82,55.8,5.91e-78
n18,n4,both,67.0,8.88e-112,66.1,4.11e-108
n18,n41,both,52.6,5.54e-85,52.6,7.46e-81
n18,n42,both,69.1,2.31e-115,69.1,3.11e-111
n18,n43,both,40.7,1.05e-59,40.7,1.42e-55
n18,n44,both,51.4,9.15e-80,51.4,1.23e-75
n18,n45,both,49.7,4.25e-77,49.7,5.73e-73
n18,n46,both,51.4,9.15e-80,51.4,1.23e-75
n18,n47,both,66.1,2.79e-108,66.1,3.68e-104
n18,n5,both,48.6,3.85e-70,48.6,5.09e-66
n18,n51,both,55.4,1.61e-84,55.4,2.17e-80
n18,n52,both,49.1,5.01e-74,49.1,6.75e-70
n18,n53,both,50.2,2.25e-74,50.2,3.03e-70
n18,n54,both,51.5,4.09e-76,51.5,5.50e-72
n18,n55,both,49.4,5.48e-73,49.4,7.38e-69
n18,n56,both,49.8,2.46e-73,49.8,3.31e-69
n18,n57,both,49.4,3.21e-73,49.4,4.33e-69
n18,n58,both,43.8,8.32e-65,43.8,1.12e-60
n18,n59,both,51.0,1.16e-82,51.0,1.56e-78
n18,n6,both,47.6,8.90e-72,47.6,1.20e-67
n18,n60,both,42.7,2.95e-70,44.6,1.41e-71
n18,n61,both,46.0,3.85e-78,46.0,5.18e-74
n18,n62,both,50.7,1.74e-74,50.7,2.35e-70
n18,n63,both,31.4,1.23e-33,31.4,1.65e-29
n18,n64,both,53.0,1.44e-73,53.0,1.94e-69
n18,n66,both,50.0,9.45e-85,50.0,1.27e-80
n18,n67,both,34.1,1.69e-41,34.1,2.27e-37
n18,n68,both,51.5,4.53e-87,51.5,6.10e-83
n18,n69,both,45.8,4.71e-70,45.9,3.37e-67
n18,n7,both,49.3,3.36e-82,49.3,4.53e-78
n18,n70,both,49.2,1.69e-78,49.2,2.28e-74
n18,n71,both,51.0,1.23e-84,51.0,1.66e-80
n18,n72,both,47.1,4.55e-71,47.1,6.13e-67
n18,n73,both,49.3,1.85e-72,49.3,2.49e-68
n18,n74,both,54.0,1.22e-81,54.0,1.64e-77
n18,n75,both,55.4,5.73e-84,55.7,3.47e-80
n18,n76,both,49.2,4.11e-80,49.2,5.53e-76
n18,n77,both,47.7,1.78e-83,47.7,2.40e-79
n18,n78,both,48.3,6.67e-75,48.3,8.99e-71
n18,n79,both,30.8,2.40e-29,30.8,3.23e-25
n18,n8,both,51.9,5.40e-76,51.9,7.27e-72
n18,n80,both,50.3,3.85e-78,50.3,5.18e-74
n18,n81,both,50.3,1.73e-78,50.3,2.32e-74
n18,n82,both,34.2,2.20e-41,34.2,2.97e-37
n18,n83,both,44.6,1.24e-60,44.6,1.67e-56
n18,n86,both,50.2,4.45e-81,50.2,5.99e-77
n18,n87,both,45.0,1.01e-67,45.0,1.36e-63
n18,n88,both,45.1,3.91e-64,45.1,5.26e-60
n18,n89,both,50.2,2.25e-81,48.6,4.53e-78
n18,n9,both,49.5,2.47e-75,49.5,3.32e-71
n181,n182,both,35.0,6.89e-83,35.0,9.28e-79
n181,n184,both,39.9,1.92e-39,39.9,2.58e-35
n181,n185,both,34.2,4.13e-34,35.4,1.01e-31
n181,n186,both,34.1,4.35e-23,34.1,5.86e-19
n181,n187,both,35.0,1.54e-23,35.0,2.07e-19
n181,n188,both,35.4,5.29e-24,35.4,7.12e-20
n181,n190,both,39.7,2.41e-28,39.7,3.24e-24
n181,n191,both,32.9,1.32e-26,32.9,1.78e-22
n181,n192,both,38.5,7.27e-25,38.5,9.79e-21
n181,n193,both,34.4,1.50e-23,34.4,2.01e-19
n181,n195,both,32.3,2.50e-26,32.3,3.36e-22
n181,n196,both,34.9,3.86e-40,34.9,5.20e-36
n181,n197,both,32.0,1.64e-15,32.0,2.21e-11
n182,n184,both,34.8,7.53e-36,34.8,1.01e-31
n182,n185,both,33.7,5.77e-36,33.7,7.77e-32
n182,n186,both,31.7,5.19e-22,31.7,6.48e-18
n182,n190,both,36.6,3.60e-24,36.9,3.59e-23
n182,n191,both,31.7,8.03e-24,31.7,1.08e-19
n182,n192,both,30.2,8.03e-24,30.2,1.08e-19
n182,n193,both,31.1,3.04e-22,31.1,3.80e-18
n182,n194,both,34.1,1.52e-20,34.1,2.05e-16
n182,n195,both,30.0,6.15e-25,30.0,8.28e-21
n182,n196,both,33.5,1.42e-34,33.5,1.91e-30
n183,n184,both,31.1,2.58e-52,31.1,3.47e-48
n183,n187,both,31.3,1.15e-47,31.3,1.54e-43
n183,n188,both,31.1,4.36e-47,31.1,5.87e-43
n183,n190,both,30.3,1.72e-34,30.3,2.32e-30
n183,n192,both,30.3,9.77e-38,30.3,1.32e-33
n183,n196,both,31.8,5.55e-55,31.8,7.47e-51
n184,n185,both,75.8,4.33e-217,75.8,5.83e-213
n184,n187,both,34.5,3.19e-37,34.5,4.12e-33
n184,n188,both,30.1,7.58e-47,30.1,9.78e-43
n184,n189,both,33.1,9.02e-25,33.1,1.21e-20
n184,n190,both,33.6,1.12e-25,33.6,1.51e-21
n184,n191,both,33.5,9.86e-28,33.5,1.23e-23
n184,n193,both,30.1,5.04e-40,30.1,6.79e-36
n184,n196,both,32.6,5.18e-61,32.6,6.98e-57
n185,n187,both,30.8,1.41e-50,30.8,1.90e-46
n185,n188,both,30.6,7.02e-50,30.6,9.45e-46
n185,n189,both,31.7,8.64e-24,31.7,1.16e-19
n185,n190,both,33.3,2.41e-28,33.3,3.24e-24
n185,n191,both,34.2,5.20e-31,34.2,7.00e-27
n185,n192,both,33.6,3.60e-32,33.6,4.85e-28
n185,n196,both,30.9,4.10e-58,30.9,5.53e-54
n186,n187,both,39.2,3.62e-78,39.2,4.88e-74
n186,n188,both,39.5,7.30e-79,39.5,9.83e-75
n186,n190,both,32.6,4.54e-27,32.6,6.12e-23
n186,n193,both,97.9,3.66e-272,97.9,4.93e-268
n186,n194,both,48.6,5.26e-114,48.6,7.09e-110
n186,n196,both,31.0,1.97e-52,31.0,2.66e-48
n187,n188,both,98.6,4.29e-284,98.6,5.78e-280
n187,n190,both,30.0,1.04e-39,30.0,1.40e-35
n187,n193,both,37.9,3.39e-76,37.9,4.57e-72
n187,n194,both,39.2,1.40e-82,39.2,1.88e-78
n187,n196,both,34.9,2.25e-64,34.9,3.03e-60
n188,n190,both,30.2,1.45e-41,30.2,1.96e-37
n188,n193,both,38.5,8.07e-78,38.5,1.09e-73
n188,n194,both,39.1,1.95e-84,39.1,2.63e-80
n188,n196,both,35.5,1.56e-65,35.5,2.10e-61
n189,n192,both,31.7,5.94e-27,31.7,8.00e-23
n189,n196,both,30.8,1.86e-26,30.8,2.50e-22
n189,n197,both,32.7,2.26e-84,32.7,3.04e-80
n19,n2,both,46.7,1.46e-65,46.7,1.96e-61
n19,n20,both,54.3,7.73e-87,54.3,1.04e-82
n19,n21,both,44.8,3.15e-67,44.9,4.20e-63
n19,n22,both,46.0,2.65e-71,46.0,3.57e-67
n19,n23,both,45.6,1.58e-71,45.6,2.12e-67
n19,n24,both,44.8,7.41e-69,44.8,9.99e-65
n19,n25,both,44.9,2.70e-71,45.0,4.29e-68
n19,n26,both,46.5,5.39e-68,46.5,7.26e-64
n19,n27,both,46.0,2.65e-71,46.0,3.57e-67
n19,n28,both,41.2,6.08e-57,41.7,8.19e-53
n19,n29,both,45.2,3.73e-71,45.3,3.35e-68
n19,n30,both,46.8,1.09e-68,46.8,1.47e-64
n19,n31,both,48.0,1.29e-69,48.0,1.73e-65
n19,n32,both,42.3,1.60e-60,42.8,1.26e-56
n19,n33,both,45.9,6.69e-67,45.9,9.01e-63
n19,n34,both,44.5,4.06e-64,44.5,5.46e-60
n19,n36,both,53.8,5.32e-99,53.8,7.16e-95
n19,n4,both,46.4,4.77e-73,46.4,6.42e-69
n19,n41,both,44.0,3.94e-70,44.0,5.31e-66
n19,n42,both,51.7,4.68e-79,51.7,6.30e-75
n19,n43,both,42.6,1.79e-62,42.6,2.41e-58
n19,n44,both,44.3,6.01e-71,44.3,5.60e-68
n19,n45,both,45.2,9.82e-72,45.3,1.50e-68
n19,n46,both,44.3,6.01e-71,44.3,5.60e-68
n19,n47,both,44.8,3.15e-67,44.9,4.20e-63
n19,n5,both,43.6,7.14e-61,44.2,6.66e-58
n19,n50,both,32.9,4.59e-34,32.9,5.41e-30
n19,n51,both,56.0,5.32e-99,56.0,7.16e-95
n19,n52,both,47.8,1.41e-68,47.8,1.90e-64
n19,n53,both,46.1,1.32e-66,46.1,1.78e-62
n19,n54,both,46.7,5.01e-66,46.7,6.74e-62
n19,n55,both,42.5,6.71e-63,42.5,9.04e-59
n19,n56,both,43.7,1.22e-64,43.7,1.65e-60
n19,n57,both,42.9,1.04e-63,42.9,1.39e-59
n19,n58,both,35.9,3.29e-53,35.9,4.43e-49
n19,n59,both,52.2,4.38e-90,52.2,5.90e-86
n19,n6,both,46.1,1.33e-67,46.1,1.79e-63
n19,n60,both,66.8,6.90e-123,66.8,9.29e-119
n19,n61,both,67.6,3.31e-125,67.6,4.45e-121
n19,n62,both,47.7,3.40e-70,47.7,4.58e-66
n19,n64,both,47.2,1.54e-67,47.2,2.08e-63
n19,n66,both,73.7,1.61e-132,73.7,2.17e-128
n19,n67,both,38.0,1.98e-45,38.0,2.67e-41
n19,n68,both,73.4,5.54e-133,73.4,7.46e-129
n19,n69,both,40.8,4.42e-60,40.8,5.95e-56
n19,n7,both,74.4,1.41e-136,74.4,1.90e-132
n19,n70,both,44.7,8.13e-73,44.7,1.15e-68
n19,n71,both,53.4,8.79e-91,52.5,2.39e-87
n19,n72,both,44.7,1.08e-67,44.7,1.46e-63
