node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
m0199	6eeb7b649b01121426a96ddee3c2c007	XHH12374	XHH12374	NylC1	Leucobacter chromiiresistens	357		
m0200	6f59754c646b6771593cdb66b1cc732b	WP_045318561.1	WP_045318561.1	1678	Lentzea aerocolonigenes	424		
m0201	6f5b887d3833e9449f06aac8cfc2e5d6	YNPsite06_CeleraDRAFT_367810	YNPsite06_CeleraDRAFT_367810	Enzyme 301 like	Metagenome	495	1	3.40.50.1820
m0202	701849adbc66ce54e28ad407951aee3b	WP_252811421.1	WP_252811421.1	ESM084	Actinoallomurus spadix	424		
m0203	70461e4ccc8f072afc5757915d4ab26f	WP_162908185.1	WP_162908185.1	407	Allorhizocola rhizosphaerae	436		
m0204	706fff86ca9f67473863ad795f5707fc	WP_252275389.1	WP_252275389.1	ESM096	Pseudomonas subflava	296		
m0205	710f4592bfa0115da9f3500092b3518f	KU695573	KU695573;WP_022964382.1	PpCutA; PoCut	Pseudomonas oleovorans DSM 50188	307	1	3.40.50.1820
m0206	71d88f44c8ddca8715a62d0d30305df5	RLI42440.1	RLI42440.1	PET46	Candidatus Bathyarchaeota archaeon	262	1	3.40.50.1820
m0207	7269cc72c4e11c63f64df5c2d937af35	WP_256510519.1	WP_256510519.1	TEP164	Crossiella sp. SN42	403		
m0208	7290711b3d888830a61b777dcd01df5d	ADV92528.1	ADV92528.1;E9LVI0_THEFU	TfH42_Cut1	Thermobifida fusca DSM44342	262	1	3.40.50.1820
m0209	73f07a67f93f50ac08de42fd3f33928a	A0A351YZM4	A0A351YZM4	Nyl32	Treponema sp.	328		
m0210	7452d6761b99d133be32ee4b17239cd1	Q6N9M9	Q6N9M9; RPA1511;WP_011157072.1	RPA1511, esterase	Rhodopseudomonas palustris	295	6	3.40.50.1820
m0211	74f45b9b297fc969ba3fd070bdedc403	MBT8227529.1	MBT8227529.1	DP021	Dactylosporangium sp.	451		
m0212	75970cca0aca8c2628e21abeff92d2b0	MGYP000271253724	MGYP000271253724	DP068	Marine metagenome	420		
m0213	75b2b72259a73dea11dea49d5062379d	WP_220815207	WP_220815207	PpPETase	Pseudomonas paralcaligenes	298		
m0214	760d48b991f3789858295120e590915c	WP_010949597.1	WP_010949597.1	Nyl84	Mycobacterium avium subsp. paratuberculosis	347		
m0215	761f31759bb5d73ea55282d40c050c2e	AFA45122.1	AFA45122.1;H6WX58	Thh_Est	Thermobifida halotolerans	262	1	3.40.50.1820
m0216	77a7b5a521e48effd1710f14533ed6a5	WP_132337032.1	WP_132337032.1	1521	Micromonospora sp. KC213	443		
m0217	77b3eb7d458379633a6175152729a2e8	A4UZ13	A4UZ13	PlaM8 depolymerase	Metagenome	283	5	3.40.50.1820
m0218	77bca54fb186cc66d3f509d6fb835b65	NYLA_FLASK	NYLA_FLASK;WP_012476897.1	NylA	Paenarthrobacter ureafaciens K172	493	10	3.90.1300.10
m0219	783d312623e9a23ce795d29a255d97a8	WP_155388305.1	WP_155388305.1	1522	Catellatospora paridis	276		
m0220	78f18c1dd8a82d742a0cccc5a0e6a951	WP_082766707.1	WP_082766707.1	Nyl11	Ferrimonas marina	343		
m0221	790629d20f9a499b3cf518e1e7000b71	MBX3621832.1	MBX3621832.1	ESM045	Rhizobacter sp.	280		
m0222	79c49015e4218f7c3a46046c08b8030d	WP_035284691	WP_035284691	DP007	Actinokineospora spheciospongiae	297		
m0223	7a0b4f5fc6faf46b8f8e8de955097dbe	WP_129849678.1	WP_129849678.1	191	Streptomyces sp. SCA2-2	316		
m0224	7acde97244b13e14de682a6f3f3def1e	YNP18_240440	YNP18_240440	Enzyme 204 like	Metagenome	258	1	3.40.50.1820
m0225	7ad7db832510d64d62b4e29db40fa372	WP_184682765.1	WP_184682765.1	DP078	Pseudomonas fluvialis	298		
m0226	7cf1ce68095952a5cc8abd5bbcfd1ff7	WP_182904095.1	WP_182904095.1	ESM038	Microbispora sp. H10830	450		
m0227	7d1184184e0086123cd94070ab861eb2	BAD07474.1	BAD07474.1	Nepenthesin-1	Nepenthes distillatoria	437		
m0228	7d398f96d8a77630de8a9da0c6635b29	WP_281901711.1	WP_281901711.1	ESM064	Phytohabitans aurantiacus	401		
m0229	7d43cc8143961b92bacba0d218fe7818	WDT94443	WDT94443	TA26	Thermoleophilum album	321		
m0230	7e5680dfd06abf1e4f5a432453eb246d	WP_151597653.1	WP_151597653.1	DP016	Actinomadura physcomitrii	310		
m0231	7f597bfa435ab3ad4d01391067fcea07	WP_232326807.1	WP_232326807.1	ESM026	Microbispora sp. ATCC PTA-5024	435		
m0232	7f7526ac0c7c4c8440ba6812322c88d5	WP_108898452	WP_108898452;WP_108898452.1	Lip4_120	Caldibacillus thermoamylovorans	417	25	3.40.50.1820
m0233	815c8cb8347c7ae5a0b5f9f5e645b5db	Q12559	Q12559	PURase	Aspergillus oryzae	545	10	3.90.1300.10
m0234	81a9df90765d3ca5a2dbd97ac8fe0e4f	AKJ87264	AKJ87264	MGS0156	Metagenome	421	24	3.40.50.1820
m0235	81f568dbaa464c36246be059cfa19188	WNY00484.1	WNY00484.1	GlacPETase	Pseudomonas sp.	282	1	3.40.50.1820
m0236	821c28b3e158579536d0795e3661b21a	BAE95770.1	BAE95770.1;Q1EPR4	NylC	Kocuria sp. KY2	355	9	3.60.70.12
m0237	829800eec935d841bf6bcc8772be89b2	NP_999368.1	NP_999368.1	porcine pancreatic lipase	Sus scrofa	112		
m0238	82b7aa41d984234dbb69f23c5dfebbb9	XAQ58225	XAQ58225;XAQ58225.1	BaCut1-like	Blastobotrys sp. G-9	222	2	3.40.50.1820
m0239	82d420ad8219d9469aeea11873ba7544	WP_084578793.1	WP_084578793.1	1718	Kutzneria sp. 744	337		
m0240	83679359d645f51f2cc5de9332d999c2	WP_221382552.1	WP_221382552.1	DP061	Paractinoplanes polyasparticus	457		
m0241	837c8cc88d3bee11c34fe65c687d9dcb	A0A1Q3SHB0	A0A1Q3SHB0	Nyl12	Gammaproteobacteria bacterium 39-13	328		
m0242	83d0a1b5946039d3d9f242317fa6fb04	WP_247684544.1	WP_247684544.1	ESM121	Micromonospora sp. D93	337		
m0243	848290309a9cbec4776951ce54a69af3	WZH92451.1	WZH92451.1	aryl acylamidase	Nocardia farcinica	479		
m0244	8498b2d8f6b8bed93dff49ed65b14a6a	A0A1Y4BJH4	A0A1Y4BJH4	Nyl14	Olsenella sp. An290	335		
m0245	84adddad34e99d2a499ea48da9b8e877	WP_051808300.1	WP_051808300.1	1638	Actinoplanes subtropicus	277		
m0246	84ba28218df106867af936d87aba63b4	AAP41848.1	AAP41848.1;Q7X0P3	RoxA	Steroidobacter cummioxidans 35Y	678	15	NA
m0247	85933cc8711bcbd2db56860adfb2fd54	Chen, 2024	Chen, 2024	phaZ-like	Cuprivadus necator ATC17699	276	22	3.40.50.1820
m0248	8665fb3ab4a93730539cbcef27fe971c	MBN1171866.1	MBN1171866.1	TEP083	Micromonosporaceae bacterium	325		
m0249	86e8274d483618172b997d8cd41d9088	WP_131056699.1	WP_131056699.1	1519	Verrucosispora sp. SN26_14.1	426		
m0250	871ef0545eb8542ab53b599df2bff175	WP_101366623.1	WP_101366623.1	1625	Plantactinospora sp. CNZ320	468		
m0251	87d890e381a7d683e581e77330a26d0d	WP_203777396.1	WP_203777396.1	ESM052	Paractinoplanes deccanensis	417		
m0252	88d5d5ad4f13b7f9976990ed82e5489d	WKW63608.1	WKW63608.1	PET94	Arenibacter palladensis	433		
m0253	89a542779c863e59d7568848d38bc88c	KXS08985	KXS08985	Nyl04	Gonapodya prolifera	366		
m0254	8a27f08047aeded2e90bf33e519d6d59	A0A840P940	A0A840P940	Tt-NylC	Thermocatellispora tengchongensis	332	9	3.60.70.12
m0255	8a8c23e1f5be053cf56566f33d5c2c4f	PSR30050	PSR30050	Nyl25	Sulfobacillus benefaciens	325		
m0256	8b6e9ddd1da10e1d0d3c47e2aeaaba85	Q0K7T2	Q0K7T2;WP_010813770.1	PhaZ2	Cuprivadus necator ATC17699	404	3	3.40.50.1820
m0257	8c0f8f5d213b7906c63a5fb5aa82b750	TWG17167.1	TWG17167.1	ESM062	Micromonospora taraxaci	465		
m0258	8f7ceab2fc48801f9eff4ec96dd6b2b3	WP_041847557	WP_041847557;WP_041847557.1	Est18_23	Caldibacillus thermoamylovorans	491	23	3.40.50.1820
m0259	8f9519fc6a65305fa5d478fdece2fc6f	XHH12378	XHH12378	NylC5	Gordonia sp. (in: high G+C Gram-positive bacteria)	364		
m0260	8fede4413e76abb354158b5bb05b5c6e	MBO4274871.1	MBO4274871.1	ESM024	Microbispora triticiradicis	432		
m0261	908216a2c74668c66d426a981d0e781f	GGR16917.1	GGR16917.1	ESM136	Actinoplanes ianthinogenes	431		
m0262	919d07e2ff9f6934831419a4fee7cec4	WP_239095870.1	WP_239095870.1	TEP168	Micromonospora lutea	449		
m0263	91fdd1b5e2e32c2e3842e6b87058f3ad	WP_218920366.1	WP_218920366.1	APET-5	Lentzea guizhouensis	298		
m0264	925eaa1d8c145880ff409530b973e7fe	SAY37582.1	SAY37582.1	PHL-21	Compost metagenome	260	1	3.40.50.1820
m0265	93b32d1591ea6472ac216d086e5cbcd0	WP_247056560.1	WP_247056560.1	ESM140	Amycolatopsis sp. WQ 127309	308		
m0266	93d3e56e0fbe62971eaa3408dd5c2753	WP_130342639	WP_130342639	DP008	Herbihabitans rhizosphaerae	297		
m0267	93e9e12285afdbc5032f261307327236	MBN2622270.1	MBN2622270.1	DP057	Acidimicrobiales bacterium	322		
m0268	9584eb11232d43e7df101608e2829102	WP_086849962.1	WP_086849962.1	554	Amycolatopsis kentuckyensis	309		
m0269	95981aed79b153af6c6d1c44c404d164	WP_083950838.1	WP_083950838.1	917	Actinomadura bacterium	297		
m0270	95b8c354124ce6fc0e73869c1285b609	ACY95991.1	ACY95991.1;WP_012850775.1	Tcur0390	Thermobifida curvata DSM43183	292	1	3.40.50.1820
m0271	95d1e9d1e5c89ada66637cb1f2c7e05e	MT664881	MT664881;WP_189902969.1	Lcp1	Streptomyces sp. AC04842	410	16	NA
m0272	95d3a22f0e3002d3ebc3f9cc29dfe4d8	WP_078844206.1	WP_078844206.1	1555	Streptomyces achromogenes	348		
m0273	9610434481ec16c88506a703693f96ab	YNPsite05_CeleraDRAFT_401410	YNPsite05_CeleraDRAFT_401410	Enzyme 202	Chloroflexus sp. MS-G	380	1	3.40.50.1820
m0274	96377f7c445eeaa275813b1b600057b4	WP_218517662.1	WP_218517662.1	TEP163	Streptomyces sp. TRM70350	418		
m0275	970357e6455a991c27de46edeee96a39	A4UZ10	AB302136; A4UZ10;BAF57210.1	PlaM4 depolymerase	Metagenome	431	25	3.40.50.1820
m0276	9779282f44f5947a072f15c26945d21a	BAA32541.1	BAA32541.1;O82950	PhaZst	Pseudomonas stutzeri	576	29	3.40.50.1820
m0277	98b7cab0bd87dc8928ce3d2268c12837	WP_170322449.1	WP_170322449.1	Nyl54	Acrocarpospora macrocephala	313		
m0278	9a2d32901525985492563aa339b79812	WP_068752972.1	WP_068752972.1	PC6	Thermobifida cellulosilytica	300		
m0279	9a39f26de8397ad8e82c7ddd5ffb0a75	RZL02950.1	RZL02950.1	1395	Herbihabitans rhizosphaerae	295		
m0280	9b203af8e18663d4e3880d49e74753ac	WP_109639600.1	WP_109639600.1	1573	Lentzea atacamensis	422		
m0281	9b361d2c16557499693210de2a8a01b4	A0A0G3BI90_9BURK	A0A0G3BI90_9BURK;WP_047194864.1	PET6; BSQ33_03270	Vibrio gazogenes	298	1	3.40.50.1820
m0282	9b90c9e3ec99c954a957af14f8a6dbfa	PWX09261.1	PWX09261.1	Nyl30	Clostridium perfringens	325		
m0283	9bc4714d8e79f6fcfcad8aca634001ab	WP_092528534.1	WP_092528534.1	282	Amycolatopsis arida	299		
m0284	9be600f74fc6650fed502d1de7647551	GFJ87714.1	GFJ87714.1	ESM033	Phytohabitans rumicis	402		
m0285	9c6726c69068e8abf43de5f7f465e825	MBA55398.1	MBA55398.1	PC8	Pseudomonadales bacterium	303		
m0286	9c7dbb673a1f18286b846d8354918b3d	A0A1S6Q8F9	A0A1S6Q8F9;AQV11968.1	RoxB	Steroidobacter cummioxidans 35Y	681	15	NA
m0287	9d30a8d3a59a8932a82976151ee0fdf1	GxsBSedJan11_10251181	GxsBSedJan11_10251181	Enzyme 305 like	Metagenome	335	35	3.40.50.1820
m0288	9ddbfd65b32950166fd96c22ff7b9b51	A0A315R6Z8	A0A315R6Z8	Nyl29	Halanaerobium sp.	302		
m0289	9ffafefd549320c21cd92af62f19d6eb	TQL66274.1	TQL66274.1	1309	Nocardioides albertanoniae	286		
m0290	a0445e5a5b156ccfedc088c49acfd84a	AET05799.1	AET05799.1;CAH17553.1;JN129500.1;Q47RJ6_THEFY;Q6A0I4;WP_011291330.1	Cut2	Thermobifida fusca NRRL B-8184	301	1	3.40.50.1820
m0291	a0550530145e06d4170e283fb389aa62	EXK81749	EXK81749;X0BTD8	FoCut5a	Fusarium oxysporum	230	2	3.40.50.1820
m0292	a07188a7bbb3e92357c73d9654c37734	WP_091553551.1	WP_091553551.1	1628	Micromonospora pattaloongensis	463		
m0293	a0904c35f59716a292ebfca5adfcbc0e	WP_013858543.1	WP_013858543.1	HG-4	Heyndrickxia coagulans	254	1	3.40.50.1820
m0294	a1903a69f23f1f6796d526895436a50c	A0A7C3G8G6	A0A7C3G8G6	Nyl63	Oceanithermus sp.	288		
m0295	a231cf4880bedee499375b591f4c7cfc	AII11185	AII11185	LMC021	Rhodococcus opacus R7	516	14	2.60.40.420
m0296	a2dfe48912d34dabd9ec983f2380b945	QEX94755.1	QEX94755.1	Sub1	Streptomyces scabiei	186	2	3.40.50.1820
m0297	a2f79a79ff4db5f56ded2690d708f4c9	WBC00352.1	WBC00352.1	ESM012	Solwaraspora sp. WMMA2059	415		
m0298	a436d17bdfc2c17a51007a01c569dc7a	EIW29778.1	EIW29778.1	PFL1	Pelosinus fermentans DSM-17108	402	25	3.40.50.1820
m0299	a4c818ade03b8dd4ac34b64a7842f3ec	AAR25849.1	AAR25849.1	LCP_STRK3	Streptomyces sp. K30	397		
m0300	a4cafac901140b6b19f1c384d078b5d5	AKZ20829.1	AKZ20829.1	Cbotu_EstB	Clostridium botulinum ATCC3502	400	25	3.40.50.1820
m0301	a5e57aa9699b655bb23f42f50c4debb3	W0TJ64	W0TJ64;WP_015787089.1	Cut190	Saccharomonospora viridis AHK190	304	1	3.40.50.1820
m0302	a79509a510d90a50f6702955b1ad3b49	AAA25908.1	AAA25908.1;NYLA_PSES8	NylA	Pseudomonas sp. strain NK87	493	10	3.90.1300.10
m0303	a9bad1df9172c94be6b225bd32b6bd1d	BAB86909	BAB86909;Q8RR62	PbsA	Acidovorax delafieldii Strain BS-3	304	1	3.40.50.1820
m0304	aa1b463709fa62d66034d00d46f2bb52	WP_008690040.1	WP_008690040.1	HG-5	Longicatena bacterium	313		
m0305	aa2b99b06ee80b2a22d650e6f32f1c1e	WOR09923	WOR09923	SIBER-1	Microbispora sp.	257	1	3.40.50.1820
m0306	aa5e991d0a1e69991b26163c98de8ec8	PWR09075.1	PWR09075.1	ESM157	Micromonospora acroterricola	292		
m0307	aaa9786d473a7eb02349e757ab50352c	SAY37584.1	SAY37584.1	PHL-41	Compost metagenome	257	1	3.40.50.1820
m0308	aaede276fbd61767d03028e2d193d5a7	KQR39103	KQR39103	M-NylC	Microbacterium sp.	340	9	3.60.70.12
m0309	ab6b2d53513cc127c20db4ff15e7a322	Q0VLQ1	Q0VLQ1;WP_011589723.1	ABO2449, esterase	Alcanivorax borkumensis	305	32	3.40.50.1820
m0310	adfd257d774083524a52123058ec51d1	WP_075975245.1	WP_075975245.1	PC5	Actinokineospora bangkokensis	307		
m0311	ae6cbacf6d3d769dff0a3b8f7cedca64	CAA34684	CAA34684	CRL	Diutina rugosa	538		
m0312	aea6a56696f03519f9e6511f50cff512	MBJ7347705.1	MBJ7347705.1	DP080	Thermoleophilaceae bacterium	292		
m0313	afb025038508228d84d2fe8c130d5d14	WP_111881932	WP_111881932;WP_111881932.1	PET27	Aequorivita sp. CIP111184	364	1	3.40.50.1820
m0314	b22bccd61057993ecd2ea241ac190b32	WP_068749367	WP_068749367	TvgC	Thermovenabulum gondwanense	326		
m0315	b2964719fb8ec22dc054cd79f0d5be48	WP_086599340.1	WP_086599340.1	TEP097	Streptomyces swartbergensis	455		
m0316	b2ce4b3f3cb218404c049bd6ca3c3fef	WP_018657411.1	WP_018657411.1	APET-24	Actinomadura flavalba	287		
m0317	b3098fdcf4be1ef53a8636f87b4e409c	MGYP000221121644	MGYP000221121644	DP081	Marine metagenome	425		
m0318	b316862d7118e4358cbe8bf6be6de118	ESK97883	ESK97883;ESK97883.1	MRCUT1	Moniliophthora roreri	203	2	3.40.50.1820
m0319	b3403aecb7ec20ee0e5b0e79cac01b17	WP_158852571.1	WP_158852571.1	ESM035	Saccharothrix deserti	398		
m0320	b413b66095d2f7ce85f02f9748d49cb5	OKK16161.1	OKK16161.1	1537	Streptomyces sp. CB00455	425		
m0321	b48a5e7e77b3b427ca89ac65da361050	BAE95769.2	BAE95769.2;Q1EPR5	NylC	Agromyces sp. KY5R	355	9	3.60.70.12
m0322	b4e16b9dec1e241cf86cedf832d14404	WP_173061649.1	WP_173061649.1	ESM058	Phytohabitans houttuyneae	447		
m0323	b58a47b76cafd61a000f8498a34fd166	GIU85371.1	GIU85371.1	TEP189	Acidimicrobiales bacterium	242		
m0324	b60f5228c9d11de0576f0da3088e22d6	XP_005707592.1	XP_005707592.1	Nyl83	Galdieria sulphuraria	361		
m0325	b6f1885d482dc52936e39d224a8c33d1	WP_084434874.1	WP_084434874.1	1663	Kibdelosporangium aridum	289		
m0326	b6f8363af9f6b89b71da887bdc4c3060	ACD16728.1	ACD16728.1;WP_012433325.1	PURase	Burkholderia phytofirmans DSM17436	316	19	TBDZ
m0327	b7a63a9cee46bcf4fbdf5b30b67b812f	A0A7X7N2B0	A0A7X7N2B0	Nyl74	Coriobacteriaceae bacterium	364		
m0328	b80b1227f73f4dd4ff1fd9546d415275	MBE65357.1	MBE65357.1	APET-29	Gammaproteobacteria bacterium	305		
m0329	b8d2efe3a6d76dcf58f691a374d528ed	ADH43200.1	ADH43200.1	BsEstB	Bacillus subtilis 4P3-11	489	23	3.40.50.1820
m0330	b9431762171b80707139661059a4d5f3	A0A2I2K6T5	A0A2I2K6T5;SIP63154.1	CE_Ubrb	Metagenome-derived	295	23	3.40.50.1820
m0331	b96e3838fee9bee7a9d7d7d57eda9386	A0A1H6AD45	A0A1H6AD45;WP_088276085.1	PpelaLip	Pseudomonas pelagia DSM 25163	304	1	3.40.50.1820
m0332	bb60668c33aefeacbb320f1a972407e4	ABP86951	ABP86951	PmC	Ectopseudomonas mendocina	280		
m0333	bc7a038f9383a1c9351ad53e8f89a243	MEC8523093	MEC8523093;MEC8523093.1	dsPETase05	Pseudomonadota bacterium	292	1	3.40.50.1820
m0334	bd809f78218b2481c1bf1b3a46c74053	WP_065917710.1	WP_065917710.1	1169	Lentzea guizhouensis	276		
m0335	bd90b02ae5726ceb4ec9f4431ba2ac16	WP_084400763.1	WP_084400763.1	1506	Lentzea albidocapillata	436		
m0336	bdd9d6d45144ac9284029bc832a33641	WP_307855560.1	WP_307855560.1	TEP109	Kibdelosporangium banguiense	307		
m0337	bdf8d7a37e7c86332298115201631ed5	WP_265247586.1	WP_265247586.1	ESM081	Micromonospora sp. CPCC 205371	402		
m0338	be7dd8f21d1b03631b329ecc8c66318e	AGT96414.1	AGT96414.1	MGS0105 (KC986400)	Marine metagenome	390	8	3.40.710.10
m0339	be8748feeb335dbb23ea57c0ca66828f	D1A9G5	D1A9G5;WP_012851645.1	Tcur_1278	Thermobifida curvata DSM43183	289	1	3.40.50.1820
m0340	bfc457646ef92b3c1ed060f134602fba	A4UZ11	A4UZ11	PlaM5 depolymerase	Metagenome	419	25	3.40.50.1820
m0341	c0173ba184ddb729e7ef9122ecff0145	RGD93181	RGD93181;RGD93181.1	HG-3	Clostridiales bacterium AM23-16LB	270	1	3.40.50.1820
m0342	c02edb9924a7f5bcd356a4cb811dd674	AAF01331.1	AAF01331.1	PueB	Pseudomonas chloroaphis	567	4	3.40.50.1820
m0343	c05531f7c89f4efafc1f2537c89ad129	ARF18137.1	ARF18137.1	PURase	Sporosarcina ureae P17a	472	10	3.90.1300.10
m0344	c07da837b710b266f98b045916b5543a	ABY53108.1	ABY53108.1;B0FLR6	PLase2	Amycolatopsis (Nocardia) orientalis	241	11	2.40.10.10
m0345	c08f82b42046b09e9b8187331726a4f0	UFE15764.1	UFE15764.1	lcp3		399		
m0346	c0d2eecc958484c772145471290f41e4	WP_129786244.1	WP_129786244.1	DP089	Promicromonospora panici	287		
m0347	c119a9b5c297563dbef710cd0dfbaa94	P00780	P00780	Subtilisin; subC	Lederbergia (Bacillus) licheniformis	379	21	3.40.50.1820
m0348	c14a617c964156f1d3d4b9dedd1535b4	KPI31299.1	KPI31299.1	607-Nsp	Actinobacteria bacterium OV320	306		
m0349	c1a1ed20efb294068bc8e1483c391d0c	MSQ87502.1	MSQ87502.1	APET-23	Alphaproteobacteria bacterium	326		
m0350	c21fdb598a3887e2e8a5af55068ffec4	BAI44731	BAI44731	OoH	Rhodococcus sp. Oct1	479	10	3.90.1300.10
m0351	c2610dc7556aacd9a00bede53a3a5ef9	AHG30919.1	AHG30919.1	MGS0010 (KF801579)	Marine metagenome	414	41	3.40.710.10
m0352	c2dc98ad498bf96179a52733ac69516e	P29599	P29599	Subtilisin BL	Lederbergia (Bacillus) lentus	269	21	3.40.50.1820
m0353	c38a15e286e531b02f655ce186f4c301	WP_099848711.1	WP_099848711.1	1525	Verrucosispora sp. CNZ293	444		
m0354	c3b10fec34299e75939e57d3458275fe	ADV66860.1	ADV66860.1;E8U721	PET1; DmPETase	Deinococcus maricopensis DSM 21211	315	1	3.40.50.1820
m0355	c481f69d5a5519d8ed15b1c1254b764d	CAB56500	CAB56500	Subtilisin SubC	Bacillus licheniformis	379		
m0356	c48ea13e3b7c4343a47482e71c9b2abe	JzSedJan11_10004914	JzSedJan11_10004914	Enzyme 211 like	Metagenome	263	1	3.40.50.1820
m0357	c4c87c36c70a8f1b15d4f8d38155f609	ADK73612	ADK73612;ADK73612.1	PLE629	Marinobacter sp.	302	1	3.40.50.1820
m0358	c51ea9e72ca4f046ba7b615cdd6e1bc0	jmPE13	jmPE13	jmPE13	Pseudomonas sp. JM16B3	273	1	3.40.50.1820
m0359	c5c958d03feed023c70aead575ffd575	CAA83122.1	CAA83122.1;LIPB_PSEA2	lipase B; CalB	Pseudozyma antarctica	342	7	3.40.50.1820
m0360	c5df14884c3311c4b6216b9fc6bf19bd	WP_110567505.1	WP_110567505.1	1603	Micromonospora arborensis	465		
m0361	c627badfbdd42acfa7664595a681b789	BAK48590.1	BAK48590.1;F7IX06	Est119; Est2	Thermobifida alba AHK119	300	1	3.40.50.1820
m0362	c7b8c2c370eec0414f50a51a98586820	A0A7C7DKE8	A0A7C7DKE8	Nyl66	Candidatus Fermentithermobacillaceae bacterium	342		
m0363	c87e1883782cb8f461fcd4586e8cd500	WP_253762837.1	WP_253762837.1	TEP178	Hamadaea flava	287		
m0364	c941981ddefbf835b8fb921890d009e0	WP_210157342.1	WP_210157342.1	ESM021	Microbispora oryzae	452		
m0365	c96dbeb66cbc47f7911296f991cdfb8d	Q0JYJ1	Q0JYJ1;WP_011617846.1	PhaZ7	Cuprivadus necator ATC17699	365	31	3.40.50.1820
m0366	c9ffb681928784046345a8ec3ee7f48b	WP_271190254.1	WP_271190254.1	ESM097	Dactylosporangium matsuzakiense	417		
m0367	ca075b0d53cbfb1de3c6d2a744a2276c	RYL92504.1	RYL92504.1	Nyl45	Sporolactobacillus sp. THM7-4	325		
m0368	cae1f0e206dd5d377dbfb013f72cd60c	AJ810119	AJ810119;CAH17554.1	BTA-2; TfH	Thermobifida fusca DSM43793	301	1	3.40.50.1820
m0369	cb8aae798de32e627b62936dbc407aaf	WP_013736455.1	WP_013736455.1	1546	Micromonospora sp. (multispecies)	448		
m0370	cb8ee61f26429b3ce6a175e6f02222ef	AAY92474.2	AAY92474.2;WP_011061489.1	PueB	Pseudomonas protegens strain Pf-5	561	4	3.40.50.1820
m0371	cbddcdc003933ffe8ee63f00b7c12abf	WP_203906211.1	WP_203906211.1	ESM159	Rhizocola hellebori	301		
m0372	cbe6e6c036ad8643698609d6a197ff5d	BAC67195.1	BAC67195.1;Q83VDO	PLaA	Paenibacillus amylolyticus TB13	201	26	3.40.50.1820
m0373	ccec191e60e12d1782682af2211d9640	WP_185053500	WP_185053500	TtA	Thermocatellispora tengchongensis	471	10	3.90.1300.10
m0374	cd3efa9108622a39c229634066ce0292	AB102945.1	AB102945.1; Q874E;BAC67242.1	S-2; CLE; cutinase	Cryptococcus sp.	239	2	3.40.50.1820
m0375	cefc6b105a243397b6a039e186c6c27b	WP_141569747.1	WP_141569747.1	1478	Streptomyces ipomoeae	331		
m0376	cf88b3e711edffd341ba052fb3365c25	CBY05530	CBY05530;E5BBQ3_THEFU	TfCut_2; Cut-2.kw3	Thermobifida fusca	261	1	3.40.50.1820
m0377	d03a36b0671215d716f1df2ade24268f	WP_118011433	WP_118011433;WP_118011433.1	HG-2	Holdemanella biformis	259	1	3.40.50.1820
m0378	d09446e7bab13e062244cd0babc73a84	WP_073887759.1	WP_073887759.1	1465	Saccharothrix sp. CB00851	415		
m0379	d0cd1d061b574c3e97321300be9b3c6e	WP_120326365.1	WP_120326365.1	486	Micromonospora globbae	300		
m0380	d1aa8fa7800d986fee5acab07614bd0d	WAU86704	WAU86704;WAU86704.1	PET40	Amycolatopsis bacterium	263	1	3.40.50.1820
m0381	d2d63d5f8721e814ea2a657ecc8fe703	WP_082377728.1	WP_082377728.1	1534	Micromonospora sp. NRRL B-16802	469		
m0382	d357a79e14b6376e4d3557864252bfe8	AAZ54920.1	AAZ54920.1;AET05798.1;JN129499.1;Q47RJ7_THEFY	Cut1	Thermobifida fusca NRRL B-8184	319	1	3.40.50.1820
m0383	d39f4e4eb5bc5b5de87a6807337446ec	B2NHN2	B2NHN2;BAG32152.1	PHAase	Talaromyces funiculosus	339	27	3.40.50.1820
m0384	d3daf5d62100e8ce832f8dde87008494	GIU85367.1	GIU85367.1	ESM050	Acidimicrobiales bacterium	276		
m0385	d4376d2f4006abaa992a58c321df357d	WP_125191182.1	WP_125191182.1	1477	Streptomyces sp. RP5T	315		
m0386	d45af0ae492f2a5ff717aac22e783527	WP_250563816.1	WP_250563816.1	TEP194	Sphaerisporangium fuscum	277		
m0387	d46d1c755303a13d2a19d9393a49d2f7	AAA33335.1	AAA33335.1	FsC	Fusarium solani	230	2	3.40.50.1820
m0388	d5a5677d777e4a427d908bb7cedd98df	WP_264933993.1	WP_264933993.1	TEP024	Streptomyces sp. A012304	455		
m0389	d5d535a4628f661aac624e4bf67a6739	WP_124822775.1	WP_124822775.1	1611	Micromonospora ureilytica	465		
m0390	d5df0a16c2eaa48e8fab4f9997684475	WP_269740835.1	WP_269740835.1	ESM128	Verrucosispora sp. WMMA2121	299		
m0391	d67ede223c06bbb9c7903735558b4123	AGT96415	AGT96415;AGT96415.1	MGS0109 (KC986401)	Marine metagenome	314	1	3.40.50.1820
m0392	d78ca54fff3eddbc5a27aec8c337f94f	WP_058088494.1	WP_058088494.1	AdCut	Acidovorax delafieldii	279	1	3.40.50.1820
m0393	d79cf5b4d590dd725f813e9a110c9f14	MCF0091346.1	MCF0091346.1	ESM130	Micromonospora sp. MH99	469		
m0394	d887c31f2cd02dc21c2c52c61d02bd31	WP_103564314.1	WP_103564314.1	1340	Actinomadura rubteroloni	298		
