enzyme_name,organism,sequence_md5,node_id,sequence_length,matches_v1_node
TEP097,Streptomyces swartbergensis,b2964719fb8ec22dc054cd79f0d5be48,m0315,455,0
APET-24,Actinomadura flavalba,b2ce4b3f3cb218404c049bd6ca3c3fef,m0316,287,0
DP081,Marine metagenome,b3098fdcf4be1ef53a8636f87b4e409c,m0317,425,0
MRCUT1,Moniliophthora roreri,b316862d7118e4358cbe8bf6be6de118,m0318,203,1
ESM035,Saccharothrix deserti,b3403aecb7ec20ee0e5b0e79cac01b17,m0319,398,0
1537,Streptomyces sp. CB00455,b413b66095d2f7ce85f02f9748d49cb5,m0320,425,0
NylCA,Agromyces sp. KY5R,b48a5e7e77b3b427ca89ac65da361050,m0321,355,1
ESM058,Phytohabitans houttuyneae,b4e16b9dec1e241cf86cedf832d14404,m0322,447,0
TEP189,Acidimicrobiales bacterium,b58a47b76cafd61a000f8498a34fd166,m0323,242,0
Nyl83,Galdieria sulphuraria,b60f5228c9d11de0576f0da3088e22d6,m0324,361,0
1663,Kibdelosporangium aridum,b6f1885d482dc52936e39d224a8c33d1,m0325,289,0
Amidase,Paraburkholderia phytofirmans,b6f8363af9f6b89b71da887bdc4c3060,m0326,316,1
Nyl74,Coriobacteriaceae bacterium,b7a63a9cee46bcf4fbdf5b30b67b812f,m0327,364,0
APET-29,Gammaproteobacteria bacterium,b80b1227f73f4dd4ff1fd9546d415275,m0328,305,0
BsEstB,Bacillus subtilis,b8d2efe3a6d76dcf58f691a374d528ed,m0329,489,1
CE_Ubrb,,b9431762171b80707139661059a4d5f3,m0330,295,1
PE-H,Halopseudomonas aestusnigri,b96e3838fee9bee7a9d7d7d57eda9386,m0331,304,1
PmC,Ectopseudomonas mendocina,bb60668c33aefeacbb320f1a972407e4,m0332,280,0
dsPETase06,Pseudomonadota bacterium,bc7a038f9383a1c9351ad53e8f89a243,m0333,292,1
1169,Lentzea guizhouensis,bd809f78218b2481c1bf1b3a46c74053,m0334,276,0
1506,Lentzea albidocapillata,bd90b02ae5726ceb4ec9f4431ba2ac16,m0335,436,0
TEP109,Kibdelosporangium banguiense,bdd9d6d45144ac9284029bc832a33641,m0336,307,0
ESM081,Micromonospora sp. CPCC 205371,bdf8d7a37e7c86332298115201631ed5,m0337,402,0
MGS0105,Marine metagenome,be7dd8f21d1b03631b329ecc8c66318e,m0338,390,1
Tcur_1278,Thermomonospora curvata,be8748feeb335dbb23ea57c0ca66828f,m0339,289,1
HG-3,Clostridiales bacterium AM23-16LB,c0173ba184ddb729e7ef9122ecff0145,m0341,270,1
LipasePueB,Pseudomonas chlororaphis,c02edb9924a7f5bcd356a4cb811dd674,m0342,567,1
Amidase,Sporosarcina ureae,c05531f7c89f4efafc1f2537c89ad129,m0343,472,1
PLAase II,Amycolatopsis orientalis,c07da837b710b266f98b045916b5543a,m0344,241,1
lcp3,,c08f82b42046b09e9b8187331726a4f0,m0345,399,0
DP089,Promicromonospora panici,c0d2eecc958484c772145471290f41e4,m0346,287,0
607-Nsp,Actinobacteria bacterium OV320,c14a617c964156f1d3d4b9dedd1535b4,m0348,306,0
APET-23,Alphaproteobacteria bacterium,c1a1ed20efb294068bc8e1483c391d0c,m0349,326,0
OoH,Rhodococcus sp. Oct1,c21fdb598a3887e2e8a5af55068ffec4,m0350,479,1
MGS0010,Marine metagenome,c2610dc7556aacd9a00bede53a3a5ef9,m0351,414,1
Subtilisin BL,Lederbergia lenta,c2dc98ad498bf96179a52733ac69516e,m0352,269,1
1525,Verrucosispora sp. CNZ293,c38a15e286e531b02f655ce186f4c301,m0353,444,0
PET1,Deinococcus maricopensis,c3b10fec34299e75939e57d3458275fe,m0354,315,1
Subtilisin SubC,Bacillus licheniformis,c481f69d5a5519d8ed15b1c1254b764d,m0355,379,0
PpCutA,Ectopseudomonas oleovorans,c4c87c36c70a8f1b15d4f8d38155f609,m0357,302,1
CalB,Moesziomyces antarcticus,c5c958d03feed023c70aead575ffd575,m0359,342,1
1603,Micromonospora arborensis,c5df14884c3311c4b6216b9fc6bf19bd,m0360,465,0
Est119,Thermobifida alba,c627badfbdd42acfa7664595a681b789,m0361,300,1
Nyl66,Candidatus Fermentithermobacillaceae bacterium,c7b8c2c370eec0414f50a51a98586820,m0362,342,0
TEP178,Hamadaea flava,c87e1883782cb8f461fcd4586e8cd500,m0363,287,0
ESM021,Microbispora oryzae,c941981ddefbf835b8fb921890d009e0,m0364,452,0
PhaZ Sa,Cupriavidus necator,c96dbeb66cbc47f7911296f991cdfb8d,m0365,365,1
ESM097,Dactylosporangium matsuzakiense,c9ffb681928784046345a8ec3ee7f48b,m0366,417,0
Nyl45,Sporolactobacillus sp. THM7-4,ca075b0d53cbfb1de3c6d2a744a2276c,m0367,325,0
BTA-2,Thermobifida fusca,cae1f0e206dd5d377dbfb013f72cd60c,m0368,301,1
1546,Micromonospora sp. (multispecies),cb8aae798de32e627b62936dbc407aaf,m0369,448,0
PueB,Pseudomonas protegens,cb8ee61f26429b3ce6a175e6f02222ef,m0370,561,1
ESM159,Rhizocola hellebori,cbddcdc003933ffe8ee63f00b7c12abf,m0371,301,0
PLaA,Paenibacillus amylolyticus,cbe6e6c036ad8643698609d6a197ff5d,m0372,201,1
TtA,Thermocatellispora tengchongensis,ccec191e60e12d1782682af2211d9640,m0373,471,1
Cutinase,Cryptococcus sp. S-2,cd3efa9108622a39c229634066ce0292,m0374,239,1
1478,Streptomyces ipomoeae,cefc6b105a243397b6a039e186c6c27b,m0375,331,0
TfCut_2,Thermobifida fusca,cf88b3e711edffd341ba052fb3365c25,m0376,261,1
HG-2,Holdemanella biformis,d03a36b0671215d716f1df2ade24268f,m0377,259,1
1465,Saccharothrix sp. CB00851,d09446e7bab13e062244cd0babc73a84,m0378,415,0
486,Micromonospora globbae,d0cd1d061b574c3e97321300be9b3c6e,m0379,300,0
PET40,Amycolatopsis bacterium,d1aa8fa7800d986fee5acab07614bd0d,m0380,263,1
1534,Micromonospora sp. NRRL B-16802,d2d63d5f8721e814ea2a657ecc8fe703,m0381,469,0
Tfu_0882,Thermobifida fusca,d357a79e14b6376e4d3557864252bfe8,m0382,319,1
Cut1,Thermobifida fusca,d357a79e14b6376e4d3557864252bfe8,m0382,319,1
PHB depolymerase,Talaromyces funiculosus,d39f4e4eb5bc5b5de87a6807337446ec,m0383,339,1
ESM050,Acidimicrobiales bacterium,d3daf5d62100e8ce832f8dde87008494,m0384,276,0
1477,Streptomyces sp. RP5T,d4376d2f4006abaa992a58c321df357d,m0385,315,0
TEP194,Sphaerisporangium fuscum,d45af0ae492f2a5ff717aac22e783527,m0386,277,0
FsC,Fusarium solani,d46d1c755303a13d2a19d9393a49d2f7,m0387,230,1
TEP024,Streptomyces sp. A012304,d5a5677d777e4a427d908bb7cedd98df,m0388,455,0
1611,Micromonospora ureilytica,d5d535a4628f661aac624e4bf67a6739,m0389,465,0
ESM128,Verrucosispora sp. WMMA2121,d5df0a16c2eaa48e8fab4f9997684475,m0390,299,0
MGS0109,Marine metagenome,d67ede223c06bbb9c7903735558b4123,m0391,314,1
ESM130,Micromonospora sp. MH99,d79cf5b4d590dd725f813e9a110c9f14,m0393,469,0
1340,Actinomadura rubteroloni,d887c31f2cd02dc21c2c52c61d02bd31,m0394,298,0
PlaM9,PLA disk compost metagenome,d8bf4c4b8965f1f5509d077b1db637c5,m0395,338,1
1642,Micromonospora orduensis,d8c880a8e19c3f44b32d639747b57222,m0396,465,0
Arylacylamidase,Nocardia farcinica,d91b645ebea282e1c771123a7abe685f,m0397,479,1
LipasePueA,Pseudomonas chlororaphis,da74b7409b4c0618cc66c7787e557585,m0398,617,1
FSC,Fusarium solani,dab2da810add966a777bb8c243da293b,m0399,230,1
1594,Micromonospora carbonacea,dbb69c16a79774a1a51b4b80a8f1bd63,m0400,463,0
1493,Micromonospora sp. KC606,dcdd75a330b1680da8c69fade4d72aab,m0401,454,0
MnP,,dd7528addd91f972769d7e42c16b53cd,m0402,378,0
Hfor_PE-H,Halopseudomonas formosensis,de58930843f53b731bc34d03f729488d,m0404,304,1
GEN0105,Environmental metagenome,de7fd3cae353ad8fabd922f83140376c,m0405,322,1
Nyl10,Jatrophihabitans endophyticus,dea4da8f4f93db0b2277eac7ec3e5196,m0406,285,0
ISPETase,Piscinibacter sakaiensis,df38ea060b5dad0dfc9a593e4dce333c,m0407,290,1
HiC,Mycothermus thermophilus,e0b91bc8063c1c7e94e918fcfd8cf2bc,m0408,194,1
PET5,Oleispira antarctica,e0db2a4f62c16fd0850cb05f28dbe103,m0409,310,1
701,Thermobifida fusca,e125fba23d29946317aa25973b8c03cb,m0410,301,1
APET-27,Halopseudomonas oceani,e1a1ea6ee428462b281b661258d4bb19,m0411,288,0
Nyl72,Acidimicrobiia bacterium,e33e8b6636c423c0a7bb6aea68306978,m0412,292,0
CPUTNase,Candida parapsilosis,e422c7b9aabe1a23f75d15bd35cf71a6,m0413,551,1
APET-32,Oleibacter sp. HI0075,e44d2abc0169b043201fff28f40feeb9,m0414,292,0
PudA,Delftia acidovorans,e49911a7e5738e9056e9fb9c5a9aa7ae,m0415,548,1
Nyl34,SAR116 cluster bacterium,e4d76d3d7e6833a775f7b2770ac87c6b,m0416,304,0
UMG-SP-3,Environmental sample,e517914dc89db0a2eedf86b6f66bf60c,m0417,439,1
ESM173,Micromonospora sp. CP22,e525d1329e534ccfe83308865ef3fa06,m0418,449,0
SM14est,Streptomyces sp. SM14,e5571e8fd143e90bd5db0ca52ce67226,m0419,284,1
APET-15,Actinomadura atramentaria,e56db99e4a0ff79df4c68a9972670396,m0420,285,0
NylB',Paenarthrobacter ureafaciens,e58fe1dc5273be59865137941bcdaa35,m0421,392,0
Est11_32,Caldibacillus thermoamylovorans,e5a559b306f8a40b94d6844216b41307,m0422,256,1
Thc_Cut1,Thermobifida cellulosilytica,e65e54bed8b506d0ddf1f5164bf29425,m0423,262,1
PHL-3,Compost metagenome,e6c1800b97f5f0184a1dd73540deb95a,m0424,259,1
DP054,Actinomadura rayongensis,e6c65f28982cd50933de3173d5a6959d,m0425,295,0
PET30,Kaistella jeonii,e6cfd2897ec399a6f1d3ec1c6a98cdb7,m0426,366,1
1496,Streptomyces acidiscabies,e7456e8fab716e570d81b4e7665698f5,m0427,304,0
1876,Streptomyces dysideae,e7d1a404d6aeb48e1849f68fefcf018f,m0428,423,0
Lcp2,Microtetraspora sp. AC03309,e9d33ca1cec72c417998b92e1bde3263,m0429,409,0
CmCut,Filobasidium magnum,ea7a24d47eff2487f1491b3ad67cce64,m0430,226,1
PhaZcac,,eaea73ed1586531b0f860ec8e714f64e,m0431,494,0
TEP061,Microbispora rosea subsp. aerata,eba0373101b5f637e985de667b0b86e7,m0432,296,0
1621,Micromonospora chokoriensis,ebab773a50031e4f18dfa532f93c9379,m0433,465,0
NylC,Paenarthrobacter ureafaciens,ebd22bc012fd6e181f43bc728b85dc79,m0434,355,1
KaPETase,Kibdelosporangium aridum,ec1108b84e036f58c2b72e2c1fcd594e,m0435,286,0
NylB,Paenarthrobacter ureafaciens,ec89fcce3f831d4efa72c84c4ac889ee,m0436,392,1
247,Steroidobacter cummioxidans,ece8f45d57141ab0f29280d76fc2a9b7,m0437,288,0
PET2,Metagenome-derived with  no obvious affiliation,ee0092b4288da1c69a59e16f2b702cdf,m0438,308,1
ESM167,Amycolatopsis tolypomycina,ee65196da3cdd70d808c0f9ce2241ace,m0439,309,0
Nyl40,Deltaproteobacteria bacterium,ee6b0a11b080383c4383a93312d4003e,m0440,322,0
Nyl44,Deltaproteobacteria bacterium,ee81132e0d2e864d7ce91cabcdfc1cf4,m0441,326,0
Kubu-P,Kutzneria buriramensis,eeae01ba76427bc51c141cb43ccba7fd,m0442,288,0
606,Marinactinospora thermotolerans,ef08656ab980fbd8c17fe79b6060a681,m0443,311,1
Nyl60,Dehalococcoidia bacterium,ef202661c7e74e69a79dbd3c290e1b5b,m0445,325,0
PC3,Thermomonospora echinospora,f00445f8b289d0164aff442192f24187,m0446,292,0
TEP010,Verrucosispora sioxanthis,f0c7dd480618fe5d7346e71180cd108d,m0447,432,0
Cbotu_EstA,Clostridium botulinum,f21de0ea2dcb603946ac9638d3076b59,m0449,452,1
ESM080,Micromonospora rifamycinica,f2230dff660f44612d863d5256b21d66,m0450,473,0
1620,Micromonospora saelicesensis,f246639aef84a3e6be3c89eac9b2dfbf,m0451,461,0
ESM156,Paractinoplanes tereljensis,f2a58e1db1245fbca5aba50020c17682,m0452,293,0
ESM061,Plantactinospora alkalitolerans,f2e235a71b5ce3ac861bb6b70e9c8fef,m0453,346,0
PhaZ3,Cupriavidus necator,f3019f8a82e15ef9ac9ed61f6a611c97,m0454,412,1
APET-26,Dactylosporangium siamense,f382d762cf0b0bafd3934f5417accc62,m0455,268,0
ESM010,Microbispora sp. (multispecies),f50fd2a3843ce155233b360ab9cded21,m0456,475,0
PHL-6,Compost metagenome,f5ac2c525370f659e6c1b4fc71e16ce1,m0457,257,1
Dkca1,Dietzia kunjamensis,f768e32a79d0b17b006886911c31b36d,m0458,462,1
TEP165,Micromonospora sp. HM5-17,f78eb617d08e5260c3365650f70fcad8,m0459,442,0
CutL1,Aspergillus oryzae,f7e864f6573eccaba6017448237af700,m0460,213,1
414,Amycolatopsis bacterium,f85c8564f510148807a599ea6a5cf433,m0461,289,0
PhaY1(PhaZ2),Cupriavidus necator,f972c4fe64b984d09a783a3fcdfb3199,m0462,718,1
Nyl82,Desulfomonile tiedjei,faf6984f2f1464301a6db7313145d9f3,m0463,334,0
ESM139,Amycolatopsis sp. CA-128772,fb2204e84d7a9a86df947cd20e179223,m0464,339,0
1475,Lentzea kentuckyensis,fb6cb498ca713c8ff665a94eeaeab29f,m0466,375,0
1571,Micromonospora inaquosa,fbbad91070ae99aa6eed1595044335d5,m0467,329,0
ESM069,Micromonospora saelicesensis,fbdf1fd8bb136bc1f27b76dfedecd095,m0468,443,0
Trypsin,Sus scrofa,fceeefb59ad5e778ca5e914e61d0c945,m0470,231,0
Mipa-P,Micromonospora pattaloongensis,fd6fe4eecb575bbb51d49f121a523532,m0471,294,0
PLE629,Marinobacter sp.,fe08eef9c8f87d7d57af2914ff906b14,m0472,316,1
Tcca,Thermobacillus composti,fe1766a388c03c1e83be5dd8c749ba4b,m0473,508,1
PC4,Amycolatopsis eburnea,fe354046ad936ac3305fe124cc0c4bcc,m0475,309,0
Nyl13,Faecalibaculum rodentium,fea43b060eb31c4f0bf3beb4b1f9e521,m0476,324,0
