node_id	sequence_md5	accession	accession_all	enzyme_name	enzyme_name_all	organism	sequence_length	n_source_rows	v1_component	cath
m0192	68c96339ea5e9153dffdfbe8f9906985	WP_139580723.1	WP_139580723.1	DP092	DP092	Microbispora catharanthi	450	1		
m0193	68f440a1f49336f2bc51060f5c2e99f1	MBO9532528.1	MBO9532528.1	APET-20	APET-20	Solirubrobacteraceae bacterium	293	1		
m0194	690953c8ee380d8f7a711710318247ac	WP_145923095.1	WP_145923095.1	1635	1635	Micromonospora sp. HM134	487	1		
m0195	6b1009cf128e698e040b3329caa14ce2	WP_229836555.1	WP_229836555.1	ESM090	ESM090	Dactylosporangium sucinum	285	1		
m0196	6bfc5e52adfd5c1d647dbdd440a07380	WP_132386942.1	WP_132386942.1	1489	1489	Micromonospora sp. KC723	447	1		
m0197	6c8a21cf9b056c70de13236ba6a2c881	A0A6A7M915	A0A6A7M915	Nyl58	Nyl58	Rhodospirillales bacterium	342	1		
m0198	6c92a78329d5a05cad38caf62075d747	P19833.1	P19833.1	Mors1	Mors1	Moraxella sp. TA144	319	1	1	3.40.50.1820
m0199	6c94e122d721e790088493d35c7c03a9	WP_203733135.1	WP_203733135.1	DP082	DP082	Paractinoplanes durhamensis	295	1		
m0200	6cfa5991a1358a2618da129bb29a2d1c	SUD16364	SUD16364	PaCut	PaCut	Aquipseudomonas alcaligenes	298	1	1	3.40.50.1820
m0201	6def7fc8a6f81bb797445e688dbb615f	OPG10926.1	OPG10926.1	169	169	Microbispora sp. GKU 823	308	1		
m0202	6e59b2b22d0932610243c38a9455adb5	WP_141984372.1	WP_141984372.1	1482	1482	Saccharothrix saharensis	413	1		
m0203	6e80f2f31cbe7bc9184caed2bea23776	WP_239086781.1	WP_239086781.1	ESM177	ESM177	Catellatospora methionotrophica	290	1		
m0204	6eeb7b649b01121426a96ddee3c2c007	XHH12374	XHH12374	NylC1	NylC1	Leucobacter chromiiresistens	357	1		
m0205	6f59754c646b6771593cdb66b1cc732b	WP_045318561.1	WP_045318561.1	1678	1678	Lentzea aerocolonigenes	424	1		
m0206	701849adbc66ce54e28ad407951aee3b	WP_252811421.1	WP_252811421.1	ESM084	ESM084;TEP114	Actinoallomurus spadix	424	2		
m0207	70461e4ccc8f072afc5757915d4ab26f	WP_162908185.1	WP_162908185.1	407	407	Allorhizocola rhizosphaerae	436	1		
m0208	706fff86ca9f67473863ad795f5707fc	WP_252275389.1	WP_252275389.1	ESM096	ESM096	Pseudomonas subflava	296	1		
m0209	710f4592bfa0115da9f3500092b3518f	WP_022964382.1	WP_022964382.1	PpelaLip	PpelaLip	Halopseudomonas pelagia	307	1	1	3.40.50.1820
m0210	71d88f44c8ddca8715a62d0d30305df5	RLI42440.1	RLI42440.1	PET46	PET46	Candidatus Bathyarchaeota archaeon	262	1	1	3.40.50.1820
m0211	7269cc72c4e11c63f64df5c2d937af35	WP_256510519.1	WP_256510519.1	TEP164	TEP164	Crossiella sp. SN42	403	1		
m0212	7290711b3d888830a61b777dcd01df5d	ADV92528.1	ADV92528.1	TfH42_Cut1	TfH42_Cut1	Thermobifida fusca	262	1	1	3.40.50.1820
m0213	73f07a67f93f50ac08de42fd3f33928a	A0A351YZM4	A0A351YZM4	Nyl32	Nyl32	Treponema sp.	328	1		
m0214	7452d6761b99d133be32ee4b17239cd1	WP_011157072.1	WP_011157072.1	RPA1511	RPA1511	Rhodopseudomonas palustris	295	1	6	3.40.50.1820
m0215	74f45b9b297fc969ba3fd070bdedc403	MBT8227529.1	MBT8227529.1	DP021	DP021	Dactylosporangium sp.	451	1		
m0216	75970cca0aca8c2628e21abeff92d2b0	MGYP000271253724	MGYP000271253724	DP068	DP068	Marine metagenome	420	1		
m0217	75b2b72259a73dea11dea49d5062379d	WP_220815207	WP_220815207	PpPETase	PpPETase	Pseudomonas paralcaligenes	298	1		
m0218	75bb9ab0210af3940fb95e2939ac10fe			dsPETase05	dsPETase05		301	1		
m0219	760d48b991f3789858295120e590915c	WP_010949597.1	WP_010949597.1	Nyl84	Nyl84	Mycobacterium avium subsp. paratuberculosis	347	1		
m0220	761f31759bb5d73ea55282d40c050c2e	AFA45122.1	AFA45122.1	Thh_Est	Thh_Est	Thermobifida halotolerans	262	1	1	3.40.50.1820
m0221	77a7b5a521e48effd1710f14533ed6a5	WP_132337032.1	WP_132337032.1	1521	1521	Micromonospora sp. KC213	443	1		
m0222	77b3eb7d458379633a6175152729a2e8	BAF57213.1	BAF57213.1	PlaM8 depolymerase	PlaM8 depolymerase	Metagenome	283	1	5	3.40.50.1820
m0223	77bca54fb186cc66d3f509d6fb835b65	WP_012476897.1	WP_012476897.1	NylA	NylA	Paenarthrobacter ureafaciens	493	1	10	3.90.1300.10
m0224	783d312623e9a23ce795d29a255d97a8	WP_155388305.1	WP_155388305.1	1522	1522	Catellatospora paridis	276	1		
m0225	78f18c1dd8a82d742a0cccc5a0e6a951	WP_082766707.1	WP_082766707.1	Nyl11	Nyl11	Ferrimonas marina	343	1		
m0226	790629d20f9a499b3cf518e1e7000b71	MBX3621832.1	MBX3621832.1	ESM045	ESM045	Rhizobacter sp.	280	1		
m0227	79c49015e4218f7c3a46046c08b8030d	WP_035284691	WP_035284691	DP007	DP007	Actinokineospora spheciospongiae	297	1		
m0228	7a0b4f5fc6faf46b8f8e8de955097dbe	WP_129849678.1	WP_129849678.1	191	191	Streptomyces sp. SCA2-2	316	1		
m0229	7ad7db832510d64d62b4e29db40fa372	WP_184682765.1	WP_184682765.1	DP078	DP078	Pseudomonas fluvialis	298	1		
m0230	7cf1ce68095952a5cc8abd5bbcfd1ff7	WP_182904095.1	WP_182904095.1	ESM038	ESM038	Microbispora sp. H10830	450	1		
m0231	7d1184184e0086123cd94070ab861eb2	BAD07474.1	BAD07474.1	Nepenthesin-1	Nepenthesin-1	Nepenthes distillatoria	437	1		
m0232	7d398f96d8a77630de8a9da0c6635b29	WP_281901711.1	WP_281901711.1	ESM064	ESM064	Phytohabitans aurantiacus	401	1		
m0233	7d43cc8143961b92bacba0d218fe7818	WDT94443	WDT94443	TA26	TA26	Thermoleophilum album	321	1		
m0234	7e5680dfd06abf1e4f5a432453eb246d	WP_151597653.1	WP_151597653.1	DP016	DP016	Actinomadura physcomitrii	310	1		
m0235	7f597bfa435ab3ad4d01391067fcea07	WP_232326807.1	WP_232326807.1	ESM026	ESM026	Microbispora sp. ATCC PTA-5024	435	1		
m0236	7f7526ac0c7c4c8440ba6812322c88d5	WP_108898452	WP_108898452	Lip4_120	Lip4_120	Caldibacillus thermoamylovorans	417	1	25	3.40.50.1820
m0237	815c8cb8347c7ae5a0b5f9f5e645b5db	Q12559.2	Q12559.2	PURase	PURase	Aspergillus oryzae	545	1	10	3.90.1300.10
m0238	81a9df90765d3ca5a2dbd97ac8fe0e4f	AKJ87264	AKJ87264	MGS0156	MGS0156	Environmental metagenome	421	1	24	3.40.50.1820
m0239	81f568dbaa464c36246be059cfa19188	WNY00484.1	WNY00484.1	GlacPETase	GlacPETase	Pseudomonas sp.	282	1	1	3.40.50.1820
m0240	821c28b3e158579536d0795e3661b21a	BAE95770.1	BAE95770.1	NylCK	NylCK	Kocuria sp. KY2	355	1	9	3.60.70.12
m0241	829800eec935d841bf6bcc8772be89b2	NP_999368.1	NP_999368.1	porcine pancreatic lipase	porcine pancreatic lipase	Sus scrofa	112	1		
m0242	82b7aa41d984234dbb69f23c5dfebbb9	XAQ58225	XAQ58225	BaCut1	BaCut1	Blastobotrys sp. G-9	222	1	2	3.40.50.1820
m0243	82b7c2b8fe6536c3c95f6f083c3a4609			TaC	TaC		228	1		
m0244	82d420ad8219d9469aeea11873ba7544	WP_084578793.1	WP_084578793.1	1718	1718	Kutzneria sp. 744	337	1		
m0245	83679359d645f51f2cc5de9332d999c2	WP_221382552.1	WP_221382552.1	DP061	DP061	Paractinoplanes polyasparticus	457	1		
m0246	837c8cc88d3bee11c34fe65c687d9dcb	A0A1Q3SHB0	A0A1Q3SHB0	Nyl12	Nyl12	Gammaproteobacteria bacterium 39-13	328	1		
m0247	83bbf155ce587843c5c2b69af972c135			101	101		310	1		
m0248	83d0a1b5946039d3d9f242317fa6fb04	WP_247684544.1	WP_247684544.1	ESM121	ESM121	Micromonospora sp. D93	337	1		
m0249	848290309a9cbec4776951ce54a69af3	WZH92451.1	WZH92451.1	aryl acylamidase	aryl acylamidase	Nocardia farcinica	479	1		
m0250	8498b2d8f6b8bed93dff49ed65b14a6a	A0A1Y4BJH4	A0A1Y4BJH4	Nyl14	Nyl14	Olsenella sp. An290	335	1		
m0251	84adddad34e99d2a499ea48da9b8e877	WP_051808300.1	WP_051808300.1	1638	1638	Actinoplanes subtropicus	277	1		
m0252	84ba28218df106867af936d87aba63b4	AAP41848.1	AAP41848.1	RoxA	RoxA	Steroidobacter cummioxidans	678	1	15	NA
m0253	85933cc8711bcbd2db56860adfb2fd54	WP_013956815.1	WP_013956815.1	phaZ-like	phaZ-like	Cuprivadus necator ATC17699	276	1	22	3.40.50.1820
m0254	8665fb3ab4a93730539cbcef27fe971c	MBN1171866.1	MBN1171866.1	TEP083	TEP083	Micromonosporaceae bacterium	325	1		
m0255	86e8274d483618172b997d8cd41d9088	WP_131056699.1	WP_131056699.1	1519	1519	Verrucosispora sp. SN26_14.1	426	1		
m0256	871ef0545eb8542ab53b599df2bff175	WP_101366623.1	WP_101366623.1	1625	1625	Plantactinospora sp. CNZ320	468	1		
m0257	87d890e381a7d683e581e77330a26d0d	WP_203777396.1	WP_203777396.1	ESM052	ESM052	Paractinoplanes deccanensis	417	1		
m0258	88c057e08abd5cd2d38525a4b182df17			305	305		240	1		
m0259	88d5d5ad4f13b7f9976990ed82e5489d	WKW63608.1	WKW63608.1	PET94	PET94	Arenibacter palladensis	433	1		
m0260	89a542779c863e59d7568848d38bc88c	KXS08985	KXS08985	Nyl04	Nyl04	Gonapodya prolifera	366	1		
m0261	8a27f08047aeded2e90bf33e519d6d59	A0A840P940	A0A840P940	Tt-NylC	Tt-NylC	Thermocatellispora tengchongensis	332	1	9	3.60.70.12
m0262	8a8c23e1f5be053cf56566f33d5c2c4f	PSR30050	PSR30050	Nyl25	Nyl25	Sulfobacillus benefaciens	325	1		
m0263	8b6e9ddd1da10e1d0d3c47e2aeaaba85	WP_010813770.1	WP_010813770.1	PhaZ2	PhaZ2	Cupriavidus necator	404	1	3	3.40.50.1820
m0264	8b71424d34732e291dc5137e65650b20			pQR3144	pQR3144		478	1		
m0265	8c0f8f5d213b7906c63a5fb5aa82b750	TWG17167.1	TWG17167.1	ESM062	ESM062	Micromonospora taraxaci	465	1		
m0266	8f7ceab2fc48801f9eff4ec96dd6b2b3	WP_041847557	WP_041847557	Est18_23	Est18_23	Caldibacillus thermoamylovorans	491	1	23	3.40.50.1820
m0267	8f9519fc6a65305fa5d478fdece2fc6f	XHH12378	XHH12378	NylC5	NylC5	Gordonia sp. (in: high G+C Gram-positive bacteria)	364	1		
m0268	8fede4413e76abb354158b5bb05b5c6e	MBO4274871.1	MBO4274871.1	ESM024	ESM024	Microbispora triticiradicis	432	1		
m0269	908216a2c74668c66d426a981d0e781f	GGR16917.1	GGR16917.1	ESM136	ESM136	Actinoplanes ianthinogenes	431	1		
m0270	919d07e2ff9f6934831419a4fee7cec4	WP_239095870.1	WP_239095870.1	TEP168	TEP168	Micromonospora lutea	449	1		
m0271	91fdd1b5e2e32c2e3842e6b87058f3ad	WP_218920366.1	WP_218920366.1	APET-5	APET-5	Lentzea guizhouensis	298	1		
m0272	925eaa1d8c145880ff409530b973e7fe	SAY37582.1	SAY37582.1	PHL-2	PHL-2	compost metagenome	260	1	1	3.40.50.1820
m0273	93b32d1591ea6472ac216d086e5cbcd0	WP_247056560.1	WP_247056560.1	ESM140	ESM140	Amycolatopsis sp. WQ 127309	308	1		
m0274	93d3e56e0fbe62971eaa3408dd5c2753	WP_130342639	WP_130342639	DP008	DP008	Herbihabitans rhizosphaerae	297	1		
m0275	93e9e12285afdbc5032f261307327236	MBN2622270.1	MBN2622270.1	DP057	DP057	Acidimicrobiales bacterium	322	1		
m0276	9584eb11232d43e7df101608e2829102	WP_086849962.1	WP_086849962.1	554	554	Amycolatopsis kentuckyensis	309	1		
m0277	95981aed79b153af6c6d1c44c404d164	WP_083950838.1	WP_083950838.1	917	917	Actinomadura bacterium	297	1		
m0278	95b8c354124ce6fc0e73869c1285b609	WP_012850775.1	WP_012850775.1	Tcur0390	Tcur0390	Thermomonospora curvata	292	1	1	3.40.50.1820
m0279	95d1e9d1e5c89ada66637cb1f2c7e05e	WP_189902969.1	WP_189902969.1	Lcp1	Lcp1	Streptomyces sp. AC04842	410	1	16	NA
m0280	95d3a22f0e3002d3ebc3f9cc29dfe4d8	WP_078844206.1	WP_078844206.1	1555	1555	Streptomyces achromogenes	348	1		
m0281	96377f7c445eeaa275813b1b600057b4	WP_218517662.1	WP_218517662.1	TEP163	TEP163	Streptomyces sp. TRM70350	418	1		
m0282	970357e6455a991c27de46edeee96a39	BAF57210.1	BAF57210.1	PlaM4	PlaM4	PLA disk compost metagenome	431	1	25	3.40.50.1820
m0283	972624f6791ef0c42c0591d2122951f9			GatA	GatA		489	1		
m0284	9779282f44f5947a072f15c26945d21a	BAA32541.1	BAA32541.1	PhaZpst	PhaZpst	Stutzerimonas stutzeri	576	1	29	3.40.50.1820
m0285	98b7cab0bd87dc8928ce3d2268c12837	WP_170322449.1	WP_170322449.1	Nyl54	Nyl54	Acrocarpospora macrocephala	313	1		
m0286	9a2d32901525985492563aa339b79812	WP_068752972.1	WP_068752972.1	PC6	PC6	Thermobifida cellulosilytica	300	1		
m0287	9a39f26de8397ad8e82c7ddd5ffb0a75	RZL02950.1	RZL02950.1	1395	1395	Herbihabitans rhizosphaerae	295	1		
m0288	9b203af8e18663d4e3880d49e74753ac	WP_109639600.1	WP_109639600.1	1573	1573	Lentzea atacamensis	422	1		
m0289	9b361d2c16557499693210de2a8a01b4	WP_047194864.1	WP_047194864.1	PET12	PET12	Caldimonas brevitalea	298	1	1	3.40.50.1820
m0290	9b90c9e3ec99c954a957af14f8a6dbfa	PWX09261.1	PWX09261.1	Nyl30	Nyl30	Clostridium perfringens	325	1		
m0291	9bc4714d8e79f6fcfcad8aca634001ab	WP_092528534.1	WP_092528534.1	282	282	Amycolatopsis arida	299	1		
m0292	9be600f74fc6650fed502d1de7647551	GFJ87714.1	GFJ87714.1	ESM033	ESM033	Phytohabitans rumicis	402	1		
m0293	9c6726c69068e8abf43de5f7f465e825	MBA55398.1	MBA55398.1	PC8	PC8	Pseudomonadales bacterium	303	1		
m0294	9c7dbb673a1f18286b846d8354918b3d	AQV11968.1	AQV11968.1	RoxB	RoxB	Steroidobacter cummioxidans	681	1	15	NA
m0295	9ddbfd65b32950166fd96c22ff7b9b51	A0A315R6Z8	A0A315R6Z8	Nyl29	Nyl29	Halanaerobium sp.	302	1		
m0296	9ffafefd549320c21cd92af62f19d6eb	TQL66274.1	TQL66274.1	1309	1309	Nocardioides albertanoniae	286	1		
m0297	a0445e5a5b156ccfedc088c49acfd84a	AET05799.1	AET05799.1;CAH17553.1;WP_011291330.1	BTA-1	BTA-1;Cut2;Tfu_0883	Thermobifida fusca	301	3	1	3.40.50.1820
m0298	a0550530145e06d4170e283fb389aa62	EXK81749	EXK81749	FoCut5a	FoCut5a	Fusarium oxysporum	230	1	2	3.40.50.1820
m0299	a07188a7bbb3e92357c73d9654c37734	WP_091553551.1	WP_091553551.1	1628	1628	Micromonospora pattaloongensis	463	1		
m0300	a0904c35f59716a292ebfca5adfcbc0e	WP_013858543.1	WP_013858543.1	HG-4	HG-4	Heyndrickxia coagulans	254	1	1	3.40.50.1820
m0301	a1903a69f23f1f6796d526895436a50c	A0A7C3G8G6	A0A7C3G8G6	Nyl63	Nyl63	Oceanithermus sp.	288	1		
m0302	a231cf4880bedee499375b591f4c7cfc	AII11185.1	AII11185.1	LMC021	LMC021	Rhodococcus opacus R7	516	1	14	2.60.40.420
m0303	a2dfe48912d34dabd9ec983f2380b945	QEX94755.1	QEX94755.1	Sub1	Sub1	Streptomyces scabiei	186	1	2	3.40.50.1820
m0304	a2f79a79ff4db5f56ded2690d708f4c9	WBC00352.1	WBC00352.1	ESM012	ESM012	Solwaraspora sp. WMMA2059	415	1		
m0305	a436d17bdfc2c17a51007a01c569dc7a	EIW29778.1	EIW29778.1	PFL1	PFL1	Pelosinus fermentans	402	1	25	3.40.50.1820
m0306	a4c818ade03b8dd4ac34b64a7842f3ec	AAR25849.1	AAR25849.1	LCP_STRK3	LCP_STRK3	Streptomyces sp. K30	397	1		
m0307	a4cafac901140b6b19f1c384d078b5d5	AKZ20829.1	AKZ20829.1	Cbotu_EstB	Cbotu_EstB	Clostridium botulinum	400	1	25	3.40.50.1820
m0308	a5e57aa9699b655bb23f42f50c4debb3	WP_015787089.1	WP_015787089.1	Cut190	Cut190	Saccharomonospora viridis	304	1	1	3.40.50.1820
m0309	a6c3596d69125ab458261514e4f2d0ce			pQR3139	pQR3139		482	1		
m0310	a79509a510d90a50f6702955b1ad3b49	AAA25908.1	AAA25908.1	P-nylA	P-nylA	Pseudomonas sp. NK87	493	1	10	3.90.1300.10
m0311	a9bad1df9172c94be6b225bd32b6bd1d	BAB86909	BAB86909	AdCut	AdCut;PbsA	Acidovorax delafieldii	304	2	1	3.40.50.1820
m0312	aa1b463709fa62d66034d00d46f2bb52	WP_008690040.1	WP_008690040.1	HG-5	HG-5	Longicatena bacterium	313	1		
m0313	aa2b99b06ee80b2a22d650e6f32f1c1e	WOR09923.1	WOR09923.1	SIBER-1	SIBER-1	Microbispora sp.	257	1	1	3.40.50.1820
m0314	aa2bdf8b95c633e11b920c991aa91e25			301	301		219	1		
m0315	aa5e991d0a1e69991b26163c98de8ec8	PWR09075.1	PWR09075.1	ESM157	ESM157	Micromonospora acroterricola	292	1		
m0316	aaa184289d853bcf736eda85066f3e23			214	214		248	1		
m0317	aaa9786d473a7eb02349e757ab50352c	SAY37584.1	SAY37584.1	PHL-4	PHL-4	Compost metagenome	257	1	1	3.40.50.1820
m0318	aaede276fbd61767d03028e2d193d5a7	KQR39103	KQR39103	M-NylC	M-NylC	Microbacterium sp.	340	1	9	3.60.70.12
m0319	ab6b2d53513cc127c20db4ff15e7a322	WP_011589723.1	WP_011589723.1	ABO2449	ABO2449	Alcanivorax borkumensis	305	1	32	3.40.50.1820
m0320	ad715d0e7253b705ad67dbe9a037f418			pQR3141	pQR3141		496	1		
m0321	adfd257d774083524a52123058ec51d1	WP_075975245.1	WP_075975245.1	PC5	PC5	Actinokineospora bangkokensis	307	1		
m0322	ae6cbacf6d3d769dff0a3b8f7cedca64	CAA34684	CAA34684	CRL	CRL	Diutina rugosa	538	1		
m0323	aea6a56696f03519f9e6511f50cff512	MBJ7347705.1	MBJ7347705.1	DP080	DP080	Thermoleophilaceae bacterium	292	1		
m0324	afb025038508228d84d2fe8c130d5d14	WP_111881932.1	WP_111881932.1	PET27	PET27	Aequorivita sp. CIP111184	364	1	1	3.40.50.1820
m0325	b007b8710e413f8bd4c4e937274b9f60			GuaPA	GuaPA		299	1		
m0326	b22bccd61057993ecd2ea241ac190b32	WP_068749367	WP_068749367	TvgC	TvgC	Thermovenabulum gondwanense	326	1		
m0327	b2964719fb8ec22dc054cd79f0d5be48	WP_086599340.1	WP_086599340.1	TEP097	TEP097	Streptomyces swartbergensis	455	1		
m0328	b2ce4b3f3cb218404c049bd6ca3c3fef	WP_018657411.1	WP_018657411.1	APET-24	APET-24	Actinomadura flavalba	287	1		
m0329	b3098fdcf4be1ef53a8636f87b4e409c	MGYP000221121644	MGYP000221121644	DP081	DP081	Marine metagenome	425	1		
m0330	b316862d7118e4358cbe8bf6be6de118	ESK97883.1	ESK97883.1	MRCUT1	MRCUT1	Moniliophthora roreri	203	1	2	3.40.50.1820
m0331	b3403aecb7ec20ee0e5b0e79cac01b17	WP_158852571.1	WP_158852571.1	ESM035	ESM035	Saccharothrix deserti	398	1		
m0332	b413b66095d2f7ce85f02f9748d49cb5	OKK16161.1	OKK16161.1	1537	1537	Streptomyces sp. CB00455	425	1		
m0333	b48a5e7e77b3b427ca89ac65da361050	BAE95769.2	BAE95769.2	NylCA	NylCA	Agromyces sp. KY5R	355	1	9	3.60.70.12
m0334	b4e16b9dec1e241cf86cedf832d14404	WP_173061649.1	WP_173061649.1	ESM058	ESM058	Phytohabitans houttuyneae	447	1		
m0335	b58a47b76cafd61a000f8498a34fd166	GIU85371.1	GIU85371.1	TEP189	TEP189	Acidimicrobiales bacterium	242	1		
m0336	b60f5228c9d11de0576f0da3088e22d6	XP_005707592.1	XP_005707592.1	Nyl83	Nyl83	Galdieria sulphuraria	361	1		
m0337	b6f1885d482dc52936e39d224a8c33d1	WP_084434874.1	WP_084434874.1	1663	1663	Kibdelosporangium aridum	289	1		
m0338	b6f8363af9f6b89b71da887bdc4c3060	WP_012433325.1	WP_012433325.1	Amidase	Amidase	Paraburkholderia phytofirmans	316	1	19	TBDZ
m0339	b7a63a9cee46bcf4fbdf5b30b67b812f	A0A7X7N2B0	A0A7X7N2B0	Nyl74	Nyl74	Coriobacteriaceae bacterium	364	1		
m0340	b80b1227f73f4dd4ff1fd9546d415275	MBE65357.1	MBE65357.1	APET-29	APET-29	Gammaproteobacteria bacterium	305	1		
m0341	b8d2efe3a6d76dcf58f691a374d528ed	ADH43200.1	ADH43200.1	BsEstB	BsEstB	Bacillus subtilis	489	1	23	3.40.50.1820
m0342	b9431762171b80707139661059a4d5f3	SIP63154.1	SIP63154.1	CE_Ubrb	CE_Ubrb		295	1	23	3.40.50.1820
m0343	b96e3838fee9bee7a9d7d7d57eda9386	WP_088276085.1	WP_088276085.1	PE-H	PE-H	Halopseudomonas aestusnigri	304	1	1	3.40.50.1820
m0344	bb60668c33aefeacbb320f1a972407e4	ABP86951	ABP86951	PmC	PmC	Ectopseudomonas mendocina	280	1		
m0345	bc7a038f9383a1c9351ad53e8f89a243	MEC8523093	MEC8523093	dsPETase06	dsPETase06	Pseudomonadota bacterium	292	1	1	3.40.50.1820
m0346	bd809f78218b2481c1bf1b3a46c74053	WP_065917710.1	WP_065917710.1	1169	1169	Lentzea guizhouensis	276	1		
m0347	bd90b02ae5726ceb4ec9f4431ba2ac16	WP_084400763.1	WP_084400763.1	1506	1506	Lentzea albidocapillata	436	1		
m0348	bdd9d6d45144ac9284029bc832a33641	WP_307855560.1	WP_307855560.1	TEP109	TEP109	Kibdelosporangium banguiense	307	1		
m0349	bdf8d7a37e7c86332298115201631ed5	WP_265247586.1	WP_265247586.1	ESM081	ESM081	Micromonospora sp. CPCC 205371	402	1		
m0350	be7dd8f21d1b03631b329ecc8c66318e	AGT96414.1	AGT96414.1	MGS0105	MGS0105	Marine metagenome	390	1	8	3.40.710.10
m0351	be8748feeb335dbb23ea57c0ca66828f	WP_012851645.1	WP_012851645.1	Tcur_1278	Tcur_1278	Thermomonospora curvata	289	1	1	3.40.50.1820
m0352	bfc457646ef92b3c1ed060f134602fba	BAF57211.1	BAF57211.1	PlaM5 depolymerase	PlaM5 depolymerase	Metagenome	419	1	25	3.40.50.1820
m0353	c0173ba184ddb729e7ef9122ecff0145	RGD93181.1	RGD93181.1	HG-3	HG-3	Clostridiales bacterium AM23-16LB	270	1	1	3.40.50.1820
m0354	c02edb9924a7f5bcd356a4cb811dd674	AAF01331.1	AAF01331.1	LipasePueB	LipasePueB	Pseudomonas chlororaphis	567	1	4	3.40.50.1820
m0355	c05531f7c89f4efafc1f2537c89ad129	ARF18137.1	ARF18137.1	Amidase	Amidase	Sporosarcina ureae	472	1	10	3.90.1300.10
m0356	c07da837b710b266f98b045916b5543a	ABY53108.1	ABY53108.1	PLAase II	PLAase II	Amycolatopsis orientalis	241	1	11	2.40.10.10
m0357	c08f82b42046b09e9b8187331726a4f0	UFE15764.1	UFE15764.1	lcp3	lcp3		399	1		
m0358	c0d2eecc958484c772145471290f41e4	WP_129786244.1	WP_129786244.1	DP089	DP089	Promicromonospora panici	287	1		
m0359	c119a9b5c297563dbef710cd0dfbaa94	P00780.2	P00780.2	Subtilisin; subC	Subtilisin; subC	Lederbergia (Bacillus) licheniformis	379	1	21	3.40.50.1820
m0360	c14a617c964156f1d3d4b9dedd1535b4	KPI31299.1	KPI31299.1	607-Nsp	607-Nsp	Actinobacteria bacterium OV320	306	1		
m0361	c1a1ed20efb294068bc8e1483c391d0c	MSQ87502.1	MSQ87502.1	APET-23	APET-23	Alphaproteobacteria bacterium	326	1		
m0362	c21fdb598a3887e2e8a5af55068ffec4	BAI44731	BAI44731	OoH	OoH	Rhodococcus sp. Oct1	479	1	10	3.90.1300.10
m0363	c2610dc7556aacd9a00bede53a3a5ef9	AHG30919.1	AHG30919.1	MGS0010	MGS0010	Marine metagenome	414	1	41	3.40.710.10
m0364	c2dc98ad498bf96179a52733ac69516e	P29599	P29599	Subtilisin BL	Subtilisin BL	Lederbergia lenta	269	1	21	3.40.50.1820
m0365	c38a15e286e531b02f655ce186f4c301	WP_099848711.1	WP_099848711.1	1525	1525	Verrucosispora sp. CNZ293	444	1		
m0366	c3b10fec34299e75939e57d3458275fe	ADV66860.1	ADV66860.1	PET1	PET1	Deinococcus maricopensis	315	1	1	3.40.50.1820
m0367	c481f69d5a5519d8ed15b1c1254b764d	CAB56500	CAB56500	Subtilisin SubC	Subtilisin SubC	Bacillus licheniformis	379	1		
m0368	c4c87c36c70a8f1b15d4f8d38155f609	ADK73612.1	ADK73612.1	PpCutA	PpCutA	Ectopseudomonas oleovorans	302	1	1	3.40.50.1820
m0369	c51ea9e72ca4f046ba7b615cdd6e1bc0			jmPE13	jmPE13		273	1	1	3.40.50.1820
m0370	c5c958d03feed023c70aead575ffd575	CAA83122.1	CAA83122.1	CalB	CalB	Moesziomyces antarcticus	342	1	7	3.40.50.1820
m0371	c5df14884c3311c4b6216b9fc6bf19bd	WP_110567505.1	WP_110567505.1	1603	1603	Micromonospora arborensis	465	1		
m0372	c627badfbdd42acfa7664595a681b789	BAK48590.1	BAK48590.1	Est119	Est119	Thermobifida alba	300	1	1	3.40.50.1820
m0373	c7b8c2c370eec0414f50a51a98586820	A0A7C7DKE8	A0A7C7DKE8	Nyl66	Nyl66	Candidatus Fermentithermobacillaceae bacterium	342	1		
m0374	c87e1883782cb8f461fcd4586e8cd500	WP_253762837.1	WP_253762837.1	TEP178	TEP178	Hamadaea flava	287	1		
m0375	c941981ddefbf835b8fb921890d009e0	WP_210157342.1	WP_210157342.1	ESM021	ESM021	Microbispora oryzae	452	1		
m0376	c96dbeb66cbc47f7911296f991cdfb8d	WP_011617846.1	WP_011617846.1	PhaZ Sa	PhaZ Sa	Cupriavidus necator	365	1	31	3.40.50.1820
m0377	c9ffb681928784046345a8ec3ee7f48b	WP_271190254.1	WP_271190254.1	ESM097	ESM097	Dactylosporangium matsuzakiense	417	1		
m0378	ca075b0d53cbfb1de3c6d2a744a2276c	RYL92504.1	RYL92504.1	Nyl45	Nyl45	Sporolactobacillus sp. THM7-4	325	1		
m0379	cae1f0e206dd5d377dbfb013f72cd60c	CAH17554.1	CAH17554.1	BTA-2	BTA-2	Thermobifida fusca	301	1	1	3.40.50.1820
m0380	cb8aae798de32e627b62936dbc407aaf	WP_013736455.1	WP_013736455.1	1546	1546	Micromonospora sp. (multispecies)	448	1		
m0381	cb8ee61f26429b3ce6a175e6f02222ef	WP_011061489.1	WP_011061489.1	PueB	PueB	Pseudomonas protegens	561	1	4	3.40.50.1820
m0382	cbddcdc003933ffe8ee63f00b7c12abf	WP_203906211.1	WP_203906211.1	ESM159	ESM159	Rhizocola hellebori	301	1		
