node_id	sequence_md5	accession	sequence_length	source	is_new	v1_component	cath	pazy_id	activity
m0284	95d1e9d1e5c89ada66637cb1f2c7e05e	MT664881	410	v1	0	16	NA		
m0285	95d3a22f0e3002d3ebc3f9cc29dfe4d8	WP_078844206.1	348	delta	1			307	Direct
m0286	9610434481ec16c88506a703693f96ab	YNPsite05_CeleraDRAFT_401410	380	v1	0	1	3.40.50.1820		
m0287	96d4ed83c932323134a598e554fe614f	MBT9528079.1	266	delta	1			449	Direct
m0288	970357e6455a991c27de46edeee96a39	AB302136; A4UZ10	431	v1	0	25	3.40.50.1820		
m0289	970def1724504687c8b99d6ee9228ba2	pazy:491	476	delta	1			491	Direct
m0290	9779282f44f5947a072f15c26945d21a	O82950	576	v1	0	29	3.40.50.1820		
m0291	9839579f8a961b10fa2885f150486b3b	WP_203812622.1	262	delta	1			444	Direct
m0292	98b7cab0bd87dc8928ce3d2268c12837	WP_170322449.1	313	delta	1			363	Direct
m0293	992cfc6b64e6310364f8c74e42685c9d	WP_104739856.1	253	delta	1			266	Direct
m0294	99422484855592d0e054aaafebbe5064	ADV92527.1	265	delta	1			29	Direct
m0295	9a2d32901525985492563aa339b79812	WP_068752972.1	300	delta	1			340	Direct
m0296	9b203af8e18663d4e3880d49e74753ac	WP_109639600.1	422	delta	1			305	Direct
m0297	9b298b3c2f83f12ed89a9e72c8094ea9	WP_211769896.1	248	delta	1			467	Direct
m0298	9b361d2c16557499693210de2a8a01b4	A0A0G3BI90_9BURK	298	v1	0	1	3.40.50.1820		
m0299	9b90c9e3ec99c954a957af14f8a6dbfa	PWX09261.1	325	delta	1			353	Direct
m0300	9bc4714d8e79f6fcfcad8aca634001ab	WP_092528534.1	299	delta	1			331	Direct
m0301	9bf0f78d8b20386eec1bbf1e0a8195ef	MBX3624429.1	266	delta	1			388	Direct
m0302	9c6726c69068e8abf43de5f7f465e825	MBA55398.1	303	delta	1			341	Direct
m0303	9c73b319cd96e0d7b064b5240e017dd4	WP_271190254.1	400	delta	1			435	Direct
m0304	9c7dbb673a1f18286b846d8354918b3d	A0A1S6Q8F9	681	v1	0	15	NA		
m0305	9d30a8d3a59a8932a82976151ee0fdf1	GxsBSedJan11_10251181	335	v1	0	35	3.40.50.1820		
m0306	9ddbfd65b32950166fd96c22ff7b9b51	A0A315R6Z8	302	delta	1			352	Direct
m0307	9eb91b2a266151fb2b7651650516e788	MBE65357.1	276	delta	1			268	Direct
m0308	9ef6d6d8b955dea01f2449a3d75e76c0	WP_167521412.1	423	delta	1			407	Direct
m0309	9ffafefd549320c21cd92af62f19d6eb	WP_246087895.1	286	delta	1			315	Direct
m0310	a0445e5a5b156ccfedc088c49acfd84a	JN129500.1	301	v1	0	1	3.40.50.1820		
m0311	a0550530145e06d4170e283fb389aa62	X0BTD8	230	v1	0	2	3.40.50.1820		
m0312	a07188a7bbb3e92357c73d9654c37734	WP_091553551.1	463	delta	1			271	Direct
m0313	a0904c35f59716a292ebfca5adfcbc0e	WP_013858543.1	254	v1	0	1	3.40.50.1820		
m0314	a1903a69f23f1f6796d526895436a50c	A0A7C3G8G6	288	delta	1			367	Direct
m0315	a219d0ace89ce6af7041b9728f1c8a30	GGO06455.1	256	delta	1			459	Direct
m0316	a231cf4880bedee499375b591f4c7cfc	AII11185	516	v1	0	14	2.60.40.420		
m0317	a2dfe48912d34dabd9ec983f2380b945	QEX94755.1	186	v1	0	2	3.40.50.1820		
m0318	a436d17bdfc2c17a51007a01c569dc7a	EIW29778.1	402	v1	0	25	3.40.50.1820		
m0319	a4cafac901140b6b19f1c384d078b5d5	AKZ20829.1	400	v1	0	25	3.40.50.1820		
m0320	a5e57aa9699b655bb23f42f50c4debb3	W0TJ64	304	v1	0	1	3.40.50.1820		
m0321	a61a3fb07d83f4a5310779cb672f166e	pazy:133	297	delta	1			133	Direct
m0322	a79509a510d90a50f6702955b1ad3b49	NYLA_PSES8	493	v1	0	10	3.90.1300.10		
m0323	a9b29f07bd0094fca8a133e9529ecaaa	SJZ42839.1	263	delta	1			149	Direct
m0324	a9bad1df9172c94be6b225bd32b6bd1d	BAB86909	304	v1	0	1	3.40.50.1820		
m0325	aa1b463709fa62d66034d00d46f2bb52	pazy:226	313	delta	1			226	Direct
m0326	aa2b99b06ee80b2a22d650e6f32f1c1e	WOR09923	257	v1	0	1	3.40.50.1820		
m0327	aaa9786d473a7eb02349e757ab50352c	SAY37584.1	257	v1	0	1	3.40.50.1820		
m0328	aac25498e57dfb00ed3f998d027dec28	WP_232326807.1	416	delta	1			411	Direct
m0329	aaede276fbd61767d03028e2d193d5a7	KQR39103	340	v1	0	9	3.60.70.12		
m0330	ab6b2d53513cc127c20db4ff15e7a322	Q0VLQ1	305	v1	0	32	3.40.50.1820		
m0331	adfd257d774083524a52123058ec51d1	WP_075975245.1	307	delta	1			339	Direct
m0332	aeed8c3ba91fa154ab6b5ac739527475	WP_203733135.1	259	delta	1			401	Direct
m0333	af084e52ba5d90f45e97ffb2726f857f	pazy:220	490	delta	1			220	Direct
m0334	afb025038508228d84d2fe8c130d5d14	WP_111881932	364	v1	0	1	3.40.50.1820		
m0335	b007b8710e413f8bd4c4e937274b9f60	pazy:489	299	delta	1			489	Direct
m0336	b0a8e9b48fc19dbd1d9345c5fc828e8c	WP_031525917.1	402	delta	1			415	Direct
m0337	b22bccd61057993ecd2ea241ac190b32	WP_068749367	326	delta	1			245	Direct
m0338	b3098fdcf4be1ef53a8636f87b4e409c	MGYP000221121644	425	delta	1			400	Direct
m0339	b316862d7118e4358cbe8bf6be6de118	ESK97883	203	v1	0	2	3.40.50.1820		
m0340	b413b66095d2f7ce85f02f9748d49cb5	OKK16161.1	425	delta	1			296	Direct
m0341	b48a5e7e77b3b427ca89ac65da361050	Q1EPR5	355	v1	0	9	3.60.70.12		
m0342	b54864a74306ac2595b71277aba6784c	WP_019629726.1	259	delta	1			258	Direct
m0343	b58a47b76cafd61a000f8498a34fd166	GIU85371.1	242	delta	1			478	Direct
m0344	b60f5228c9d11de0576f0da3088e22d6	XP_005707592.1	361	delta	1			376	Direct
m0345	b6f1885d482dc52936e39d224a8c33d1	WP_084434874.1	289	delta	1			275	Direct
m0346	b6f8363af9f6b89b71da887bdc4c3060	ACD16728.1	316	v1	0	19	TBDZ		
m0347	b7a63a9cee46bcf4fbdf5b30b67b812f	A0A7X7N2B0	364	delta	1			374	Direct
m0348	b880c59b972f820c425a72815d419380	WP_247056560.1	260	delta	1			442	Direct
m0349	b8d2efe3a6d76dcf58f691a374d528ed	ADH43200.1	489	v1	0	23	3.40.50.1820		
m0350	b9431762171b80707139661059a4d5f3	A0A2I2K6T5	295	v1	0	23	3.40.50.1820		
m0351	b96e3838fee9bee7a9d7d7d57eda9386	A0A1H6AD45	304	v1	0	1	3.40.50.1820		
m0352	bae1a3dbb09f76bbdf36d1a2dcf37269	NP_390179.1	286	delta	1			497	Direct
m0353	bc7a038f9383a1c9351ad53e8f89a243	MEC8523093.1	292	v1	0	1	3.40.50.1820		
m0354	bd809f78218b2481c1bf1b3a46c74053	WP_065917710.1	276	delta	1			300	Direct
m0355	bd90b02ae5726ceb4ec9f4431ba2ac16	WP_084400763.1	436	delta	1			317	Direct
m0356	be7dd8f21d1b03631b329ecc8c66318e	AGT96414.1	390	v1	0	8	3.40.710.10		
m0357	be8748feeb335dbb23ea57c0ca66828f	D1A9G5	289	v1	0	1	3.40.50.1820		
m0358	bfc457646ef92b3c1ed060f134602fba	A4UZ11	419	v1	0	25	3.40.50.1820		
m0359	c0173ba184ddb729e7ef9122ecff0145	RGD93181	270	v1	0	1	3.40.50.1820		
m0360	c02edb9924a7f5bcd356a4cb811dd674	AAF01331.1	567	v1	0	4	3.40.50.1820		
m0361	c05531f7c89f4efafc1f2537c89ad129	ARF18137.1	472	v1	0	10	3.90.1300.10		
m0362	c07da837b710b266f98b045916b5543a	B0FLR6	241	v1	0	11	2.40.10.10		
m0363	c119a9b5c297563dbef710cd0dfbaa94	P00780	379	v1	0	21	3.40.50.1820		
m0364	c1a1ed20efb294068bc8e1483c391d0c	MSQ87502.1	326	delta	1			262	Direct
m0365	c21fdb598a3887e2e8a5af55068ffec4	BAI44731	479	v1	0	10	3.90.1300.10		
m0366	c2610dc7556aacd9a00bede53a3a5ef9	AHG30919.1	414	v1	0	41	3.40.710.10		
m0367	c26ce8f78c963b927512520a74fa69c5	WP_239095870.1	414	delta	1			475	Direct
m0368	c27324980b1e2554620a4f3024f6c0aa	WP_253762837.1	257	delta	1			476	Direct
m0369	c2b79f0abebfe4dc6d9f623f33f10c1b	WP_173061649.1	412	delta	1			419	Direct
m0370	c2dc98ad498bf96179a52733ac69516e	P29599	269	v1	0	21	3.40.50.1820		
m0371	c38a15e286e531b02f655ce186f4c301	WP_099848711.1	444	delta	1			284	Direct
m0372	c3b10fec34299e75939e57d3458275fe	E8U721	315	v1	0	1	3.40.50.1820		
m0373	c48ea13e3b7c4343a47482e71c9b2abe	JzSedJan11_10004914	263	v1	0	1	3.40.50.1820		
m0374	c4c87c36c70a8f1b15d4f8d38155f609	ADK73612	302	v1	0	1	3.40.50.1820		
m0375	c51ea9e72ca4f046ba7b615cdd6e1bc0	-	273	v1	0	1	3.40.50.1820		
m0376	c5c958d03feed023c70aead575ffd575	LIPB_PSEA2	342	v1	0	7	3.40.50.1820		
m0377	c5df14884c3311c4b6216b9fc6bf19bd	WP_110567505.1	465	delta	1			274	Direct
m0378	c627badfbdd42acfa7664595a681b789	F7IX06	300	v1	0	1	3.40.50.1820		
m0379	c668c7d3de32419f72e69a9fac8c02c1	MBN2622270.1	287	delta	1			394	Direct
m0380	c7b8c2c370eec0414f50a51a98586820	A0A7C7DKE8	342	delta	1			369	Direct
m0381	c897c831328eb1f4873dd8d1413250f2	WP_085750434.1	267	delta	1			389	Direct
m0382	c8bc1042ff1125ab9e0ec9407540dd9d	WP_111214096.1	409	delta	1			420	Direct
m0383	c8c750beb2cf8648496febf32049a4c3	NP_999368.1	438	delta	1			498	Indirect
m0384	c96dbeb66cbc47f7911296f991cdfb8d	Q0JYJ1	365	v1	0	31	3.40.50.1820		
m0385	ca075b0d53cbfb1de3c6d2a744a2276c	RYL92504.1	325	delta	1			360	Direct
m0386	ca6b3dbe186dbb3d743897179c682c4d	WP_104613137.1	262	delta	1			152	Direct
m0387	cae1f0e206dd5d377dbfb013f72cd60c	AJ810119	301	v1	0	1	3.40.50.1820		
m0388	cb8aae798de32e627b62936dbc407aaf	WP_013736455.1	448	delta	1			292	Direct
m0389	cb8ee61f26429b3ce6a175e6f02222ef	AAY92474.2	561	v1	0	4	3.40.50.1820		
m0390	cbe6e6c036ad8643698609d6a197ff5d	Q83VDO	201	v1	0	26	3.40.50.1820		
m0391	ccec191e60e12d1782682af2211d9640	WP_185053500	471	v1	0	10	3.90.1300.10		
m0392	cd3efa9108622a39c229634066ce0292	AB102945.1; Q874E	239	v1	0	2	3.40.50.1820		
m0393	ceab4e67280304288ed18d91bdfbf2c8	WP_264933993.1	402	delta	1			455	Direct
m0394	cefc6b105a243397b6a039e186c6c27b	WP_141569747.1	331	delta	1			320	Direct
m0395	cf88b3e711edffd341ba052fb3365c25	E5BBQ3_THEFU	261	v1	0	1	3.40.50.1820		
m0396	d02f5b12eac4cea9368aa3bcd659890d	WP_149259982.1	279	delta	1			460	Direct
m0397	d03a36b0671215d716f1df2ade24268f	WP_118011433	259	v1	0	1	3.40.50.1820		
m0398	d09446e7bab13e062244cd0babc73a84	WP_073887759.1	415	delta	1			278	Direct
m0399	d0cd1d061b574c3e97321300be9b3c6e	WP_120326365.1	300	delta	1			328	Direct
m0400	d138e7aaa50d3949b0b782e315a961bb	pazy:135	242	delta	1			135	Direct
m0401	d15915c6f7276978d46895da64f6d2d1	GHJ08786.1	400	delta	1			427	Direct
m0402	d1aa8fa7800d986fee5acab07614bd0d	WAU86704.1	263	v1	0	1	3.40.50.1820		
m0403	d21eaeb08669338ca69c05150a157b00	pazy:222	472	delta	1			222	Direct
m0404	d2d63d5f8721e814ea2a657ecc8fe703	WP_082377728.1	469	delta	1			281	Direct
m0405	d357a79e14b6376e4d3557864252bfe8	JN129499.1	319	v1	0	1	3.40.50.1820		
m0406	d39f4e4eb5bc5b5de87a6807337446ec	B2NHN2	339	v1	0	27	3.40.50.1820		
m0407	d4376d2f4006abaa992a58c321df357d	WP_125191182.1	315	delta	1			289	Direct
m0408	d46d1c755303a13d2a19d9393a49d2f7	AAA33335.1	230	v1	0	2	3.40.50.1820		
m0409	d4f12571b09e84dba2647810ff586c0f	GFJ87714.1	380	delta	1			412	Direct
m0410	d5d535a4628f661aac624e4bf67a6739	WP_124822775.1	465	delta	1			272	Direct
m0411	d67ede223c06bbb9c7903735558b4123	AGT96415	314	v1	0	1	3.40.50.1820		
m0412	d78ca54fff3eddbc5a27aec8c337f94f	WP_058088494.1	279	v1	0	1	3.40.50.1820		
m0413	d887c31f2cd02dc21c2c52c61d02bd31	WP_103564314.1	298	delta	1			335	Direct
m0414	d8bf4c4b8965f1f5509d077b1db637c5	AB302140	338	v1	0	40	3.40.50.1820		
m0415	d8c880a8e19c3f44b32d639747b57222	WP_139584963.1	465	delta	1			294	Direct
m0416	d91b645ebea282e1c771123a7abe685f	WP_011209364.1	479	v1	0	10	3.90.1300.10		
m0417	da74b7409b4c0618cc66c7787e557585	AAD22743.1	617	v1	0	4	3.40.50.1820		
m0418	dab2da810add966a777bb8c243da293b	Q99174	230	v1	0	2	3.40.50.1820		
m0419	dab44b27181e9dfebdb31b8551df5e99	PWR09075.1	275	delta	1			445	Direct
m0420	db36fdeb64024c7cfb6039afa13f9865	WP_199199185.1	313	delta	1			441	Direct
m0421	dbb69c16a79774a1a51b4b80a8f1bd63	WP_083302694.1	463	delta	1			311	Direct
m0422	dcdd75a330b1680da8c69fade4d72aab	WP_132183354.1	454	delta	1			318	Direct
m0423	de1d1642d2c3124c7bbb56034d89a79d	WP_181548579.1	408	delta	1			426	Direct
m0424	de5188fe17cc9552eecfc6b69179e19d	ALS54749.1	520	v1	0	23	3.40.50.1820		
m0425	de58930843f53b731bc34d03f729488d	WP_090538641.1	304	v1	0	1	3.40.50.1820		
m0426	de7fd3cae353ad8fabd922f83140376c	AKJ87216	322	v1	0	23	3.40.50.1820		
m0427	dea4da8f4f93db0b2277eac7ec3e5196	WP_073391230.1	285	delta	1			344	Direct
m0428	df38ea060b5dad0dfc9a593e4dce333c	A0A0K8P6T7	290	v1	0	1	3.40.50.1820		
m0429	df52dbec1fe267fa047523cd0a70b307	pazy:137	240	delta	1			137	Direct
m0430	e007fda3da0579e8f4e1fb21983417d8	WP_218517662.1	392	delta	1			472	Direct
m0431	e0b91bc8063c1c7e94e918fcfd8cf2bc	A0A075B5G4	194	v1	0	2	3.40.50.1820		
m0432	e0d6a495a18daf26ce42662f54bf4783	WKW63608	408	delta	1			496	Direct
m0433	e0db2a4f62c16fd0850cb05f28dbe103	R4YKL9_OLEAN	310	v1	0	1	3.40.50.1820		
m0434	e125fba23d29946317aa25973b8c03cb	WP_104613137.1	301	v1	0	1	3.40.50.1820		
m0435	e29581cfb5c7b884636cacf399536a2b	MBF9135495.1	293	delta	1			422	Direct
m0436	e33e8b6636c423c0a7bb6aea68306978	A0A7W0NYQ1	292	delta	1			372	Direct
m0437	e422c7b9aabe1a23f75d15bd35cf71a6	BBP47208; XP_036664376	551	v1	0	10	3.90.1300.10		
m0438	e49911a7e5738e9056e9fb9c5a9aa7ae	BAA76305.1	548	v1	0	23	3.40.50.1820		
m0439	e4d76d3d7e6833a775f7b2770ac87c6b	A0A368EC02	304	delta	1			355	Direct
m0440	e517914dc89db0a2eedf86b6f66bf60c	WBR49958	439	v1	0	10	3.90.1300.10		
m0441	e5571e8fd143e90bd5db0ca52ce67226	DAC80635	284	v1	0	1	3.40.50.1820		
m0442	e58fe1dc5273be59865137941bcdaa35	CAA26616	392	delta	1			482	Thomas
m0443	e5a559b306f8a40b94d6844216b41307	WP_041846030.1	256	v1	0	37	3.40.50.1820		
m0444	e65e54bed8b506d0ddf1f5164bf29425	ADV92526.1	262	v1	0	1	3.40.50.1820		
m0445	e6c1800b97f5f0184a1dd73540deb95a	SAY37583.1	259	v1	0	1	3.40.50.1820		
m0446	e6cfd2897ec399a6f1d3ec1c6a98cdb7	WP_039353427	366	v1	0	1	3.40.50.1820		
m0447	e7456e8fab716e570d81b4e7665698f5	WP_075737041.1	304	delta	1			299	Direct
m0448	e7d1a404d6aeb48e1849f68fefcf018f	WP_067035690.1	423	delta	1			334	Direct
m0449	e8b2c742a4aaae248ea974667fac5dd6	pazy:236	287	delta	1			236	Direct
m0450	ea7a24d47eff2487f1491b3ad67cce64	A0A060N5H2	226	v1	0	2	3.40.50.1820		
m0451	ebab773a50031e4f18dfa532f93c9379	WP_088988822.1	465	delta	1			279	Direct
m0452	ebd22bc012fd6e181f43bc728b85dc79	NYLC_FLASK	355	v1	0	9	3.60.70.12		
m0453	ec1108b84e036f58c2b72e2c1fcd594e	WP_143447025.1	286	delta	1			480	Direct
m0454	ec4e4a83261a41221a4a81ead1dd3aec	WP_233604767.1	391	delta	1			474	Direct
m0455	ec89fcce3f831d4efa72c84c4ac889ee	NYLB_FLASK	392	v1	0	42	3.40.710.10		
m0456	ece8f45d57141ab0f29280d76fc2a9b7	WP_116813002.1	288	delta	1			313	Direct
m0457	ee0092b4288da1c69a59e16f2b702cdf	ACC95208.1	308	v1	0	1	3.40.50.1820		
m0458	ee6b0a11b080383c4383a93312d4003e	A0A3M1X2K7	322	delta	1			358	Direct
m0459	ee81132e0d2e864d7ce91cabcdfc1cf4	A0A432H965	326	delta	1			359	Direct
m0460	eeae01ba76427bc51c141cb43ccba7fd	WP_116180173.1	288	delta	1			276	Direct
m0461	ef08656ab980fbd8c17fe79b6060a681	WP_078759821.1	311	v1	0	1	3.40.50.1820		
m0462	ef0ce8fcf0fe89871330b7d41cec0e7b	WP_101893509.1	283	v1	0	1	3.40.50.1820		
m0463	ef202661c7e74e69a79dbd3c290e1b5b	A0A6I1QW75	325	delta	1			366	Direct
m0464	f00445f8b289d0164aff442192f24187	WP_103939557.1	292	delta	1			337	Direct
m0465	f02a200a7bde26eec9b9473d1e86184e	WP_260709492.1	421	delta	1			458	Direct
m0466	f0ef5b5426c1171b0f229df593d4d810	P20261	549	v1	0	23	3.40.50.1820		
m0467	f21de0ea2dcb603946ac9638d3076b59	AKZ20828.1	452	v1	0	25	3.40.50.1820		
m0468	f246639aef84a3e6be3c89eac9b2dfbf	WP_112669767.1	461	delta	1			309	Direct
m0469	f28662e663185e96fcb35bf385d01cdb	WP_281901711.1	374	delta	1			424	Direct
m0470	f3019f8a82e15ef9ac9ed61f6a611c97	Q0K4D5	412	v1	0	3	3.40.50.1820		
m0471	f5ac2c525370f659e6c1b4fc71e16ce1	SAY37589.1	257	v1	0	1	3.40.50.1820		
m0472	f6b49d102dee98cb0d7ac84f5fc0aa48	NUT34383.1	257	delta	1			402	Direct
m0473	f768e32a79d0b17b006886911c31b36d	WID88783.1	462	v1	0	23	3.40.50.1820		
m0474	f7e864f6573eccaba6017448237af700	P52956	213	v1	0	2	3.40.50.1820		
m0475	f85c8564f510148807a599ea6a5cf433	WP_123685830.1	289	delta	1			316	Direct
m0476	f972c4fe64b984d09a783a3fcdfb3199	Q0K9H3	718	v1	0	28	3.40.50.1820		
m0477	fa39650c565c98f3ecb4a044ca1378d2	WP_204038550.1	270	delta	1			425	Direct
m0478	faef74550d7446bbc4b0b019069c62c3	pazy:492	491	delta	1			492	Direct
m0479	faf6984f2f1464301a6db7313145d9f3	WP_014810472.1	334	delta	1			375	Direct
m0480	fb68a33e966a9f713281583d4f5d357b	WP_117215036.1	434	v1	0	1	3.40.50.1820		
m0481	fb6cb498ca713c8ff665a94eeaeab29f	WP_086668955.1	375	delta	1			330	Direct
m0482	fbb094dd3b7ab0d0ae269239dad611d5	WP_209642273.1	254	delta	1			257	Direct
m0483	fbbad91070ae99aa6eed1595044335d5	WP_124770494.1	329	delta	1			321	Direct
m0484	fcafc8f695c58e71718b19c1a7c315ba	N20M5AZM016	258	v1	0	20	3.40.50.1820		
m0485	fceeefb59ad5e778ca5e914e61d0c945	P00761	231	delta	1			251	Indirect
m0486	fd6fe4eecb575bbb51d49f121a523532	WP_217634878.1	294	delta	1			270	Direct
m0487	fe08eef9c8f87d7d57af2914ff906b14	OK558824	316	v1	0	1	3.40.50.1820		
m0488	fe1766a388c03c1e83be5dd8c749ba4b	L0EF70	508	v1	0	23	3.40.50.1820		
m0489	fe31253f406d9725da382e4a9e67d782	YNPsite06_CeleraDRAFT_160970	456	v1	0	1	3.40.50.1820		
m0490	fe354046ad936ac3305fe124cc0c4bcc	WP_125313231.1	309	delta	1			338	Direct
m0491	fe4aebb34e9061b3fa4cb2786b70e750	WP_210157342.1	398	delta	1			409	Direct
m0492	fea43b060eb31c4f0bf3beb4b1f9e521	WP_075885500.1	324	delta	1			347	Direct
