n213	n163	25.9	9.93	21
n138	n128	26.1	0.0168	30
n138	n33	23.1	0.022	30
n138	n3	27.3	0.022	30
n138	n57	24.8	0.0287	29
n138	n86	23.3	0.064	28
n138	n71	22.7	0.064	28
n138	n35	26.4	0.064	28
n138	n20	27.9	0.0836	28
n138	n34	23.1	0.0836	28
n138	n55	24.8	0.0836	28
n138	n6	26.9	0.0836	28
n138	n133	25.2	0.243	26
n138	n70	35.7	0.542	25
n138	n69	25.5	0.925	24
n138	n34	28.6	1.21	24
n138	n51	34.3	1.21	24
n138	n33	28.6	1.21	24
n138	n21	31.2	1.58	23
n138	n47	31.2	1.58	23
n138	n122	40.7	1.58	23
n138	n40	24.5	1.58	23
n138	n38	37.5	1.58	23
n138	n136	21.6	2.06	23
n138	n84	23.1	3.51	22
n137	n74	25.8	0.00297	32
n137	n83	24.3	0.00662	31
n137	n6	22.6	0.0193	30
n137	n128	22.6	0.0429	28
n137	n125	24.6	0.0561	28
n137	n5	25.3	0.0732	28
n137	n23	22.0	0.125	27
n137	n126	26.2	0.163	27
n137	n49	35.7	0.363	25
n137	n22	23.2	0.363	25
n137	n27	23.2	0.363	25
n137	n134	22.6	0.475	25
n137	n35	38.6	0.62	25
n137	n87	25.4	0.809	24
n137	n123	35.6	1.06	24
n137	n3	36.4	1.38	23
n137	n37	34.5	1.38	23
n137	n39	27.1	1.8	23
n137	n48	33.3	4.02	22
n137	n64	38.5	5.25	22
n137	n100	23.6	6.85	21
n137	n63	25.9	6.85	21
n136	n37	26.9	2.04e-11	60
n136	n39	23.7	2.11e-08	50
n136	n135	24.3	1.98e-06	43
n136	n133	30.6	0.00778	31
n136	n50	30.5	0.0226	30
n136	n49	29.3	0.0226	30
n136	n79	31.6	0.0386	29
n136	n32	38.2	0.086	28
n136	n35	26.4	0.25	26
n136	n57	39.4	0.327	26
n136	n2	36.4	0.327	26
n136	n54	36.4	0.327	26
n136	n56	39.4	0.327	26
n136	n62	35.6	0.327	26
n136	n24	25.9	0.427	25
n136	n42	41.2	0.728	25
n136	n6	37.2	0.728	25
n136	n38	20.2	0.951	24
n136	n98	50.0	1.24	24
n136	n33	45.2	1.24	24
n136	n76	45.2	1.62	23
n136	n34	41.9	1.62	23
n136	n78	24.1	1.62	23
n136	n55	36.4	1.62	23
n136	n84	23.4	1.62	23
n136	n74	38.5	2.12	23
n136	n64	40.0	2.12	23
n136	n73	28.7	2.12	23
n136	n83	33.3	2.77	23
n136	n72	38.7	2.77	23
n136	n22	38.5	3.61	22
n136	n23	38.5	3.61	22
n136	n88	29.8	3.61	22
n136	n27	38.5	3.61	22
n136	n61	41.9	4.72	22
n136	n5	34.9	6.16	22
n136	n20	66.7	6.16	22
n136	n19	41.9	6.16	22
n136	n18	21.7	6.16	22
n136	n3	23.6	8.05	21
n135	n65	25.1	6.79e-17	78
n135	n37	26.6	2.76e-10	56
n135	n49	24.8	1.09e-06	44
n135	n39	22.9	5.39e-06	42
n135	n85	24.7	0.000174	37
n135	n97	20.9	0.000174	37
n135	n5	37.5	0.000296	36
n135	n131	27.1	0.000387	35
n135	n4	40.8	0.00112	34
n135	n73	31.9	0.00251	33
n135	n18	32.8	0.00327	32
n135	n6	37.5	0.00427	32
n135	n98	38.3	0.00427	32
n135	n1	38.3	0.00427	32
n135	n42	34.3	0.00427	32
n135	n78	39.6	0.0124	30
n135	n31	41.7	0.0162	30
n135	n45	41.7	0.0162	30
n135	n29	41.7	0.0162	30
n135	n14	41.7	0.0162	30
n135	n13	41.7	0.0162	30
n135	n80	41.7	0.0162	30
n135	n25	41.7	0.0162	30
n135	n12	41.7	0.0162	30
n135	n53	44.4	0.0212	30
n135	n47	31.9	0.0212	30
n135	n21	31.9	0.0212	30
n135	n75	35.3	0.0277	29
n135	n54	32.1	0.0277	29
n135	n27	37.8	0.0362	29
n135	n22	37.8	0.0362	29
n135	n96	23.3	0.0362	29
n135	n30	37.5	0.0473	28
n135	n26	37.5	0.0473	28
n135	n8	37.5	0.0473	28
n135	n11	37.5	0.0473	28
n135	n74	39.6	0.0473	28
n135	n15	37.5	0.0473	28
n135	n44	37.5	0.0473	28
n135	n46	37.5	0.0473	28
n135	n2	32.1	0.0473	28
n135	n62	35.4	0.0617	28
n135	n10	38.3	0.0617	28
n135	n51	25.7	0.0806	28
n135	n89	25.0	0.137	27
n135	n70	32.1	0.18	27
n135	n72	31.2	0.18	27
n135	n48	30.5	0.18	27
n135	n61	34.0	0.235	26
n135	n68	32.1	0.306	26
n135	n64	35.6	0.4	25
n135	n24	31.2	0.4	25
n135	n16	33.3	0.522	25
n135	n85	29.6	0.682	25
n135	n81	33.3	0.891	24
n135	n60	28.0	0.891	24
n135	n83	34.1	1.52	23
n135	n69	42.3	1.52	23
n135	n56	24.6	1.99	23
n135	n19	30.0	2.59	23
n135	n55	26.2	3.39	22
n135	n130	32.3	3.39	22
n135	n57	26.2	3.39	22
n135	n66	32.7	4.42	22
n134	n133	26.0	3.92e-13	66
n134	n22	25.6	9.03e-10	55
n134	n27	25.6	9.03e-10	55
n134	n23	25.4	3.43e-09	53
n134	n2	27.3	2.22e-08	50
n134	n54	27.3	2.22e-08	50
n134	n25	28.6	4.95e-08	49
n134	n45	28.6	6.47e-08	49
n134	n12	28.6	6.47e-08	49
n134	n31	28.6	6.47e-08	49
n134	n6	24.6	6.47e-08	49
n134	n14	28.6	6.47e-08	49
n134	n74	28.6	8.45e-08	48
n134	n29	28.6	1.1e-07	48
n134	n72	22.9	1.1e-07	48
n134	n62	26.4	1.44e-07	47
n134	n81	27.3	1.44e-07	47
n134	n64	25.4	1.88e-07	47
n134	n56	25.2	3.21e-07	46
n134	n9	28.1	5.48e-07	45
n134	n57	24.5	5.48e-07	45
n134	n28	27.3	7.15e-07	45
n134	n33	28.9	1.22e-06	44
n134	n52	24.8	1.59e-06	44
n134	n55	24.5	1.59e-06	44
n134	n78	27.3	1.59e-06	44
n134	n38	25.7	2.72e-06	43
n134	n53	24.8	2.72e-06	43
n134	n34	30.6	3.55e-06	43
n134	n80	26.8	4.64e-06	42
n134	n26	26.8	4.64e-06	42
n134	n13	26.8	4.64e-06	42
n134	n46	26.8	6.06e-06	42
n134	n30	26.8	6.06e-06	42
n134	n15	26.8	6.06e-06	42
n134	n44	26.8	6.06e-06	42
n134	n11	26.8	6.06e-06	42
n134	n8	26.8	6.06e-06	42
n134	n40	26.8	7.91e-06	42
n134	n10	26.8	2.3e-05	40
n134	n48	25.4	0.000195	37
n134	n37	21.1	0.00126	34
n134	n63	22.7	0.00281	33
n134	n128	27.9	0.0048	32
n134	n129	26.4	0.0048	32
n134	n49	24.6	0.0048	32
n134	n65	26.2	0.0531	29
n134	n125	34.5	0.0693	28
n134	n84	22.8	0.0693	28
n134	n98	27.8	0.0693	28
n134	n3	34.3	0.202	27
n134	n17	29.6	0.449	26
n134	n35	31.4	0.449	26
n134	n90	21.6	0.766	25
n134	n96	24.5	2.23	23
n134	n118	21.1	2.91	23
n134	n113	42.1	4.97	22
n133	n65	26.8	8.04e-08	48
n133	n38	25.3	9.83e-06	41
n133	n61	23.5	2.19e-05	40
n133	n76	26.2	2.86e-05	40
n133	n60	22.5	3.74e-05	39
n133	n62	28.1	4.88e-05	39
n133	n6	21.9	4.88e-05	39
n133	n78	27.3	4.88e-05	39
n133	n81	22.7	6.37e-05	39
n133	n34	24.8	6.37e-05	39
n133	n59	23.8	6.37e-05	39
n133	n71	23.9	6.37e-05	39
n133	n16	27.3	8.32e-05	38
n133	n37	27.7	8.32e-05	38
n133	n28	25.3	8.32e-05	38
n133	n9	24.8	0.000185	37
n133	n86	24.3	0.000242	37
n133	n33	23.6	0.000242	37
n133	n70	23.7	0.000316	36
n133	n66	23.4	0.000413	36
n133	n19	21.4	0.000413	36
n133	n5	23.3	0.000413	36
n133	n7	23.1	0.00054	35
n133	n64	24.6	0.000705	35
n133	n68	24.6	0.00157	34
n133	n28	27.5	0.00157	34
n133	n36	22.8	0.00205	33
n133	n77	23.4	0.00268	33
n133	n58	37.7	0.00457	32
n133	n49	23.5	0.00597	32
n133	n73	30.2	0.00597	32
n133	n21	24.0	0.0102	31
n133	n24	21.7	0.0102	31
n133	n47	24.0	0.0102	31
n133	n56	22.6	0.0133	31
n133	n20	22.2	0.0227	30
n133	n42	21.2	0.0387	29
n133	n73	26.3	0.0505	29
n133	n32	33.3	0.147	27
n133	n83	25.7	0.729	25
n133	n40	39.4	1.62	24
n133	n1	30.0	2.12	23
n133	n69	31.9	2.77	23
n133	n18	26.8	3.62	23
n133	n39	50.0	4.73	22
n133	n41	20.4	6.17	22
n133	n75	28.6	8.06	22
n132	n120	29.4	1.41e-08	51
n132	n119	27.2	4.53e-07	46
n132	n121	27.2	4.53e-07	46
n132	n49	40.7	0.371	26
n132	n103	24.0	0.633	25
n132	n127	31.0	1.41	24
n132	n58	33.3	1.41	24
n132	n69	23.6	3.14	23
n131	n130	24.7	4.87e-09	52
n131	n97	27.6	1.85e-08	50
n131	n96	29.2	0.000616	35
n131	n97	23.0	0.0089	31
n131	n59	21.8	0.638	25
n131	n48	31.7	1.86	23
n131	n86	21.8	3.17	23
n131	n66	28.6	4.13	22
n131	n60	26.2	7.05	22
n131	n71	21.2	7.05	22
n131	n68	28.6	7.05	22
n131	n126	35.7	9.21	21
n131	n51	26.5	9.21	21
n130	n97	23.0	2.69e-10	56
n130	n96	27.3	2.78e-07	46
n130	n39	25.3	0.000376	36
n130	n35	51.3	0.000376	36
n130	n3	48.7	0.00187	33
n130	n114	32.7	0.06	28
n130	n37	29.2	0.0784	28
n130	n129	28.3	0.102	28
n130	n49	26.4	0.228	27
n130	n49	31.4	0.508	25
n130	n118	24.8	0.664	25
n130	n37	27.3	1.13	24
n130	n125	26.9	1.13	24
n130	n105	26.1	1.48	24
n130	n65	42.1	4.3	22
n130	n116	27.6	5.62	22
n130	n124	30.4	5.62	22
n130	n65	24.6	5.62	22
n130	n115	34.5	7.34	22
n130	n121	36.1	9.59	21
n129	n128	34.2	2.68e-41	159
n129	n125	27.2	4.02e-21	92
n129	n126	25.9	3.52e-17	79
n129	n127	22.3	5.44e-10	55
n129	n103	27.1	0.000153	37
n129	n84	25.2	0.0418	29
n129	n107	24.6	0.122	28
n129	n9	23.7	0.207	27
n129	n35	32.1	1.76	24
n129	n122	36.0	3.91	23
n129	n22	37.9	6.67	22
n129	n49	40.0	6.67	22
n129	n27	37.9	6.67	22
n128	n125	28.5	6.69e-16	75
n128	n126	25.8	1.49e-15	74
n128	n127	26.7	4.2e-10	56
n128	n85	29.6	5.32e-05	39
n128	n105	24.9	0.00045	36
n128	n3	24.6	0.00131	34
n128	n35	26.5	0.00223	33
n128	n37	23.5	0.00292	33
n128	n3	53.3	0.00849	32
n128	n83	25.6	0.0111	31
n128	n49	26.3	0.0145	31
n128	n98	29.4	0.0145	31
n128	n35	32.4	0.0145	31
n128	n122	32.8	0.0421	29
n128	n33	26.4	0.123	28
n128	n17	34.4	0.16	27
n128	n127	47.1	0.357	26
n128	n32	37.8	0.608	25
n128	n49	44.4	1.04	25
n128	n123	38.5	1.77	24
n128	n84	39.3	2.31	23
n128	n103	42.4	5.15	22
n128	n37	38.1	5.15	22
n128	n18	34.1	8.78	22
n127	n126	30.5	4.04e-44	169
n127	n125	24.6	2.23e-18	84
n127	n122	24.0	2.32e-07	47
n127	n8	30.6	3.7e-05	40
n127	n15	30.8	4.83e-05	39
n127	n44	30.8	4.83e-05	39
n127	n30	30.8	4.83e-05	39
n127	n42	27.6	4.83e-05	39
n127	n46	30.8	4.83e-05	39
n127	n11	30.8	4.83e-05	39
n127	n83	22.2	6.31e-05	39
n127	n74	25.2	0.000108	38
n127	n10	30.8	0.000108	38
n127	n56	23.0	0.000108	38
n127	n26	30.1	0.000141	38
n127	n80	29.4	0.000697	35
n127	n13	29.4	0.000697	35
n127	n18	24.1	0.000911	35
n127	n42	30.1	0.00155	34
n127	n125	35.0	0.00155	34
n127	n75	22.9	0.00265	33
n127	n55	22.7	0.00265	33
n127	n45	29.4	0.00346	33
n127	n1	19.9	0.00346	33
n127	n14	29.4	0.00346	33
n127	n31	29.4	0.00346	33
n127	n12	29.4	0.00346	33
n127	n16	25.2	0.00346	33
n127	n88	23.0	0.00346	33
n127	n57	25.2	0.00346	33
n127	n70	21.7	0.00452	33
n127	n29	25.8	0.00452	33
n127	n105	21.9	0.00452	33
n127	n126	30.6	0.00452	33
n127	n27	25.9	0.0101	32
n127	n22	25.9	0.0101	32
n127	n23	24.8	0.0101	32
n127	n25	28.6	0.0101	32
n127	n32	23.0	0.0132	31
n127	n72	23.3	0.0132	31
n127	n124	23.5	0.0224	30
n127	n41	24.6	0.0224	30
n127	n19	23.7	0.0224	30
n127	n21	22.1	0.0293	30
n127	n47	22.1	0.0293	30
n127	n108	32.8	0.0383	30
n127	n20	24.9	0.0383	30
n127	n24	25.8	0.05	29
n127	n61	27.2	0.05	29
n127	n62	25.0	0.05	29
n127	n6	22.6	0.0852	28
n127	n54	24.2	0.0852	28
n127	n2	24.2	0.0852	28
n127	n51	23.2	0.0852	28
n127	n69	22.6	0.145	28
n127	n63	19.2	0.324	27
n127	n85	42.1	0.423	26
n127	n73	22.7	0.423	26
n127	n9	27.9	0.722	25
n127	n76	23.1	0.943	25
n127	n34	37.5	1.23	25
n127	n78	28.9	1.23	25
n127	n125	23.8	1.61	24
n127	n60	19.4	2.74	23
n127	n37	40.0	3.58	23
n127	n33	23.6	4.68	23
n127	n7	22.0	4.68	23
n127	n77	21.5	6.11	22
n127	n110	29.6	7.98	22
n126	n125	23.3	2.97e-11	60
n126	n18	25.7	0.0006	36
n126	n122	22.4	0.00134	35
n126	n125	22.2	0.00134	35
n126	n35	25.1	0.00866	32
n126	n42	26.7	0.0193	31
n126	n3	25.7	0.0193	31
n126	n125	34.8	0.0561	30
n126	n50	27.4	0.213	28
n126	n67	27.3	0.213	28
n126	n103	26.1	0.475	27
n126	n56	23.8	0.62	26
n126	n57	23.5	0.62	26
n126	n100	25.9	0.62	26
n126	n37	20.6	0.62	26
n126	n124	25.5	0.81	26
n126	n55	23.8	1.06	25
n126	n40	26.9	1.38	25
n126	n70	33.8	3.08	24
n126	n85	55.6	5.25	23
n126	n124	24.3	5.25	23
n126	n61	39.3	5.25	23
n126	n82	24.4	5.25	23
n126	n125	22.2	6.86	23
n125	n122	26.0	0.0027	34
n125	n75	22.4	0.0298	30
n125	n37	31.8	0.0868	29
n125	n1	23.5	0.0868	29
n125	n49	25.0	0.113	28
n125	n3	28.0	1.64	25
n125	n35	28.0	2.14	24
n125	n100	37.5	3.65	23
n125	n87	50.0	6.22	23
n125	n85	28.6	6.22	23
n124	n123	45.4	1.88e-163	566
n124	n96	37.5	0.000304	37
n124	n32	47.4	0.0486	30
n124	n33	34.0	0.0635	30
n124	n37	34.8	0.108	29
n124	n9	22.5	0.537	27
n124	n40	33.8	0.537	27
n124	n37	48.4	0.537	27
n124	n122	23.3	4.55	23
n123	n96	27.4	0.0131	32
n123	n42	38.3	0.0223	31
n123	n92	24.2	0.0847	29
n123	n21	34.0	0.111	29
n123	n58	36.7	0.111	29
n123	n47	34.0	0.111	29
n123	n35	32.3	0.322	27
n123	n37	31.8	0.42	27
n123	n48	25.7	0.937	26
n123	n108	33.9	1.22	25
n123	n58	35.3	1.22	25
n123	n75	29.2	1.6	25
n123	n1	29.8	2.73	24
n123	n9	32.6	4.65	23
n123	n83	32.7	6.07	23
n123	n28	28.1	7.93	23
n122	n108	38.2	0.331	26
n122	n37	52.2	0.738	25
n122	n83	26.7	0.964	25
n122	n105	27.8	1.64	24
n122	n38	36.7	3.66	23
n121	n119	95.3	3.35e-116	408
n121	n120	46.2	6.9e-45	171
n121	n118	24.6	0.000265	36
n121	n114	26.7	0.00132	33
n121	n72	21.1	0.00224	33
n121	n117	24.3	0.00653	31
n121	n97	18.9	0.00853	31
n121	n113	21.2	0.019	30
n121	n116	26.6	0.0248	29
n121	n32	20.7	0.0248	29
n121	n115	30.5	0.0248	29
n121	n64	20.7	0.0553	28
n121	n62	20.2	0.123	27
n121	n83	23.7	0.123	27
n121	n87	29.2	0.21	26
n121	n6	26.3	0.274	26
n121	n78	22.1	0.358	25
n121	n115	30.4	0.468	25
n121	n52	17.3	0.798	24
n121	n116	31.8	0.798	24
n121	n5	37.0	0.798	24
n121	n81	24.4	0.798	24
n121	n27	33.3	1.04	24
n121	n22	33.3	1.04	24
n121	n23	39.1	1.04	24
n121	n53	18.3	1.04	24
n121	n24	31.2	1.36	23
n121	n15	35.5	1.78	23
n121	n30	35.5	1.78	23
n121	n46	35.5	1.78	23
n121	n8	35.5	1.78	23
n121	n44	35.5	1.78	23
n121	n11	35.5	1.78	23
n121	n73	25.7	2.32	23
n121	n2	17.7	3.03	22
n121	n14	34.8	3.03	22
n121	n12	34.8	3.03	22
n121	n54	17.7	3.03	22
n121	n31	34.8	3.03	22
n121	n33	39.1	3.03	22
n121	n29	19.4	3.03	22
n121	n45	34.8	3.03	22
n121	n75	23.8	3.03	22
n121	n9	19.8	3.96	22
n121	n24	17.1	3.96	22
n121	n74	34.5	3.96	22
n121	n80	32.3	5.17	22
n121	n10	33.3	5.17	22
n121	n16	32.4	5.17	22
n121	n26	32.3	5.17	22
n121	n34	39.1	5.17	22
n121	n13	32.3	5.17	22
n121	n4	28.6	6.76	21
n121	n25	30.4	8.83	21
n120	n119	46.9	7.13e-44	167
n120	n80	25.6	3.46e-06	42
n120	n81	27.9	3.46e-06	42
n120	n72	23.6	4.52e-06	42
n120	n29	24.8	4.52e-06	42
n120	n13	25.6	5.9e-06	41
n120	n26	24.7	7.71e-06	41
n120	n15	24.1	1.72e-05	40
n120	n30	24.1	1.72e-05	40
n120	n46	24.1	1.72e-05	40
n120	n44	24.1	1.72e-05	40
n120	n25	24.8	1.72e-05	40
n120	n11	24.1	1.72e-05	40
n120	n8	24.1	1.72e-05	40
n120	n12	24.2	6.52e-05	38
n120	n64	26.8	6.52e-05	38
n120	n45	24.2	6.52e-05	38
n120	n31	24.2	6.52e-05	38
n120	n32	24.9	6.52e-05	38
n120	n62	26.7	6.52e-05	38
n120	n14	24.2	6.52e-05	38
n120	n69	25.6	0.000111	37
n120	n10	24.2	0.000145	37
n120	n87	24.2	0.000248	36
n120	n52	23.1	0.000423	35
n120	n97	24.3	0.000552	35
n120	n6	24.8	0.000721	34
n120	n23	24.7	0.000721	34
n120	n53	21.8	0.000942	34
n120	n83	22.3	0.00274	32
n120	n22	26.7	0.00358	32
n120	n27	26.7	0.00358	32
n120	n9	27.3	0.00467	32
n120	n74	21.0	0.00467	32
n120	n24	22.0	0.00611	31
n120	n2	24.1	0.0104	30
n120	n54	24.1	0.0104	30
n120	n75	24.4	0.0178	30
n120	n73	27.9	0.0178	30
n120	n5	23.0	0.0178	30
n120	n78	26.1	0.0178	30
n120	n70	24.1	0.0232	29
n120	n113	24.7	0.0232	29
n120	n117	26.0	0.0232	29
n120	n114	31.1	0.0675	28
n120	n118	30.2	0.0675	28
n120	n28	28.1	0.0882	27
n120	n56	23.0	0.115	27
n120	n116	28.8	0.15	27
n120	n57	22.1	0.196	26
n120	n115	28.8	0.196	26
n120	n118	39.3	0.256	26
n120	n55	21.3	0.975	24
n120	n58	21.3	2.17	23
n120	n117	45.8	4.84	22
n120	n3	28.6	6.32	21
n120	n35	28.6	6.32	21
n120	n114	39.3	8.25	21
n119	n118	25.1	2.4e-05	39
n119	n72	21.1	0.00293	32
n119	n113	22.2	0.00383	32
n119	n117	24.2	0.005	32
n119	n32	22.5	0.00653	31
n119	n115	30.5	0.0145	30
n119	n97	18.0	0.0248	29
n119	n116	27.1	0.0248	29
n119	n64	21.6	0.0943	27
n119	n78	27.9	0.161	27
n119	n62	20.2	0.161	27
n119	n83	37.5	0.21	26
n119	n6	26.3	0.274	26
n119	n81	23.3	0.358	25
n119	n87	27.1	0.358	25
n119	n115	30.4	0.468	25
n119	n116	31.8	0.798	24
n119	n5	37.0	0.798	24
n119	n23	39.1	1.04	24
n119	n27	36.0	1.04	24
n119	n52	17.3	1.04	24
n119	n22	36.0	1.04	24
n119	n30	30.0	1.36	23
n119	n8	19.4	1.36	23
n119	n15	30.0	1.36	23
n119	n11	30.0	1.36	23
n119	n44	30.0	1.36	23
n119	n53	18.3	1.36	23
n119	n46	30.0	1.36	23
n119	n24	31.2	1.78	23
n119	n24	18.9	1.78	23
n119	n73	25.2	2.32	23
n119	n14	34.8	3.03	22
n119	n33	39.1	3.03	22
n119	n88	20.0	3.03	22
n119	n12	34.8	3.03	22
n119	n45	34.8	3.03	22
n119	n31	34.8	3.03	22
n119	n9	19.3	3.96	22
n119	n10	27.6	3.96	22
n119	n75	20.9	3.96	22
n119	n2	18.5	3.96	22
n119	n29	19.4	3.96	22
n119	n80	26.7	3.96	22
n119	n26	26.7	3.96	22
n119	n74	34.5	3.96	22
n119	n54	18.5	3.96	22
n119	n13	26.7	3.96	22
n119	n34	39.1	5.17	22
n119	n4	28.6	6.76	21
n119	n16	32.4	6.76	21
n119	n25	30.4	8.83	21
n119	n114	20.8	8.83	21
n118	n113	49.4	4.99e-108	381
n118	n117	48.0	3.35e-104	369
n118	n116	46.0	3.7e-103	365
n118	n115	43.1	2.48e-99	352
n118	n114	43.0	4.11e-86	309
n118	n91	24.6	0.239	27
n118	n97	60.0	0.407	26
n118	n73	25.9	1.55	24
n118	n34	36.7	2.64	23
n118	n26	31.1	5.88	22
n118	n33	36.4	5.88	22
n118	n24	47.1	5.88	22
n118	n74	50.0	5.88	22
n118	n37	40.9	5.88	22
n118	n2	50.0	7.68	22
n118	n19	39.4	7.68	22
n118	n72	50.0	7.68	22
n118	n76	57.1	7.68	22
n118	n69	50.0	7.68	22
n118	n54	50.0	7.68	22
n118	n62	42.9	7.68	22
n117	n113	55.5	5.66e-125	438
n117	n114	50.8	2.55e-109	386
n117	n116	48.9	1.4e-107	380
n117	n115	49.1	3.12e-107	379
n117	n97	25.6	0.103	28
n117	n35	22.0	4.34	23
n117	n19	40.7	7.41	22
n117	n7	37.0	7.41	22
n117	n61	40.7	7.41	22
n117	n77	37.0	7.41	22
n116	n115	95.2	1.15e-245	839
n116	n113	49.6	1.05e-105	374
n116	n114	48.1	1.56e-101	360
n116	n20	27.3	0.0632	29
n116	n97	34.0	0.535	26
n116	n54	61.5	1.56	24
n116	n2	61.5	1.56	24
n116	n73	61.5	1.56	24
n116	n24	61.5	1.56	24
n116	n72	28.6	2.03	24
n116	n61	43.3	2.03	24
n116	n51	23.1	2.65	23
n116	n61	27.5	5.91	22
n116	n34	43.3	5.91	22
n116	n63	28.3	7.72	22
n115	n113	50.4	8.23e-106	374
n115	n114	48.1	6.52e-103	364
n115	n20	29.5	0.0223	30
n115	n97	40.6	0.247	27
n115	n54	61.5	1.6	24
n115	n24	61.5	1.6	24
n115	n73	61.5	1.6	24
n115	n2	61.5	1.6	24
n115	n61	43.3	2.09	24
n115	n63	25.0	2.73	23
n115	n34	32.7	3.57	23
n115	n72	27.6	7.94	22
n114	n113	46.6	7.4e-101	357
n114	n97	23.7	0.391	26
n114	n38	21.6	0.871	25
n114	n93	34.0	0.871	25
n114	n19	41.7	9.63	22
n114	n37	50.0	9.63	22
n113	n97	31.0	0.00472	33
n113	n91	26.4	0.577	26
n113	n74	22.9	1.28	25
n113	n34	25.6	1.28	25
n113	n33	27.1	1.28	25
n113	n54	26.8	2.19	24
n113	n2	26.8	2.19	24
n113	n97	45.5	2.86	23
n113	n27	37.0	4.88	23
n113	n23	23.1	4.88	23
n113	n22	37.0	4.88	23
n113	n78	25.6	6.38	22
n113	n24	50.0	8.33	22
n113	n73	50.0	8.33	22
n113	n72	58.3	8.33	22
n113	n61	35.7	8.33	22
n112	n17	29.1	0.000678	35
n112	n3	25.2	4.55	23
n111	n99	41.8	1.45e-106	377
n111	n109	35.7	1.84e-77	280
n111	n103	35.3	3.37e-71	259
n111	n101	34.9	9.17e-69	251
n111	n110	32.8	2.42e-61	226
n111	n108	31.9	2.77e-57	213
n111	n102	35.8	4.43e-47	179
n111	n104	33.0	5.43e-37	146
n111	n107	26.6	8.16e-09	52
n111	n106	29.2	2.38e-08	50
n111	n95	28.3	0.00874	32
n111	n48	25.2	0.0195	31
n111	n105	23.8	0.0254	30
n111	n106	39.5	0.0434	30
n111	n104	41.9	0.215	27
n110	n109	34.9	3.85e-70	256
n110	n103	31.4	1.09e-56	211
n110	n99	31.3	5.97e-55	205
n110	n101	29.8	1.57e-47	181
n110	n102	34.7	8.37e-41	158
n110	n108	38.3	9.58e-37	145
n110	n104	36.6	1.48e-29	121
n110	n106	27.3	4.95e-09	53
n110	n108	26.9	1.95e-05	41
n110	n107	27.0	1.95e-05	41
n110	n30	31.5	0.00107	35
n110	n46	31.5	0.00107	35
n110	n44	31.5	0.00107	35
n110	n8	31.5	0.00107	35
n110	n11	31.5	0.00107	35
n110	n15	31.5	0.00107	35
n110	n26	31.5	0.00182	34
n110	n13	31.5	0.00182	34
n110	n34	25.2	0.00311	33
n110	n16	29.2	0.00406	33
n110	n18	24.4	0.0053	33
n110	n80	30.3	0.00905	32
n110	n27	29.2	0.00905	32
n110	n22	29.2	0.00905	32
n110	n23	29.2	0.00905	32
n110	n69	29.8	0.00905	32
n110	n70	26.6	0.0118	32
n110	n31	29.2	0.0118	32
n110	n14	29.2	0.0118	32
n110	n12	29.2	0.0118	32
n110	n45	29.2	0.0118	32
n110	n74	30.6	0.0118	32
n110	n56	30.9	0.0202	31
n110	n2	29.5	0.0202	31
n110	n57	31.8	0.0202	31
n110	n105	24.6	0.0202	31
n110	n54	29.5	0.0202	31
n110	n55	33.3	0.0202	31
n110	n72	25.5	0.0344	30
n110	n10	29.5	0.0344	30
n110	n87	27.6	0.0449	30
n110	n73	24.2	0.0586	29
n110	n25	28.1	0.0586	29
n110	n43	28.7	0.0766	29
n110	n29	28.1	0.131	28
n110	n100	28.4	0.171	28
n110	n24	27.4	0.171	28
n110	n42	25.0	0.648	26
n110	n56	31.6	0.847	25
n110	n53	28.1	0.847	25
n110	n52	28.9	1.11	25
n110	n32	24.1	2.46	24
n110	n20	23.4	4.2	23
n110	n75	40.0	4.2	23
n110	n28	52.4	9.36	22
n109	n103	36.9	2.35e-76	277
n109	n99	35.5	2.27e-71	260
n109	n102	34.5	5.61e-62	229
n109	n108	32.6	2.21e-50	190
n109	n101	30.9	1.58e-48	184
n109	n104	31.9	2.53e-38	150
n109	n106	31.0	3.45e-11	60
n109	n107	27.0	1.36e-07	48
n109	n100	25.0	0.552	26
n109	n1	33.3	3.58	23
n108	n99	31.7	2.44e-55	206
n108	n103	31.8	4.77e-43	166
n108	n102	28.5	2.99e-37	146
n108	n101	35.3	7.39e-28	115
n108	n104	32.0	3.43e-25	106
n108	n106	28.8	1.6e-14	71
n108	n107	27.2	2.16e-11	60
n108	n72	28.0	6.09e-06	42
n108	n100	28.9	3.02e-05	40
n108	n73	30.4	0.00015	38
n108	n2	28.5	0.000196	37
n108	n54	30.8	0.000256	37
n108	n6	31.4	0.000972	35
n108	n18	26.9	0.00216	34
n108	n56	26.4	0.00283	33
n108	n78	27.8	0.00283	33
n108	n32	26.6	0.00482	33
n108	n55	25.5	0.00823	32
n108	n57	31.1	0.0107	32
n108	n87	27.5	0.014	31
n108	n61	27.8	0.0183	31
n108	n24	31.5	0.0239	30
n108	n90	25.2	0.0313	30
n108	n69	25.1	0.0313	30
n108	n58	26.4	0.0313	30
n108	n34	24.5	0.0533	29
n108	n31	26.9	0.0696	29
n108	n12	26.9	0.0696	29
n108	n45	26.9	0.0696	29
n108	n14	26.9	0.0696	29
n108	n20	26.6	0.0696	29
n108	n23	28.0	0.091	28
n108	n27	27.6	0.119	28
n108	n22	27.6	0.119	28
