v213	v163	25.9	9.93	21
v138	v128	26.1	0.0168	30
v138	v033	23.1	0.022	30
v138	v003	27.3	0.022	30
v138	v057	24.8	0.0287	29
v138	v086	23.3	0.064	28
v138	v071	22.7	0.064	28
v138	v035	26.4	0.064	28
v138	v020	27.9	0.0836	28
v138	v034	23.1	0.0836	28
v138	v055	24.8	0.0836	28
v138	v006	26.9	0.0836	28
v138	v133	25.2	0.243	26
v138	v070	35.7	0.542	25
v138	v069	25.5	0.925	24
v138	v034	28.6	1.21	24
v138	v051	34.3	1.21	24
v138	v033	28.6	1.21	24
v138	v021	31.2	1.58	23
v138	v047	31.2	1.58	23
v138	v122	40.7	1.58	23
v138	v040	24.5	1.58	23
v138	v038	37.5	1.58	23
v138	v136	21.6	2.06	23
v138	v084	23.1	3.51	22
v137	v074	25.8	0.00297	32
v137	v083	24.3	0.00662	31
v137	v006	22.6	0.0193	30
v137	v128	22.6	0.0429	28
v137	v125	24.6	0.0561	28
v137	v005	25.3	0.0732	28
v137	v023	22.0	0.125	27
v137	v126	26.2	0.163	27
v137	v049	35.7	0.363	25
v137	v022	23.2	0.363	25
v137	v027	23.2	0.363	25
v137	v134	22.6	0.475	25
v137	v035	38.6	0.62	25
v137	v087	25.4	0.809	24
v137	v123	35.6	1.06	24
v137	v003	36.4	1.38	23
v137	v037	34.5	1.38	23
v137	v039	27.1	1.8	23
v137	v048	33.3	4.02	22
v137	v064	38.5	5.25	22
v137	v100	23.6	6.85	21
v137	v063	25.9	6.85	21
v136	v037	26.9	2.04e-11	60
v136	v039	23.7	2.11e-08	50
v136	v135	24.3	1.98e-06	43
v136	v133	30.6	0.00778	31
v136	v050	30.5	0.0226	30
v136	v049	29.3	0.0226	30
v136	v079	31.6	0.0386	29
v136	v032	38.2	0.086	28
v136	v035	26.4	0.25	26
v136	v057	39.4	0.327	26
v136	v002	36.4	0.327	26
v136	v054	36.4	0.327	26
v136	v056	39.4	0.327	26
v136	v062	35.6	0.327	26
v136	v024	25.9	0.427	25
v136	v042	41.2	0.728	25
v136	v006	37.2	0.728	25
v136	v038	20.2	0.951	24
v136	v098	50.0	1.24	24
v136	v033	45.2	1.24	24
v136	v076	45.2	1.62	23
v136	v034	41.9	1.62	23
v136	v078	24.1	1.62	23
v136	v055	36.4	1.62	23
v136	v084	23.4	1.62	23
v136	v074	38.5	2.12	23
v136	v064	40.0	2.12	23
v136	v073	28.7	2.12	23
v136	v083	33.3	2.77	23
v136	v072	38.7	2.77	23
v136	v022	38.5	3.61	22
v136	v023	38.5	3.61	22
v136	v088	29.8	3.61	22
v136	v027	38.5	3.61	22
v136	v061	41.9	4.72	22
v136	v005	34.9	6.16	22
v136	v020	66.7	6.16	22
v136	v019	41.9	6.16	22
v136	v018	21.7	6.16	22
v136	v003	23.6	8.05	21
v135	v065	25.1	6.79e-17	78
v135	v037	26.6	2.76e-10	56
v135	v049	24.8	1.09e-06	44
v135	v039	22.9	5.39e-06	42
v135	v085	24.7	0.000174	37
v135	v097	20.9	0.000174	37
v135	v005	37.5	0.000296	36
v135	v131	27.1	0.000387	35
v135	v004	40.8	0.00112	34
v135	v073	31.9	0.00251	33
v135	v018	32.8	0.00327	32
v135	v006	37.5	0.00427	32
v135	v098	38.3	0.00427	32
v135	v001	38.3	0.00427	32
v135	v042	34.3	0.00427	32
v135	v078	39.6	0.0124	30
v135	v031	41.7	0.0162	30
v135	v045	41.7	0.0162	30
v135	v029	41.7	0.0162	30
v135	v014	41.7	0.0162	30
v135	v013	41.7	0.0162	30
v135	v080	41.7	0.0162	30
v135	v025	41.7	0.0162	30
v135	v012	41.7	0.0162	30
v135	v053	44.4	0.0212	30
v135	v047	31.9	0.0212	30
v135	v021	31.9	0.0212	30
v135	v075	35.3	0.0277	29
v135	v054	32.1	0.0277	29
v135	v027	37.8	0.0362	29
v135	v022	37.8	0.0362	29
v135	v096	23.3	0.0362	29
v135	v030	37.5	0.0473	28
v135	v026	37.5	0.0473	28
v135	v008	37.5	0.0473	28
v135	v011	37.5	0.0473	28
v135	v074	39.6	0.0473	28
v135	v015	37.5	0.0473	28
v135	v044	37.5	0.0473	28
v135	v046	37.5	0.0473	28
v135	v002	32.1	0.0473	28
v135	v062	35.4	0.0617	28
v135	v010	38.3	0.0617	28
v135	v051	25.7	0.0806	28
v135	v089	25.0	0.137	27
v135	v070	32.1	0.18	27
v135	v072	31.2	0.18	27
v135	v048	30.5	0.18	27
v135	v061	34.0	0.235	26
v135	v068	32.1	0.306	26
v135	v064	35.6	0.4	25
v135	v024	31.2	0.4	25
v135	v016	33.3	0.522	25
v135	v085	29.6	0.682	25
v135	v081	33.3	0.891	24
v135	v060	28.0	0.891	24
v135	v083	34.1	1.52	23
v135	v069	42.3	1.52	23
v135	v056	24.6	1.99	23
v135	v019	30.0	2.59	23
v135	v055	26.2	3.39	22
v135	v130	32.3	3.39	22
v135	v057	26.2	3.39	22
v135	v066	32.7	4.42	22
v134	v133	26.0	3.92e-13	66
v134	v022	25.6	9.03e-10	55
v134	v027	25.6	9.03e-10	55
v134	v023	25.4	3.43e-09	53
v134	v002	27.3	2.22e-08	50
v134	v054	27.3	2.22e-08	50
v134	v025	28.6	4.95e-08	49
v134	v045	28.6	6.47e-08	49
v134	v012	28.6	6.47e-08	49
v134	v031	28.6	6.47e-08	49
v134	v006	24.6	6.47e-08	49
v134	v014	28.6	6.47e-08	49
v134	v074	28.6	8.45e-08	48
v134	v029	28.6	1.1e-07	48
v134	v072	22.9	1.1e-07	48
v134	v062	26.4	1.44e-07	47
v134	v081	27.3	1.44e-07	47
v134	v064	25.4	1.88e-07	47
v134	v056	25.2	3.21e-07	46
v134	v009	28.1	5.48e-07	45
v134	v057	24.5	5.48e-07	45
v134	v028	27.3	7.15e-07	45
v134	v033	28.9	1.22e-06	44
v134	v052	24.8	1.59e-06	44
v134	v055	24.5	1.59e-06	44
v134	v078	27.3	1.59e-06	44
v134	v038	25.7	2.72e-06	43
v134	v053	24.8	2.72e-06	43
v134	v034	30.6	3.55e-06	43
v134	v080	26.8	4.64e-06	42
v134	v026	26.8	4.64e-06	42
v134	v013	26.8	4.64e-06	42
v134	v046	26.8	6.06e-06	42
v134	v030	26.8	6.06e-06	42
v134	v015	26.8	6.06e-06	42
v134	v044	26.8	6.06e-06	42
v134	v011	26.8	6.06e-06	42
v134	v008	26.8	6.06e-06	42
v134	v040	26.8	7.91e-06	42
v134	v010	26.8	2.3e-05	40
v134	v048	25.4	0.000195	37
v134	v037	21.1	0.00126	34
v134	v063	22.7	0.00281	33
v134	v128	27.9	0.0048	32
v134	v129	26.4	0.0048	32
v134	v049	24.6	0.0048	32
v134	v065	26.2	0.0531	29
v134	v125	34.5	0.0693	28
v134	v084	22.8	0.0693	28
v134	v098	27.8	0.0693	28
v134	v003	34.3	0.202	27
v134	v017	29.6	0.449	26
v134	v035	31.4	0.449	26
v134	v090	21.6	0.766	25
v134	v096	24.5	2.23	23
v134	v118	21.1	2.91	23
v134	v113	42.1	4.97	22
v133	v065	26.8	8.04e-08	48
v133	v038	25.3	9.83e-06	41
v133	v061	23.5	2.19e-05	40
v133	v076	26.2	2.86e-05	40
v133	v060	22.5	3.74e-05	39
v133	v062	28.1	4.88e-05	39
v133	v006	21.9	4.88e-05	39
v133	v078	27.3	4.88e-05	39
v133	v081	22.7	6.37e-05	39
v133	v034	24.8	6.37e-05	39
v133	v059	23.8	6.37e-05	39
v133	v071	23.9	6.37e-05	39
v133	v016	27.3	8.32e-05	38
v133	v037	27.7	8.32e-05	38
v133	v028	25.3	8.32e-05	38
v133	v009	24.8	0.000185	37
v133	v086	24.3	0.000242	37
v133	v033	23.6	0.000242	37
v133	v070	23.7	0.000316	36
v133	v066	23.4	0.000413	36
v133	v019	21.4	0.000413	36
v133	v005	23.3	0.000413	36
v133	v007	23.1	0.00054	35
v133	v064	24.6	0.000705	35
v133	v068	24.6	0.00157	34
v133	v028	27.5	0.00157	34
v133	v036	22.8	0.00205	33
v133	v077	23.4	0.00268	33
v133	v058	37.7	0.00457	32
v133	v049	23.5	0.00597	32
v133	v073	30.2	0.00597	32
v133	v021	24.0	0.0102	31
v133	v024	21.7	0.0102	31
v133	v047	24.0	0.0102	31
v133	v056	22.6	0.0133	31
v133	v020	22.2	0.0227	30
v133	v042	21.2	0.0387	29
v133	v073	26.3	0.0505	29
v133	v032	33.3	0.147	27
v133	v083	25.7	0.729	25
v133	v040	39.4	1.62	24
v133	v001	30.0	2.12	23
v133	v069	31.9	2.77	23
v133	v018	26.8	3.62	23
v133	v039	50.0	4.73	22
v133	v041	20.4	6.17	22
v133	v075	28.6	8.06	22
v132	v120	29.4	1.41e-08	51
v132	v119	27.2	4.53e-07	46
v132	v121	27.2	4.53e-07	46
v132	v049	40.7	0.371	26
v132	v103	24.0	0.633	25
v132	v127	31.0	1.41	24
v132	v058	33.3	1.41	24
v132	v069	23.6	3.14	23
v131	v130	24.7	4.87e-09	52
v131	v097	27.6	1.85e-08	50
v131	v096	29.2	0.000616	35
v131	v097	23.0	0.0089	31
v131	v059	21.8	0.638	25
v131	v048	31.7	1.86	23
v131	v086	21.8	3.17	23
v131	v066	28.6	4.13	22
v131	v060	26.2	7.05	22
v131	v071	21.2	7.05	22
v131	v068	28.6	7.05	22
v131	v126	35.7	9.21	21
v131	v051	26.5	9.21	21
v130	v097	23.0	2.69e-10	56
v130	v096	27.3	2.78e-07	46
v130	v039	25.3	0.000376	36
v130	v035	51.3	0.000376	36
v130	v003	48.7	0.00187	33
v130	v114	32.7	0.06	28
v130	v037	29.2	0.0784	28
v130	v129	28.3	0.102	28
v130	v049	26.4	0.228	27
v130	v049	31.4	0.508	25
v130	v118	24.8	0.664	25
v130	v037	27.3	1.13	24
v130	v125	26.9	1.13	24
v130	v105	26.1	1.48	24
v130	v065	42.1	4.3	22
v130	v116	27.6	5.62	22
v130	v124	30.4	5.62	22
v130	v065	24.6	5.62	22
v130	v115	34.5	7.34	22
v130	v121	36.1	9.59	21
v129	v128	34.2	2.68e-41	159
v129	v125	27.2	4.02e-21	92
v129	v126	25.9	3.52e-17	79
v129	v127	22.3	5.44e-10	55
v129	v103	27.1	0.000153	37
v129	v084	25.2	0.0418	29
v129	v107	24.6	0.122	28
v129	v009	23.7	0.207	27
v129	v035	32.1	1.76	24
v129	v122	36.0	3.91	23
v129	v022	37.9	6.67	22
v129	v049	40.0	6.67	22
v129	v027	37.9	6.67	22
v128	v125	28.5	6.69e-16	75
v128	v126	25.8	1.49e-15	74
v128	v127	26.7	4.2e-10	56
v128	v085	29.6	5.32e-05	39
v128	v105	24.9	0.00045	36
v128	v003	24.6	0.00131	34
v128	v035	26.5	0.00223	33
v128	v037	23.5	0.00292	33
v128	v003	53.3	0.00849	32
v128	v083	25.6	0.0111	31
v128	v049	26.3	0.0145	31
v128	v098	29.4	0.0145	31
v128	v035	32.4	0.0145	31
v128	v122	32.8	0.0421	29
v128	v033	26.4	0.123	28
v128	v017	34.4	0.16	27
v128	v127	47.1	0.357	26
v128	v032	37.8	0.608	25
v128	v049	44.4	1.04	25
v128	v123	38.5	1.77	24
v128	v084	39.3	2.31	23
v128	v103	42.4	5.15	22
v128	v037	38.1	5.15	22
v128	v018	34.1	8.78	22
v127	v126	30.5	4.04e-44	169
v127	v125	24.6	2.23e-18	84
v127	v122	24.0	2.32e-07	47
v127	v008	30.6	3.7e-05	40
v127	v015	30.8	4.83e-05	39
v127	v044	30.8	4.83e-05	39
v127	v030	30.8	4.83e-05	39
v127	v042	27.6	4.83e-05	39
v127	v046	30.8	4.83e-05	39
v127	v011	30.8	4.83e-05	39
v127	v083	22.2	6.31e-05	39
v127	v074	25.2	0.000108	38
v127	v010	30.8	0.000108	38
v127	v056	23.0	0.000108	38
v127	v026	30.1	0.000141	38
v127	v080	29.4	0.000697	35
v127	v013	29.4	0.000697	35
v127	v018	24.1	0.000911	35
v127	v042	30.1	0.00155	34
v127	v125	35.0	0.00155	34
v127	v075	22.9	0.00265	33
v127	v055	22.7	0.00265	33
v127	v045	29.4	0.00346	33
v127	v001	19.9	0.00346	33
v127	v014	29.4	0.00346	33
v127	v031	29.4	0.00346	33
v127	v012	29.4	0.00346	33
v127	v016	25.2	0.00346	33
v127	v088	23.0	0.00346	33
v127	v057	25.2	0.00346	33
v127	v070	21.7	0.00452	33
v127	v029	25.8	0.00452	33
v127	v105	21.9	0.00452	33
v127	v126	30.6	0.00452	33
v127	v027	25.9	0.0101	32
v127	v022	25.9	0.0101	32
v127	v023	24.8	0.0101	32
v127	v025	28.6	0.0101	32
v127	v032	23.0	0.0132	31
v127	v072	23.3	0.0132	31
v127	v124	23.5	0.0224	30
v127	v041	24.6	0.0224	30
v127	v019	23.7	0.0224	30
v127	v021	22.1	0.0293	30
v127	v047	22.1	0.0293	30
v127	v108	32.8	0.0383	30
v127	v020	24.9	0.0383	30
v127	v024	25.8	0.05	29
v127	v061	27.2	0.05	29
v127	v062	25.0	0.05	29
v127	v006	22.6	0.0852	28
v127	v054	24.2	0.0852	28
v127	v002	24.2	0.0852	28
v127	v051	23.2	0.0852	28
v127	v069	22.6	0.145	28
v127	v063	19.2	0.324	27
v127	v085	42.1	0.423	26
v127	v073	22.7	0.423	26
v127	v009	27.9	0.722	25
v127	v076	23.1	0.943	25
v127	v034	37.5	1.23	25
v127	v078	28.9	1.23	25
v127	v125	23.8	1.61	24
v127	v060	19.4	2.74	23
v127	v037	40.0	3.58	23
v127	v033	23.6	4.68	23
v127	v007	22.0	4.68	23
v127	v077	21.5	6.11	22
v127	v110	29.6	7.98	22
v126	v125	23.3	2.97e-11	60
v126	v018	25.7	0.0006	36
v126	v122	22.4	0.00134	35
v126	v125	22.2	0.00134	35
v126	v035	25.1	0.00866	32
v126	v042	26.7	0.0193	31
v126	v003	25.7	0.0193	31
v126	v125	34.8	0.0561	30
v126	v050	27.4	0.213	28
v126	v067	27.3	0.213	28
v126	v103	26.1	0.475	27
v126	v056	23.8	0.62	26
v126	v057	23.5	0.62	26
v126	v100	25.9	0.62	26
v126	v037	20.6	0.62	26
v126	v124	25.5	0.81	26
v126	v055	23.8	1.06	25
v126	v040	26.9	1.38	25
v126	v070	33.8	3.08	24
v126	v085	55.6	5.25	23
v126	v124	24.3	5.25	23
v126	v061	39.3	5.25	23
v126	v082	24.4	5.25	23
v126	v125	22.2	6.86	23
v125	v122	26.0	0.0027	34
v125	v075	22.4	0.0298	30
v125	v037	31.8	0.0868	29
v125	v001	23.5	0.0868	29
v125	v049	25.0	0.113	28
v125	v003	28.0	1.64	25
v125	v035	28.0	2.14	24
v125	v100	37.5	3.65	23
v125	v087	50.0	6.22	23
v125	v085	28.6	6.22	23
v124	v123	45.4	1.88e-163	566
v124	v096	37.5	0.000304	37
v124	v032	47.4	0.0486	30
v124	v033	34.0	0.0635	30
v124	v037	34.8	0.108	29
v124	v009	22.5	0.537	27
v124	v040	33.8	0.537	27
v124	v037	48.4	0.537	27
v124	v122	23.3	4.55	23
v123	v096	27.4	0.0131	32
v123	v042	38.3	0.0223	31
v123	v092	24.2	0.0847	29
v123	v021	34.0	0.111	29
v123	v058	36.7	0.111	29
v123	v047	34.0	0.111	29
v123	v035	32.3	0.322	27
v123	v037	31.8	0.42	27
v123	v048	25.7	0.937	26
v123	v108	33.9	1.22	25
v123	v058	35.3	1.22	25
v123	v075	29.2	1.6	25
v123	v001	29.8	2.73	24
v123	v009	32.6	4.65	23
v123	v083	32.7	6.07	23
v123	v028	28.1	7.93	23
v122	v108	38.2	0.331	26
v122	v037	52.2	0.738	25
v122	v083	26.7	0.964	25
v122	v105	27.8	1.64	24
v122	v038	36.7	3.66	23
v121	v119	95.3	3.35e-116	408
v121	v120	46.2	6.9e-45	171
v121	v118	24.6	0.000265	36
v121	v114	26.7	0.00132	33
v121	v072	21.1	0.00224	33
v121	v117	24.3	0.00653	31
v121	v097	18.9	0.00853	31
v121	v113	21.2	0.019	30
v121	v116	26.6	0.0248	29
v121	v032	20.7	0.0248	29
v121	v115	30.5	0.0248	29
v121	v064	20.7	0.0553	28
v121	v062	20.2	0.123	27
v121	v083	23.7	0.123	27
v121	v087	29.2	0.21	26
v121	v006	26.3	0.274	26
v121	v078	22.1	0.358	25
v121	v115	30.4	0.468	25
v121	v052	17.3	0.798	24
v121	v116	31.8	0.798	24
v121	v005	37.0	0.798	24
v121	v081	24.4	0.798	24
v121	v027	33.3	1.04	24
v121	v022	33.3	1.04	24
v121	v023	39.1	1.04	24
v121	v053	18.3	1.04	24
v121	v024	31.2	1.36	23
v121	v015	35.5	1.78	23
v121	v030	35.5	1.78	23
v121	v046	35.5	1.78	23
v121	v008	35.5	1.78	23
v121	v044	35.5	1.78	23
v121	v011	35.5	1.78	23
v121	v073	25.7	2.32	23
v121	v002	17.7	3.03	22
v121	v014	34.8	3.03	22
v121	v012	34.8	3.03	22
v121	v054	17.7	3.03	22
v121	v031	34.8	3.03	22
v121	v033	39.1	3.03	22
v121	v029	19.4	3.03	22
v121	v045	34.8	3.03	22
v121	v075	23.8	3.03	22
v121	v009	19.8	3.96	22
v121	v024	17.1	3.96	22
v121	v074	34.5	3.96	22
v121	v080	32.3	5.17	22
v121	v010	33.3	5.17	22
v121	v016	32.4	5.17	22
v121	v026	32.3	5.17	22
v121	v034	39.1	5.17	22
v121	v013	32.3	5.17	22
v121	v004	28.6	6.76	21
v121	v025	30.4	8.83	21
v120	v119	46.9	7.13e-44	167
v120	v080	25.6	3.46e-06	42
v120	v081	27.9	3.46e-06	42
v120	v072	23.6	4.52e-06	42
v120	v029	24.8	4.52e-06	42
v120	v013	25.6	5.9e-06	41
v120	v026	24.7	7.71e-06	41
v120	v015	24.1	1.72e-05	40
v120	v030	24.1	1.72e-05	40
v120	v046	24.1	1.72e-05	40
v120	v044	24.1	1.72e-05	40
v120	v025	24.8	1.72e-05	40
v120	v011	24.1	1.72e-05	40
v120	v008	24.1	1.72e-05	40
v120	v012	24.2	6.52e-05	38
v120	v064	26.8	6.52e-05	38
v120	v045	24.2	6.52e-05	38
v120	v031	24.2	6.52e-05	38
v120	v032	24.9	6.52e-05	38
v120	v062	26.7	6.52e-05	38
v120	v014	24.2	6.52e-05	38
v120	v069	25.6	0.000111	37
v120	v010	24.2	0.000145	37
v120	v087	24.2	0.000248	36
v120	v052	23.1	0.000423	35
v120	v097	24.3	0.000552	35
v120	v006	24.8	0.000721	34
v120	v023	24.7	0.000721	34
v120	v053	21.8	0.000942	34
v120	v083	22.3	0.00274	32
v120	v022	26.7	0.00358	32
v120	v027	26.7	0.00358	32
v120	v009	27.3	0.00467	32
v120	v074	21.0	0.00467	32
v120	v024	22.0	0.00611	31
v120	v002	24.1	0.0104	30
v120	v054	24.1	0.0104	30
v120	v075	24.4	0.0178	30
v120	v073	27.9	0.0178	30
v120	v005	23.0	0.0178	30
v120	v078	26.1	0.0178	30
v120	v070	24.1	0.0232	29
v120	v113	24.7	0.0232	29
v120	v117	26.0	0.0232	29
v120	v114	31.1	0.0675	28
v120	v118	30.2	0.0675	28
v120	v028	28.1	0.0882	27
v120	v056	23.0	0.115	27
v120	v116	28.8	0.15	27
v120	v057	22.1	0.196	26
v120	v115	28.8	0.196	26
v120	v118	39.3	0.256	26
v120	v055	21.3	0.975	24
v120	v058	21.3	2.17	23
v120	v117	45.8	4.84	22
v120	v003	28.6	6.32	21
v120	v035	28.6	6.32	21
v120	v114	39.3	8.25	21
v119	v118	25.1	2.4e-05	39
v119	v072	21.1	0.00293	32
v119	v113	22.2	0.00383	32
v119	v117	24.2	0.005	32
v119	v032	22.5	0.00653	31
v119	v115	30.5	0.0145	30
v119	v097	18.0	0.0248	29
v119	v116	27.1	0.0248	29
v119	v064	21.6	0.0943	27
v119	v078	27.9	0.161	27
v119	v062	20.2	0.161	27
v119	v083	37.5	0.21	26
v119	v006	26.3	0.274	26
v119	v081	23.3	0.358	25
v119	v087	27.1	0.358	25
v119	v115	30.4	0.468	25
v119	v116	31.8	0.798	24
v119	v005	37.0	0.798	24
v119	v023	39.1	1.04	24
v119	v027	36.0	1.04	24
v119	v052	17.3	1.04	24
v119	v022	36.0	1.04	24
v119	v030	30.0	1.36	23
v119	v008	19.4	1.36	23
v119	v015	30.0	1.36	23
v119	v011	30.0	1.36	23
v119	v044	30.0	1.36	23
v119	v053	18.3	1.36	23
v119	v046	30.0	1.36	23
v119	v024	31.2	1.78	23
v119	v024	18.9	1.78	23
v119	v073	25.2	2.32	23
v119	v014	34.8	3.03	22
v119	v033	39.1	3.03	22
v119	v088	20.0	3.03	22
v119	v012	34.8	3.03	22
v119	v045	34.8	3.03	22
v119	v031	34.8	3.03	22
v119	v009	19.3	3.96	22
v119	v010	27.6	3.96	22
v119	v075	20.9	3.96	22
v119	v002	18.5	3.96	22
v119	v029	19.4	3.96	22
v119	v080	26.7	3.96	22
v119	v026	26.7	3.96	22
v119	v074	34.5	3.96	22
v119	v054	18.5	3.96	22
v119	v013	26.7	3.96	22
v119	v034	39.1	5.17	22
v119	v004	28.6	6.76	21
v119	v016	32.4	6.76	21
v119	v025	30.4	8.83	21
v119	v114	20.8	8.83	21
v118	v113	49.4	4.99e-108	381
v118	v117	48.0	3.35e-104	369
v118	v116	46.0	3.7e-103	365
v118	v115	43.1	2.48e-99	352
v118	v114	43.0	4.11e-86	309
v118	v091	24.6	0.239	27
v118	v097	60.0	0.407	26
v118	v073	25.9	1.55	24
v118	v034	36.7	2.64	23
v118	v026	31.1	5.88	22
v118	v033	36.4	5.88	22
v118	v024	47.1	5.88	22
v118	v074	50.0	5.88	22
v118	v037	40.9	5.88	22
v118	v002	50.0	7.68	22
v118	v019	39.4	7.68	22
v118	v072	50.0	7.68	22
v118	v076	57.1	7.68	22
v118	v069	50.0	7.68	22
v118	v054	50.0	7.68	22
v118	v062	42.9	7.68	22
v117	v113	55.5	5.66e-125	438
v117	v114	50.8	2.55e-109	386
v117	v116	48.9	1.4e-107	380
v117	v115	49.1	3.12e-107	379
v117	v097	25.6	0.103	28
v117	v035	22.0	4.34	23
v117	v019	40.7	7.41	22
v117	v007	37.0	7.41	22
v117	v061	40.7	7.41	22
v117	v077	37.0	7.41	22
v116	v115	95.2	1.15e-245	839
v116	v113	49.6	1.05e-105	374
v116	v114	48.1	1.56e-101	360
v116	v020	27.3	0.0632	29
v116	v097	34.0	0.535	26
v116	v054	61.5	1.56	24
v116	v002	61.5	1.56	24
v116	v073	61.5	1.56	24
v116	v024	61.5	1.56	24
v116	v072	28.6	2.03	24
v116	v061	43.3	2.03	24
v116	v051	23.1	2.65	23
v116	v061	27.5	5.91	22
v116	v034	43.3	5.91	22
v116	v063	28.3	7.72	22
v115	v113	50.4	8.23e-106	374
v115	v114	48.1	6.52e-103	364
v115	v020	29.5	0.0223	30
v115	v097	40.6	0.247	27
v115	v054	61.5	1.6	24
v115	v024	61.5	1.6	24
v115	v073	61.5	1.6	24
v115	v002	61.5	1.6	24
v115	v061	43.3	2.09	24
v115	v063	25.0	2.73	23
v115	v034	32.7	3.57	23
v115	v072	27.6	7.94	22
v114	v113	46.6	7.4e-101	357
v114	v097	23.7	0.391	26
v114	v038	21.6	0.871	25
v114	v093	34.0	0.871	25
v114	v019	41.7	9.63	22
v114	v037	50.0	9.63	22
v113	v097	31.0	0.00472	33
v113	v091	26.4	0.577	26
v113	v074	22.9	1.28	25
v113	v034	25.6	1.28	25
v113	v033	27.1	1.28	25
v113	v054	26.8	2.19	24
v113	v002	26.8	2.19	24
v113	v097	45.5	2.86	23
v113	v027	37.0	4.88	23
v113	v023	23.1	4.88	23
v113	v022	37.0	4.88	23
v113	v078	25.6	6.38	22
v113	v024	50.0	8.33	22
v113	v073	50.0	8.33	22
v113	v072	58.3	8.33	22
v113	v061	35.7	8.33	22
v112	v017	29.1	0.000678	35
v112	v003	25.2	4.55	23
v111	v099	41.8	1.45e-106	377
v111	v109	35.7	1.84e-77	280
v111	v103	35.3	3.37e-71	259
v111	v101	34.9	9.17e-69	251
v111	v110	32.8	2.42e-61	226
v111	v108	31.9	2.77e-57	213
v111	v102	35.8	4.43e-47	179
v111	v104	33.0	5.43e-37	146
v111	v107	26.6	8.16e-09	52
v111	v106	29.2	2.38e-08	50
v111	v095	28.3	0.00874	32
v111	v048	25.2	0.0195	31
v111	v105	23.8	0.0254	30
v111	v106	39.5	0.0434	30
v111	v104	41.9	0.215	27
v110	v109	34.9	3.85e-70	256
v110	v103	31.4	1.09e-56	211
v110	v099	31.3	5.97e-55	205
v110	v101	29.8	1.57e-47	181
v110	v102	34.7	8.37e-41	158
v110	v108	38.3	9.58e-37	145
v110	v104	36.6	1.48e-29	121
v110	v106	27.3	4.95e-09	53
v110	v108	26.9	1.95e-05	41
v110	v107	27.0	1.95e-05	41
v110	v030	31.5	0.00107	35
v110	v046	31.5	0.00107	35
v110	v044	31.5	0.00107	35
v110	v008	31.5	0.00107	35
v110	v011	31.5	0.00107	35
v110	v015	31.5	0.00107	35
v110	v026	31.5	0.00182	34
v110	v013	31.5	0.00182	34
v110	v034	25.2	0.00311	33
v110	v016	29.2	0.00406	33
v110	v018	24.4	0.0053	33
v110	v080	30.3	0.00905	32
v110	v027	29.2	0.00905	32
v110	v022	29.2	0.00905	32
v110	v023	29.2	0.00905	32
v110	v069	29.8	0.00905	32
v110	v070	26.6	0.0118	32
v110	v031	29.2	0.0118	32
v110	v014	29.2	0.0118	32
v110	v012	29.2	0.0118	32
v110	v045	29.2	0.0118	32
v110	v074	30.6	0.0118	32
v110	v056	30.9	0.0202	31
v110	v002	29.5	0.0202	31
v110	v057	31.8	0.0202	31
v110	v105	24.6	0.0202	31
v110	v054	29.5	0.0202	31
v110	v055	33.3	0.0202	31
v110	v072	25.5	0.0344	30
v110	v010	29.5	0.0344	30
v110	v087	27.6	0.0449	30
v110	v073	24.2	0.0586	29
v110	v025	28.1	0.0586	29
v110	v043	28.7	0.0766	29
v110	v029	28.1	0.131	28
v110	v100	28.4	0.171	28
v110	v024	27.4	0.171	28
v110	v042	25.0	0.648	26
v110	v056	31.6	0.847	25
v110	v053	28.1	0.847	25
v110	v052	28.9	1.11	25
v110	v032	24.1	2.46	24
v110	v020	23.4	4.2	23
v110	v075	40.0	4.2	23
v110	v028	52.4	9.36	22
v109	v103	36.9	2.35e-76	277
v109	v099	35.5	2.27e-71	260
v109	v102	34.5	5.61e-62	229
v109	v108	32.6	2.21e-50	190
v109	v101	30.9	1.58e-48	184
v109	v104	31.9	2.53e-38	150
v109	v106	31.0	3.45e-11	60
v109	v107	27.0	1.36e-07	48
v109	v100	25.0	0.552	26
v109	v001	33.3	3.58	23
v108	v099	31.7	2.44e-55	206
v108	v103	31.8	4.77e-43	166
v108	v102	28.5	2.99e-37	146
v108	v101	35.3	7.39e-28	115
v108	v104	32.0	3.43e-25	106
v108	v106	28.8	1.6e-14	71
v108	v107	27.2	2.16e-11	60
v108	v072	28.0	6.09e-06	42
v108	v100	28.9	3.02e-05	40
v108	v073	30.4	0.00015	38
v108	v002	28.5	0.000196	37
v108	v054	30.8	0.000256	37
v108	v006	31.4	0.000972	35
v108	v018	26.9	0.00216	34
v108	v056	26.4	0.00283	33
v108	v078	27.8	0.00283	33
v108	v032	26.6	0.00482	33
v108	v055	25.5	0.00823	32
v108	v057	31.1	0.0107	32
v108	v087	27.5	0.014	31
v108	v061	27.8	0.0183	31
v108	v024	31.5	0.0239	30
v108	v090	25.2	0.0313	30
v108	v069	25.1	0.0313	30
v108	v058	26.4	0.0313	30
v108	v034	24.5	0.0533	29
v108	v031	26.9	0.0696	29
v108	v012	26.9	0.0696	29
v108	v045	26.9	0.0696	29
v108	v014	26.9	0.0696	29
v108	v020	26.6	0.0696	29
v108	v023	28.0	0.091	28
v108	v027	27.6	0.119	28
v108	v022	27.6	0.119	28
